,ts,rh,temp,weather,windDir,windSpeed
0,1658631600,56.0,35.4,,83.0,6.8
1,1658635200,58.0,35.2,,91.0,9.7
2,1658638800,52.0,36.5,,93.0,5.8
3,1658642400,64.0,35.3,Sunny,139.0,10.8
4,1658646000,68.1,34.5,,234.0,11.7
5,1658649600,69.7,33.9,,234.0,11.4
6,1658653200,70.5,33.2,Sunny,233.0,11.6
7,1658656800,73.3,32.0,,234.0,10.2
8,1658660400,77.2,31.0,,235.0,9.5
9,1658664000,79.6,30.6,Unknown,239.0,8.7
10,1658667600,80.8,30.4,,238.0,7.2
11,1658671200,81.6,30.3,,240.0,7.4
12,1658674800,81.3,30.3,Unknown,239.0,7.1
13,1658678400,82.4,30.0,,242.0,6.4
14,1658682000,84.7,29.6,,228.0,6.3
15,1658685600,85.4,29.6,Unknown,236.0,6.1
16,1658689200,84.6,29.2,,241.0,5.9
17,1658692800,85.2,28.6,,248.0,4.8
18,1658696400,85.3,28.1,Unknown,252.0,4.8
19,1658700000,87.2,27.8,,254.0,3.9
20,1658703600,84.2,28.9,,254.0,4.4
21,1658707200,77.6,30.5,Sunny,249.0,6.0
22,1658710800,71.2,32.2,,261.0,7.2
23,1658714400,66.4,33.3,,256.0,8.4
24,1658718000,61.7,34.3,Sunny,243.0,10.2
25,1658721600,59.1,34.9,,245.0,10.6
26,1658725200,58.7,35.4,,242.0,10.4
27,1658728800,58.4,35.9,Sunny,236.0,11.7
28,1658732400,61.2,35.3,,231.0,12.2
29,1658736000,62.4,35.0,,232.0,11.5
30,1658739600,63.3,34.4,Sunny,228.0,11.8
31,1658743200,66.6,33.2,,229.0,10.6
32,1658746800,71.4,32.0,,228.0,9.5
33,1658750400,74.6,31.4,Unknown,228.0,8.5
34,1658754000,76.9,30.8,,226.0,7.1
35,1658757600,79.4,30.4,,226.0,7.2
36,1658761200,79.9,30.1,Unknown,229.0,6.4
37,1658764800,81.0,29.8,,234.0,5.7
38,1658768400,83.6,29.4,,217.0,5.5
39,1658772000,84.8,29.3,Unknown,230.0,5.4
40,1658775600,84.4,28.5,,232.0,5.5
41,1658779200,85.0,27.7,,238.0,4.4
42,1658782800,84.9,27.0,Unknown,241.0,4.6
43,1658786400,85.7,26.7,,238.0,3.8
44,1658790000,81.9,27.9,,236.0,4.5
45,1658793600,75.1,29.6,Sunny Periods,223.0,6.6
46,1658797200,69.2,31.1,,234.0,8.0
47,1658800800,64.5,32.2,,233.0,9.2
48,1658804400,60.0,33.2,Sunny Periods,222.0,11.0
49,1658808000,58.3,33.7,,226.0,11.6
50,1658811600,58.3,34.1,,225.0,11.6
51,1658815200,57.6,34.5,Sunny,225.0,12.8
52,1658818800,59.4,34.0,,225.0,13.0
53,1658822400,59.8,33.9,,229.0,12.0
54,1658826000,60.3,33.5,Sunny,227.0,12.1
55,1658829600,63.6,32.5,,226.0,10.8
56,1658833200,68.4,31.3,,228.0,9.7
57,1658836800,72.0,30.7,Unknown,229.0,8.6
58,1658840400,74.5,30.2,,225.0,6.9
59,1658844000,77.1,29.8,,226.0,6.9
60,1658847600,77.9,29.6,Unknown,226.0,6.4
61,1658851200,79.1,29.3,,230.0,5.8
62,1658854800,81.6,28.8,,215.0,5.5
63,1658858400,82.1,28.7,Unknown,226.0,5.5
64,1658862000,81.9,28.1,,231.0,5.4
65,1658865600,82.7,27.4,,241.0,4.2
66,1658869200,82.4,26.8,Unknown,245.0,4.4
