,ts,rh,temp,weather,windDir,windSpeed
0,1667185200,45.0,25.6,,11.0,29.5
1,1667188800,45.0,26.7,,3.0,28.8
2,1667192400,42.0,27.4,,3.0,29.9
3,1667196000,43.0,27.6,Cloudy,10.0,24.5
4,1667199600,43.2,27.8,,346.0,24.5
5,1667203200,41.6,28.4,,352.0,25.0
6,1667206800,42.6,28.1,Cloudy,4.0,24.3
7,1667210400,44.0,27.3,,13.0,23.4
8,1667214000,44.0,26.6,,17.0,26.4
9,1667217600,44.2,26.1,Cloudy,20.0,25.6
10,1667221200,44.1,26.0,,24.0,27.1
11,1667224800,44.2,25.7,,24.0,27.3
12,1667228400,43.9,25.5,Cloudy,16.0,27.3
13,1667232000,45.6,25.1,,20.0,25.6
14,1667235600,45.8,24.7,,16.0,27.0
15,1667239200,46.5,24.5,Mainly Cloudly ,14.0,26.3
16,1667242800,46.8,24.2,,10.0,26.3
17,1667246400,47.1,23.9,,13.0,26.1
18,1667250000,47.2,23.7,Mainly Cloudly ,16.0,26.6
19,1667253600,46.2,23.5,,20.0,25.8
20,1667257200,45.5,23.5,,18.0,24.7
21,1667260800,43.6,24.0,Sunny Intervals,20.0,24.7
22,1667264400,41.6,24.4,,14.0,26.6
23,1667268000,41.3,24.9,,12.0,25.9
24,1667271600,40.0,25.5,Sunny Intervals,12.0,25.3
25,1667275200,40.3,25.7,,8.0,24.5
26,1667278800,42.2,25.7,,353.0,23.3
27,1667282400,43.6,25.8,Cloudy,354.0,24.0
28,1667286000,45.0,25.2,,351.0,24.0
29,1667289600,44.2,25.1,,354.0,23.7
30,1667293200,46.3,24.4,Cloudy,8.0,23.5
31,1667296800,47.9,23.6,,20.0,22.0
32,1667300400,51.3,22.7,,23.0,23.2
33,1667304000,50.9,22.5,Cloudy,24.0,22.8
34,1667307600,52.8,21.4,,31.0,23.5
35,1667311200,53.9,20.2,,32.0,23.1
36,1667314800,53.2,19.2,Cloudy,24.0,23.0
37,1667318400,55.3,18.8,,31.0,21.7
38,1667322000,55.3,19.2,,25.0,23.0
39,1667325600,59.5,19.8,Cloudy,24.0,22.5
40,1667329200,63.7,20.3,,20.0,23.1
41,1667332800,67.2,20.2,,18.0,23.8
42,1667336400,68.5,20.0,Cloudy,18.0,24.3
43,1667340000,67.7,19.9,,18.0,23.6
44,1667343600,66.5,20.2,,18.0,22.9
45,1667347200,64.0,20.9,Cloudy,19.0,22.8
46,1667350800,62.5,21.2,,15.0,24.8
47,1667354400,62.8,21.7,,10.0,24.0
48,1667358000,60.6,22.5,Cloudy,9.0,24.1
49,1667361600,60.2,22.9,,6.0,23.4
50,1667365200,61.4,23.1,,356.0,22.1
51,1667368800,63.0,23.1,Cloudy,354.0,23.3
52,1667372400,64.6,23.1,,352.0,23.3
53,1667376000,64.2,23.4,,4.0,22.8
54,1667379600,66.9,23.3,Cloudy,20.0,22.7
55,1667383200,68.2,23.4,,35.0,21.2
56,1667386800,67.5,23.7,,41.0,23.6
57,1667390400,67.5,23.8,Cloudy,50.0,23.2
58,1667394000,68.7,24.0,,57.0,24.8
59,1667397600,70.6,23.8,,60.0,25.3
60,1667401200,71.7,23.3,Cloudy,58.0,25.0
61,1667404800,72.6,22.4,,64.0,23.1
62,1667408400,71.3,21.7,,65.0,24.6
63,1667412000,72.0,21.2,Cloudy,66.0,24.1
64,1667415600,74.1,21.2,,69.0,23.4
65,1667419200,73.8,21.2,,71.0,24.1
66,1667422800,75.3,21.4,Cloudy,74.0,24.2
67,1667426400,76.1,21.5,,79.0,24.0
68,1667430000,77.0,21.7,,82.0,23.5
69,1667433600,74.5,22.5,Cloudy,85.0,22.1
70,1667437200,74.0,23.0,,85.0,23.5
71,1667440800,72.4,23.5,,93.0,21.3
72,1667444400,69.4,23.9,Cloudy,92.0,21.3
73,1667448000,67.9,24.1,,90.0,20.0
74,1667451600,68.0,23.8,,89.0,19.4
75,1667455200,69.3,23.8,Cloudy,91.0,20.0
76,1667458800,70.6,23.7,,86.0,19.9
77,1667462400,69.3,24.1,,84.0,19.6
78,1667466000,73.0,23.5,Cloudy,86.0,18.2
79,1667469600,75.6,23.3,,88.0,17.6
80,1667473200,74.7,23.3,,86.0,19.8
81,1667476800,73.9,23.5,Cloudy,86.0,19.4
82,1667480400,75.1,23.5,,87.0,20.0
83,1667484000,75.3,23.4,,88.0,18.9
84,1667487600,75.1,23.4,Cloudy,85.0,17.9
85,1667491200,76.2,23.4,,88.0,17.5
86,1667494800,75.4,23.5,,86.0,17.8
87,1667498400,75.6,23.5,Cloudy,83.0,16.8
88,1667502000,76.8,23.3,,80.0,16.0
89,1667505600,76.3,22.9,,77.0,15.4
90,1667509200,76.1,22.7,Cloudy,74.0,15.0
91,1667512800,75.4,22.6,,76.0,15.0
92,1667516400,75.8,22.8,,76.0,13.9
93,1667520000,71.7,23.8,Cloudy,72.0,14.3
94,1667523600,69.8,24.4,,66.0,16.2
95,1667527200,68.6,25.1,,70.0,15.8
96,1667530800,64.9,25.9,Cloudy,70.0,16.7
97,1667534400,63.0,26.4,,70.0,16.1
98,1667538000,63.0,26.6,,59.0,15.9
99,1667541600,63.9,26.5,Cloudy,56.0,16.4
100,1667545200,65.1,26.1,,21.0,16.3
101,1667548800,63.4,25.9,,26.0,16.0
102,1667552400,66.5,25.1,Cloudy,44.0,14.8
103,1667556000,70.3,24.5,,72.0,14.5
104,1667559600,70.8,24.2,,74.0,16.7
105,1667563200,71.3,24.0,Cloudy,80.0,16.9
106,1667566800,71.9,23.9,,79.0,17.8
107,1667570400,72.7,23.6,,80.0,17.7
108,1667574000,72.7,23.3,Cloudy,73.0,17.6
109,1667577600,73.8,23.1,,77.0,16.5
110,1667581200,73.0,23.0,,72.0,16.3
111,1667584800,72.7,22.9,Cloudy,65.0,15.4
112,1667588400,73.0,22.5,,62.0,15.1
113,1667592000,72.2,22.0,,59.0,15.2
114,1667595600,70.8,21.7,Cloudy,57.0,15.3
115,1667599200,69.3,21.5,,60.0,15.2
116,1667602800,68.6,21.8,,59.0,13.9
117,1667606400,65.1,22.5,Cloudy,57.0,14.1
118,1667610000,62.3,23.2,,50.0,16.4
119,1667613600,60.0,23.9,,54.0,15.7
120,1667617200,57.1,24.7,Sunny Intervals,52.0,16.5
121,1667620800,55.2,25.4,,48.0,16.2
122,1667624400,55.4,25.7,,34.0,16.5
123,1667628000,56.6,25.9,Sunny Intervals,35.0,17.5
124,1667631600,58.8,25.5,,26.0,17.6
125,1667635200,58.8,25.3,,42.0,17.4
126,1667638800,62.6,24.6,Sunny Intervals,77.0,16.6
127,1667642400,66.2,23.8,,79.0,15.9
128,1667646000,66.5,23.4,,73.0,17.8
129,1667649600,66.9,23.2,Mainly Cloudly ,76.0,17.1
130,1667653200,68.8,22.9,,78.0,17.6
131,1667656800,69.2,22.7,,80.0,16.9
132,1667660400,68.6,22.5,Mainly Cloudly ,74.0,16.2
133,1667664000,69.2,22.4,,79.0,14.9
134,1667667600,68.0,22.2,,75.0,14.3
135,1667671200,67.6,22.1,Mainly Cloudly ,69.0,13.5
136,1667674800,67.1,21.7,,66.0,13.5
137,1667678400,66.0,21.2,,62.0,14.0
138,1667682000,64.3,20.8,Mainly Cloudly ,60.0,14.4
139,1667685600,62.3,20.6,,62.0,15.1
140,1667689200,60.9,20.8,,61.0,14.4
141,1667692800,57.3,21.7,Sunny Intervals,58.0,15.3
142,1667696400,54.7,22.4,,53.0,17.2
143,1667700000,52.6,23.2,,56.0,16.3
144,1667703600,50.8,24.1,Sunny Intervals,55.0,16.9
145,1667707200,49.7,24.9,,53.0,16.1
146,1667710800,50.8,25.3,,35.0,16.2
147,1667714400,52.1,25.6,Sunny Intervals,35.0,16.9
148,1667718000,54.0,25.3,,14.0,17.4
149,1667721600,53.7,25.0,,56.0,17.5
150,1667725200,57.1,24.1,Cloudy,85.0,16.6
151,1667728800,61.4,23.0,,87.0,16.1
152,1667732400,62.7,22.8,,82.0,18.2
153,1667736000,64.1,22.6,Cloudy,84.0,17.7
154,1667739600,66.2,22.3,,84.0,18.6
155,1667743200,66.8,22.2,,86.0,18.3
156,1667746800,66.6,22.1,Cloudy,82.0,18.1
157,1667750400,67.7,22.1,,86.0,17.1
158,1667754000,67.0,22.0,,83.0,17.2
