,ts,rh,temp,weather,windDir,windSpeed
0,1667185200,48.6,25.9,,3.0,22.6
1,1667188800,44.7,27.5,,2.0,22.6
2,1667192400,44.4,28.1,,360.0,21.4
3,1667196000,44.3,28.9,Sunny Intervals,2.0,20.8
4,1667199600,44.2,29.3,,358.0,22.4
5,1667203200,44.3,29.1,,0.0,22.4
6,1667206800,47.3,27.8,Sunny Intervals,7.0,21.5
7,1667210400,48.2,26.5,,11.0,21.3
8,1667214000,49.6,25.7,,11.0,21.3
9,1667217600,49.7,25.2,Mainly Cloudly ,15.0,22.0
10,1667221200,49.8,24.7,,15.0,21.7
11,1667224800,50.3,24.2,,15.0,20.0
12,1667228400,51.0,23.8,Cloudy,14.0,23.0
13,1667232000,52.5,23.5,,14.0,22.6
14,1667235600,53.1,23.2,,14.0,23.8
15,1667239200,54.0,22.9,Mainly Cloudly ,16.0,24.1
16,1667242800,55.6,22.7,,16.0,23.3
17,1667246400,55.2,22.5,,16.0,23.9
18,1667250000,55.0,22.3,Mainly Cloudly ,17.0,24.3
19,1667253600,55.0,21.9,,22.0,25.7
20,1667257200,57.3,21.6,,24.0,23.7
21,1667260800,55.2,22.4,Sunny Intervals,21.0,22.9
22,1667264400,52.9,23.0,,17.0,24.7
23,1667268000,50.9,23.7,,15.0,23.0
24,1667271600,48.1,24.6,Sunny Intervals,12.0,22.4
25,1667275200,46.2,25.1,,11.0,21.6
26,1667278800,47.7,24.8,,4.0,20.1
27,1667282400,49.0,25.1,Cloudy,9.0,19.8
28,1667286000,49.9,24.9,,4.0,21.9
29,1667289600,51.8,24.3,,7.0,20.5
30,1667293200,56.1,23.1,Cloudy,12.0,19.9
31,1667296800,56.2,22.2,,17.0,19.6
32,1667300400,59.6,21.4,,16.0,18.6
33,1667304000,60.6,20.9,Cloudy,20.0,18.4
34,1667307600,61.2,19.7,,19.0,17.8
35,1667311200,62.4,18.5,,20.0,16.6
36,1667314800,63.1,17.3,Cloudy,20.0,17.6
37,1667318400,63.7,17.2,,22.0,17.8
38,1667322000,66.8,17.6,,23.0,20.3
39,1667325600,71.8,18.2,Cloudy,27.0,21.1
40,1667329200,80.0,18.5,,25.0,21.1
41,1667332800,81.4,18.9,,21.0,21.8
42,1667336400,81.6,18.8,Cloudy,20.0,21.5
43,1667340000,81.2,18.8,,24.0,22.8
44,1667343600,84.3,18.7,,27.0,20.5
45,1667347200,81.1,19.7,Cloudy,22.0,19.7
46,1667350800,79.3,20.4,,18.0,20.7
47,1667354400,78.1,21.0,,11.0,20.1
48,1667358000,73.4,22.2,Cloudy,7.0,19.2
49,1667361600,70.1,23.1,,8.0,19.8
50,1667365200,70.7,23.1,,6.0,18.2
51,1667368800,72.3,23.5,Cloudy,6.0,17.7
52,1667372400,73.7,23.5,,5.0,19.9
53,1667376000,76.7,22.7,,8.0,18.6
54,1667379600,80.5,21.7,Cloudy,14.0,17.9
55,1667383200,80.2,20.8,,21.0,17.5
56,1667386800,79.5,21.1,,26.0,16.7
57,1667390400,80.0,21.2,Cloudy,36.0,16.8
