,ts,rh,temp,weather,windDir,windSpeed
0,1667185200,53.0,24.8,,10.0,23.0
1,1667188800,50.0,25.5,,358.0,24.8
2,1667192400,49.0,26.1,,357.0,26.6
3,1667196000,50.0,26.1,Cloudy,5.0,25.2
4,1667199600,49.4,26.5,,10.0,23.6
5,1667203200,50.3,26.5,,11.0,25.0
6,1667206800,49.4,26.4,Sunny Intervals,10.0,23.7
7,1667210400,48.5,26.3,,7.0,23.9
8,1667214000,49.8,25.7,,6.0,26.4
9,1667217600,49.6,25.6,Cloudy,7.0,28.9
10,1667221200,49.7,24.9,,8.0,28.2
11,1667224800,49.0,24.2,,6.0,26.7
12,1667228400,49.5,23.6,Cloudy,7.0,29.0
13,1667232000,49.9,23.3,,8.0,27.7
14,1667235600,50.3,23.0,,8.0,28.8
15,1667239200,50.0,22.7,Mainly Cloudly ,8.0,28.8
16,1667242800,50.6,22.4,,10.0,29.2
17,1667246400,51.8,22.1,,8.0,28.4
18,1667250000,53.3,21.7,Cloudy,8.0,28.7
19,1667253600,52.2,21.3,,8.0,30.0
20,1667257200,52.6,20.9,,6.0,26.6
21,1667260800,52.1,21.3,Sunny Intervals,10.0,28.9
22,1667264400,51.5,21.3,,12.0,30.6
23,1667268000,51.0,21.3,,14.0,29.5
24,1667271600,51.1,21.4,Cloudy,14.0,27.3
25,1667275200,52.8,21.2,,14.0,25.1
26,1667278800,53.7,21.2,,13.0,23.0
27,1667282400,54.0,21.2,Cloudy,13.0,22.5
28,1667286000,54.1,21.4,,14.0,19.9
29,1667289600,56.0,21.3,,12.0,21.0
30,1667293200,57.5,21.0,Cloudy,11.0,18.9
31,1667296800,60.2,20.4,,10.0,17.8
32,1667300400,65.0,19.5,,9.0,18.3
33,1667304000,65.3,18.7,Cloudy,8.0,20.3
34,1667307600,66.9,18.5,,10.0,19.1
35,1667311200,66.6,18.7,,9.0,18.5
36,1667314800,70.4,19.0,Cloudy,12.0,19.2
37,1667318400,73.2,18.7,,10.0,21.0
38,1667322000,74.3,19.6,,10.0,23.1
39,1667325600,76.0,20.3,Light Rain,9.0,23.3
40,1667329200,75.9,21.3,,10.0,23.5
41,1667332800,76.7,21.1,,8.0,22.3
42,1667336400,78.8,20.6,Light Rain,9.0,22.1
43,1667340000,75.9,20.5,,8.0,24.1
44,1667343600,75.7,20.2,,6.0,21.1
45,1667347200,75.8,20.6,Light Rain,11.0,22.6
46,1667350800,77.1,20.6,,16.0,24.3
47,1667354400,75.7,20.7,,16.0,24.1
48,1667358000,74.6,21.0,Light Rain,15.0,23.2
49,1667361600,74.8,21.1,,16.0,22.2
50,1667365200,75.5,21.2,,18.0,20.0
51,1667368800,76.8,21.1,Light Rain,21.0,19.6
52,1667372400,78.1,21.3,,26.0,18.3
53,1667376000,81.9,21.1,,28.0,18.7
54,1667379600,81.0,21.1,Light Rain,30.0,17.2
55,1667383200,80.3,21.2,,27.0,16.7
56,1667386800,83.7,21.0,,27.0,17.4
57,1667390400,82.7,21.3,Light Rain,29.0,20.3
58,1667394000,82.1,21.1,,33.0,21.3
59,1667397600,82.7,20.7,,36.0,21.0
60,1667401200,84.9,20.3,Light Rain,42.0,22.1
61,1667404800,85.1,20.5,,45.0,20.8
62,1667408400,84.9,20.7,,51.0,23.6
63,1667412000,84.8,20.9,Light Rain,52.0,23.6
64,1667415600,85.2,21.1,,57.0,24.9
65,1667419200,87.3,21.2,,56.0,22.3
66,1667422800,89.6,21.1,Light Rain,56.0,22.2
67,1667426400,87.8,21.2,,54.0,22.6
68,1667430000,87.9,21.1,,55.0,21.5
69,1667433600,87.1,21.9,Light Rain,60.0,23.3
70,1667437200,85.9,22.2,,65.0,25.5
71,1667440800,83.6,22.1,,67.0,23.8
72,1667444400,83.6,22.3,Light Rain,70.0,23.0
73,1667448000,83.8,21.9,,67.0,20.9
74,1667451600,84.1,21.8,,76.0,19.9
75,1667455200,84.8,21.8,Light Rain,76.0,19.2
76,1667458800,84.9,22.3,,77.0,17.0
77,1667462400,87.2,22.1,,78.0,16.7
78,1667466000,86.5,22.1,Cloudy,72.0,14.5
79,1667469600,86.6,22.2,,62.0,12.4
80,1667473200,89.0,22.3,,57.0,12.3
81,1667476800,87.3,22.2,Cloudy,53.0,13.4
82,1667480400,88.8,22.0,,55.0,12.9
83,1667484000,87.2,22.0,,54.0,11.7
84,1667487600,87.5,22.3,Cloudy,59.0,12.7
85,1667491200,86.8,22.5,,61.0,13.1
86,1667494800,86.3,22.7,,61.0,14.0
87,1667498400,85.1,22.9,Cloudy,56.0,13.7
88,1667502000,86.1,23.1,,57.0,13.7
89,1667505600,87.2,22.9,,51.0,12.5
90,1667509200,88.4,22.6,Cloudy,47.0,11.9
91,1667512800,86.9,22.3,,44.0,12.4
92,1667516400,86.9,22.1,,40.0,10.6
93,1667520000,84.7,23.0,Cloudy,46.0,12.6
94,1667523600,83.0,23.4,,51.0,15.6
95,1667527200,80.5,23.6,,53.0,17.0
96,1667530800,79.6,24.0,Cloudy,56.0,17.1
97,1667534400,79.1,24.1,,56.0,16.6
98,1667538000,78.4,24.4,,66.0,15.5
99,1667541600,78.6,24.5,Cloudy,67.0,14.7
100,1667545200,78.7,24.5,,71.0,13.6
101,1667548800,81.5,24.2,,75.0,13.4
102,1667552400,82.3,23.8,Cloudy,80.0,11.4
103,1667556000,84.0,23.5,,65.0,8.9
104,1667559600,88.0,23.0,,55.0,8.7
105,1667563200,87.2,22.9,Cloudy,47.0,10.4
106,1667566800,86.3,22.8,,46.0,10.5
107,1667570400,84.4,22.7,,41.0,10.0
108,1667574000,84.6,22.6,Cloudy,43.0,11.2
109,1667577600,83.7,22.6,,43.0,11.4
110,1667581200,82.8,22.5,,45.0,12.4
111,1667584800,81.2,22.5,Cloudy,41.0,12.1
112,1667588400,81.5,22.5,,41.0,12.2
113,1667592000,81.9,22.2,,33.0,11.2
114,1667595600,82.5,21.7,Cloudy,27.0,10.7
