,ts,rh,temp,weather,windDir,windSpeed
0,1667185200,50.0,25.0,,14.0,24.8
1,1667188800,50.0,25.2,,20.0,28.8
2,1667192400,47.0,26.6,,17.0,25.6
3,1667196000,47.0,26.6,Cloudy,18.0,27.7
4,1667199600,45.2,27.3,,15.0,27.2
5,1667203200,46.4,26.9,,23.0,25.0
6,1667206800,47.7,26.1,Sunny Intervals,22.0,24.8
7,1667210400,48.7,25.3,,19.0,23.3
8,1667214000,49.9,24.7,,20.0,22.9
9,1667217600,49.0,24.8,Cloudy,22.0,21.4
10,1667221200,49.0,24.5,,21.0,20.5
11,1667224800,49.7,24.1,,20.0,20.1
12,1667228400,50.6,23.9,Cloudy,16.0,16.2
13,1667232000,50.7,23.7,,16.0,15.4
14,1667235600,52.3,23.2,,14.0,15.6
15,1667239200,52.3,22.9,Mainly Cloudly ,16.0,14.7
16,1667242800,54.6,22.6,,17.0,15.6
17,1667246400,55.6,22.5,,14.0,16.2
18,1667250000,57.4,22.1,Mainly Cloudly ,16.0,14.9
19,1667253600,57.5,21.7,,13.0,15.4
20,1667257200,59.7,21.2,,13.0,14.3
21,1667260800,56.4,22.0,Sunny Intervals,20.0,14.2
22,1667264400,50.6,22.7,,14.0,16.1
23,1667268000,48.7,23.4,,13.0,15.8
24,1667271600,46.8,24.1,Cloudy,16.0,16.8
25,1667275200,46.7,24.0,,17.0,15.9
26,1667278800,47.7,23.9,,13.0,14.6
27,1667282400,49.2,23.7,Cloudy,18.0,14.4
28,1667286000,48.1,24.0,,18.0,13.8
29,1667289600,50.2,23.2,,24.0,13.1
30,1667293200,52.4,22.0,Cloudy,23.0,13.9
31,1667296800,55.2,20.9,,21.0,13.7
32,1667300400,59.3,19.9,,24.0,13.5
33,1667304000,61.3,19.3,Cloudy,27.0,13.1
34,1667307600,62.9,18.5,,26.0,12.7
35,1667311200,66.1,17.7,,28.0,13.4
36,1667314800,67.8,17.1,Cloudy,25.0,10.9
37,1667318400,69.9,16.7,,22.0,11.8
38,1667322000,74.2,17.4,,18.0,12.2
39,1667325600,79.4,18.0,Light Rain,22.0,11.5
40,1667329200,82.4,19.0,,19.0,11.5
41,1667332800,83.3,18.9,,13.0,11.7
42,1667336400,85.5,18.5,Light Rain,18.0,10.8
43,1667340000,85.2,18.2,,14.0,11.3
44,1667343600,87.5,18.0,,14.0,10.1
45,1667347200,82.9,19.1,Light Rain,23.0,10.4
46,1667350800,77.1,19.8,,18.0,13.0
47,1667354400,75.9,20.3,,12.0,13.3
48,1667358000,73.0,21.1,Light Rain,14.0,14.0
