ts,CCH,HKA,LFS,SHA,SKG,TKL,TY1,G153
1667314800,5.0,10.0,12.0,32.0,13.0,28.0,326.0,16.0
1667318400,2.0,9.0,11.0,33.0,5.0,23.0,328.0,16.0
1667322000,4.0,18.0,16.0,16.0,9.0,16.0,1.0,16.0
1667325600,2.0,16.0,17.0,18.0,8.0,15.0,4.0,13.0
1667329200,2.0,10.0,16.0,15.0,9.0,16.0,357.0,14.0
1667332800,4.0,12.0,16.0,16.0,10.0,16.0,355.0,16.0
1667336400,2.0,15.0,16.0,16.0,8.0,18.0,359.0,15.0
1667340000,3.0,17.0,19.0,17.0,9.0,16.0,351.0,18.0
1667343600,2.0,16.0,22.0,24.0,8.0,19.0,351.0,18.0
1667347200,4.0,14.0,17.0,26.0,12.0,24.0,356.0,20.0
1667350800,4.0,14.0,18.0,24.0,15.0,20.0,354.0,20.0
1667354400,6.0,12.0,14.0,28.0,18.0,17.0,357.0,24.0
1667358000,8.0,10.0,9.0,26.0,16.0,17.0,355.0,26.0
1667361600,11.0,7.0,9.0,22.0,14.0,17.0,1.0,25.0
1667365200,14.0,358.0,4.0,22.0,13.0,14.0,358.0,25.0
1667368800,15.0,357.0,4.0,24.0,16.0,22.0,0.0,28.0
1667372400,19.0,355.0,2.0,30.0,18.0,26.0,6.0,32.0
1667376000,18.0,359.0,6.0,34.0,19.0,32.0,12.0,33.0
1667379600,20.0,14.0,15.0,33.0,22.0,32.0,23.0,36.0
1667383200,22.0,28.0,20.0,36.0,26.0,36.0,27.0,42.0
1667386800,27.0,35.0,22.0,48.0,32.0,44.0,30.0,50.0
1667390400,34.0,42.0,27.0,50.0,36.0,52.0,43.0,58.0
1667394000,46.0,54.0,31.0,57.0,42.0,59.0,50.0,62.0
1667397600,57.0,68.0,38.0,65.0,53.0,68.0,63.0,72.0
1667401200,66.0,70.0,41.0,70.0,61.0,72.0,76.0,81.0
1667404800,87.0,87.0,48.0,79.0,72.0,78.0,93.0,90.0
1667408400,98.0,94.0,56.0,88.0,84.0,85.0,106.0,98.0
1667412000,114.0,106.0,63.0,98.0,92.0,91.0,117.0,106.0
1667415600,121.0,111.0,73.0,106.0,97.0,92.0,127.0,111.0
1667419200,128.0,116.0,76.0,103.0,96.0,95.0,138.0,114.0
1667422800,133.0,119.0,86.0,112.0,108.0,104.0,141.0,120.0
1667426400,135.0,119.0,93.0,111.0,107.0,108.0,146.0,119.0
1667430000,139.0,125.0,102.0,111.0,115.0,116.0,152.0,120.0
1667433600,141.0,127.0,103.0,115.0,117.0,118.0,157.0,122.0
1667437200,146.0,126.0,103.0,107.0,117.0,113.0,162.0,126.0
1667440800,156.0,142.0,101.0,117.0,116.0,114.0,171.0,130.0
1667444400,162.0,153.0,109.0,115.0,126.0,113.0,182.0,138.0
1667448000,161.0,166.0,107.0,124.0,130.0,118.0,178.0,133.0
1667451600,157.0,186.0,114.0,118.0,128.0,114.0,181.0,130.0
1667455200,147.0,157.0,114.0,122.0,128.0,110.0,178.0,132.0
1667458800,146.0,197.0,127.0,116.0,128.0,117.0,176.0,129.0
1667462400,146.0,200.0,124.0,122.0,125.0,107.0,173.0,128.0
1667466000,145.0,166.0,108.0,123.0,120.0,102.0,162.0,118.0
