ts,CCH,HKA,LFS,SHA,SKG,TKL,TY1,G153
1667314800,50.4,16.6,26.6,19.4,40.7,14.8,13.3,24.5
1667318400,49.0,18.0,25.6,18.4,29.2,18.0,15.8,24.1
1667322000,51.3,20.0,26.3,19.1,30.9,17.1,17.8,25.8
1667325600,49.9,20.4,27.3,18.6,30.6,17.1,16.8,25.4
1667329200,48.9,22.5,27.2,18.1,31.2,17.1,15.9,26.0
1667332800,47.8,24.0,28.1,17.4,30.7,16.7,15.4,26.2
1667336400,46.8,24.4,27.4,17.2,29.6,15.5,14.0,25.6
1667340000,44.3,24.3,28.0,16.6,29.6,14.9,13.4,25.5
1667343600,41.3,24.2,25.5,15.4,26.1,13.3,12.2,24.5
1667347200,40.9,25.7,25.2,15.2,27.5,13.3,13.6,25.2
1667350800,38.3,27.8,25.9,15.3,28.6,15.6,17.3,25.8
1667354400,36.1,26.8,23.7,14.9,27.5,15.3,15.6,25.9
1667358000,36.4,27.6,22.1,15.2,25.8,16.5,16.0,26.4
1667361600,36.0,27.9,22.3,14.6,24.6,16.5,17.3,26.5
1667365200,37.9,26.5,20.4,14.0,22.9,14.8,18.1,26.7
1667368800,39.9,27.6,21.6,14.5,22.9,15.1,19.1,27.8
1667372400,39.7,27.5,22.6,14.9,21.9,13.9,15.9,27.2
1667376000,39.3,27.4,23.4,14.6,23.9,13.8,15.4,29.8
1667379600,41.1,26.8,23.9,14.7,23.5,16.5,15.7,30.3
1667383200,43.9,26.4,23.1,13.6,25.6,15.8,15.1,32.0
1667386800,44.7,29.6,22.4,14.8,28.2,16.0,15.0,34.6
1667390400,49.2,28.9,23.5,15.2,33.7,17.2,16.1,36.5
1667394000,52.1,31.1,22.1,18.0,34.9,17.3,17.0,37.4
1667397600,50.7,29.2,21.2,17.1,37.1,20.0,18.3,36.4
1667401200,48.1,30.1,24.9,18.2,38.1,18.5,17.5,34.7
1667404800,43.4,26.1,23.0,15.5,34.1,18.4,15.6,31.7
1667408400,42.4,26.0,22.2,13.9,30.7,16.6,15.8,28.6
1667412000,43.4,26.1,23.0,13.8,30.7,16.0,15.2,28.6
1667415600,38.8,25.9,21.3,13.0,27.7,13.5,13.3,26.8
1667419200,38.0,25.3,21.8,11.8,24.9,12.3,12.6,24.6
1667422800,37.6,25.0,21.4,12.3,24.4,11.7,11.2,22.7
1667426400,33.9,22.4,21.2,11.7,23.7,10.7,10.2,21.1
1667430000,30.2,20.5,18.9,11.0,19.8,8.8,9.0,18.8
1667433600,27.9,19.5,17.6,11.3,20.7,9.8,9.3,17.4
1667437200,25.2,20.3,17.3,12.4,21.8,12.4,12.4,16.3
1667440800,22.4,18.7,16.5,12.1,21.1,12.0,11.6,15.8
1667444400,21.9,19.0,15.3,12.2,20.0,13.0,11.8,14.8
1667448000,20.1,18.1,15.6,11.1,18.7,12.1,12.5,14.1
1667451600,20.4,17.4,14.3,10.6,17.2,10.6,13.0,13.8
1667455200,20.3,17.2,15.5,10.0,16.0,10.4,12.7,12.5
1667458800,21.3,17.1,17.0,10.1,14.7,9.7,11.7,12.2
1667462400,18.6,16.6,16.7,10.6,14.6,10.0,10.8,12.0
1667466000,17.5,14.2,14.8,9.1,13.2,10.4,9.7,11.2
1667469600,17.2,13.6,14.5,7.5,10.7,9.0,8.4,11.5
1667473200,16.8,15.7,13.8,7.9,9.8,8.0,7.2,12.1
1667476800,20.7,16.7,13.5,6.9,10.5,8.4,7.3,13.5
1667480400,22.0,17.7,13.1,7.6,11.8,8.5,7.8,14.2
1667484000,20.4,16.9,12.9,7.4,11.9,8.8,7.3,14.2
1667487600,19.9,17.1,13.8,6.7,12.4,7.2,6.7,14.2
1667491200,19.4,15.7,11.9,6.2,12.5,7.8,6.8,14.1
1667494800,19.6,15.4,11.8,6.0,13.6,6.8,7.3,14.2
1667498400,17.8,14.3,12.3,6.7,13.4,7.1,7.4,14.2
1667502000,17.8,13.8,12.3,6.8,14.2,7.5,6.6,15.0
1667505600,18.1,14.5,12.8,6.9,14.5,7.1,6.4,15.3
1667509200,18.4,14.0,13.6,7.3,14.4,6.7,5.9,15.9
1667512800,18.6,15.5,14.3,7.6,15.4,6.7,6.1,15.8
1667516400,19.7,15.0,13.2,8.4,14.7,6.2,6.0,15.5
1667520000,21.3,15.8,12.5,9.3,17.3,7.4,7.5,16.6
1667523600,22.0,18.3,14.2,11.1,19.1,10.7,11.2,17.6
1667527200,21.9,17.8,14.8,11.5,19.6,11.2,11.3,17.7
1667530800,22.9,18.9,14.7,12.1,19.9,12.5,11.8,17.4
1667534400,22.4,18.8,15.7,11.5,19.4,12.3,12.8,17.6
1667538000,24.7,18.8,15.0,11.3,18.4,11.2,13.9,18.0
1667541600,26.9,19.4,15.6,11.2,17.8,11.0,14.8,17.8
1667545200,27.6,19.6,16.9,11.3,16.2,10.2,13.0,17.2
1667548800,26.8,19.7,16.8,11.4,16.4,10.4,12.4,18.1
1667552400,27.7,18.7,15.4,10.2,15.3,10.9,12.2,17.8
1667556000,28.4,18.0,15.7,9.0,14.0,9.8,11.1,18.3
1667559600,28.0,20.3,14.6,9.3,13.3,8.7,10.3,19.2
1667563200,30.0,19.8,14.5,8.4,14.7,9.1,9.6,19.6
1667566800,29.8,20.5,13.9,9.5,15.6,9.2,9.5,21.0
1667570400,29.5,19.5,13.3,8.4,14.4,9.4,9.7,20.2
1667574000,28.5,19.9,13.8,8.0,14.6,7.8,9.1,19.9
1667577600,28.9,17.9,12.0,7.3,14.8,8.3,9.7,20.0
1667581200,28.4,17.6,11.9,7.1,15.2,6.5,9.8,19.8
1667584800,26.4,16.6,12.9,7.3,15.0,6.5,9.2,19.5
1667588400,25.3,16.0,12.9,7.0,14.5,6.3,8.0,18.9
1667592000,25.0,16.0,13.7,6.3,13.4,5.6,7.6,17.9
1667595600,23.7,15.0,13.9,6.0,11.7,4.9,6.3,16.9
1667599200,22.2,15.0,14.8,6.1,12.2,4.8,5.8,15.9
1667602800,20.6,13.6,13.6,6.6,10.7,4.2,5.2,14.7
1667606400,21.0,14.4,13.4,7.5,12.5,5.3,6.1,14.4
1667610000,19.6,16.0,14.8,9.6,15.5,8.8,9.3,14.8
1667613600,18.6,15.5,14.7,10.4,17.0,9.5,9.9,15.4
1667617200,18.9,16.4,13.7,10.9,17.2,10.7,10.5,15.2
1667620800,18.0,16.0,14.5,10.3,17.1,10.7,11.6,14.7
1667624400,19.5,16.5,13.8,10.1,16.1,9.8,12.5,14.3
1667628000,20.6,17.0,14.9,9.9,15.6,9.9,12.7,13.6
1667631600,22.1,16.9,16.0,9.7,14.3,9.2,11.7,13.4
1667635200,21.0,16.8,15.6,10.1,14.3,9.4,11.2,14.1
1667638800,21.6,15.4,14.4,8.7,12.6,9.2,10.4,13.7
1667642400,22.0,15.0,14.5,7.1,9.9,7.7,9.3,13.9
1667646000,20.8,16.8,13.6,7.4,9.0,6.6,7.9,14.2
1667649600,22.7,16.5,13.2,6.3,9.3,6.9,7.2,14.4
1667653200,23.5,17.1,12.4,6.8,10.6,6.9,7.5,15.5
1667656800,22.0,16.4,12.1,6.3,9.9,6.8,7.0,15.5
1667660400,21.8,16.9,12.7,5.8,10.3,5.8,6.3,15.6
1667664000,21.9,15.7,11.2,5.4,10.4,6.5,6.7,15.3
1667667600,23.0,15.5,11.3,5.2,11.4,5.4,7.4,15.4
1667671200,21.9,15.1,12.3,5.7,11.7,5.7,7.4,15.0
1667674800,21.7,14.8,12.5,5.9,12.1,5.9,6.5,15.0
1667678400,22.2,15.2,13.1,5.6,12.2,5.6,6.5,14.5
1667682000,22.6,15.3,13.8,6.0,12.0,5.5,6.0,14.6
1667685600,21.5,15.6,14.3,5.9,12.2,5.1,5.6,14.0
1667689200,20.3,14.5,13.0,6.1,10.6,3.9,5.2,13.1
1667692800,20.4,15.1,12.3,7.1,12.6,4.9,6.3,12.8
1667696400,19.2,16.2,13.6,9.1,15.1,8.2,9.2,13.2
1667700000,18.3,15.4,13.5,10.0,16.8,9.0,9.8,14.0
1667703600,18.6,16.2,12.9,10.6,16.8,10.2,10.3,13.9
1667707200,18.4,15.4,13.8,10.1,16.8,10.3,11.6,13.7
1667710800,19.7,15.7,13.4,10.0,16.2,9.5,12.6,13.3
1667714400,21.4,16.1,14.8,9.9,15.7,9.8,12.8,12.9
1667718000,23.1,16.1,16.3,9.8,14.5,9.0,11.8,12.8
1667721600,21.8,16.4,16.0,10.3,14.5,9.6,11.2,13.4
1667725200,22.4,15.6,14.6,9.0,12.5,9.7,10.6,13.0
1667728800,22.8,15.4,14.5,7.5,10.2,8.2,9.6,13.3
1667732400,22.2,17.2,13.6,7.8,9.4,7.1,8.4,14.0
1667736000,24.6,17.0,13.6,7.0,10.5,7.6,7.8,14.7
1667739600,25.3,17.6,12.6,7.7,12.0,7.5,8.0,15.6
1667743200,24.0,17.0,12.3,7.1,11.6,7.6,7.7,15.5
1667746800,23.4,17.1,13.0,6.7,12.3,6.3,6.9,15.5
1667750400,23.6,15.8,11.4,6.2,12.7,7.1,7.5,15.8
1667754000,24.7,15.7,11.4,6.2,13.8,6.0,8.1,16.3
1667757600,23.4,15.0,12.2,6.6,13.9,6.0,8.1,16.5
1667761200,23.1,14.8,12.0,6.4,13.7,6.0,7.1,16.6
1667764800,23.6,15.1,12.3,6.0,13.1,5.3,7.1,16.3
1667768400,23.3,14.6,12.6,6.0,12.2,5.1,6.2,16.1
1667772000,22.0,14.7,13.0,5.8,11.9,4.7,5.8,15.3
1667775600,20.7,13.3,11.6,6.0,10.2,3.7,5.3,14.2
1667779200,20.8,13.8,10.7,6.7,11.7,4.6,6.2,13.7
1667782800,19.4,15.1,12.0,8.5,13.7,7.3,9.1,14.0
1667786400,18.7,14.6,11.8,9.5,15.6,8.1,9.6,14.4
1667790000,18.8,15.6,11.8,9.8,15.1,9.3,10.1,14.1
1667793600,18.4,14.9,13.7,9.6,16.0,9.4,11.4,13.6
1667797200,19.4,15.3,13.5,9.4,15.4,8.7,12.3,13.2
1667800800,20.3,15.5,14.7,9.2,14.6,8.8,12.1,12.5
1667804400,22.2,15.8,16.3,9.2,13.8,8.5,11.4,12.7
1667808000,21.5,16.4,16.4,10.0,13.8,9.3,11.0,13.4
1667811600,22.2,15.5,15.0,8.9,12.1,9.4,10.4,13.2
1667815200,22.4,15.2,14.9,7.4,9.8,8.0,9.4,13.3
1667818800,21.6,17.0,13.8,7.7,9.0,7.0,8.1,13.8
1667822400,23.5,16.7,13.8,7.0,10.2,7.6,7.4,14.3
1667826000,24.8,17.6,12.9,7.8,11.8,7.7,7.9,15.6
1667829600,24.1,17.3,12.6,7.4,11.8,8.1,7.9,15.9
1667833200,24.0,17.9,13.5,7.2,12.8,6.9,7.4,16.3
1667836800,24.7,16.7,12.1,6.7,13.4,7.8,8.1,16.7
1667840400,26.0,17.0,12.2,6.8,14.8,6.9,9.0,17.4
1667844000,25.0,16.7,13.3,7.4,15.2,7.0,8.9,17.8
1667847600,25.0,16.5,13.0,7.3,15.2,6.9,8.1,18.0
1667851200,25.7,16.8,13.6,7.0,14.7,6.4,8.1,17.7
1667854800,25.7,16.4,13.6,7.1,13.8,6.2,7.3,17.6
1667858400,24.9,16.7,14.2,7.0,13.9,5.8,7.0,17.0
1667862000,23.9,15.7,12.9,7.3,12.1,4.9,6.5,16.1
1667865600,24.5,16.2,12.3,8.0,14.0,5.8,7.7,16.3
1667869200,22.8,17.6,13.8,9.9,16.4,8.7,10.9,16.3
1667872800,22.2,16.9,13.9,10.7,18.2,9.4,11.1,16.9
1667876400,23.1,18.0,13.3,11.1,18.0,10.8,11.5,16.7
1667880000,21.9,17.2,14.4,10.8,18.1,10.9,12.1,16.1
