ts,rh,temp,weather,windDir,windSpeed
1667314800,80.0,19.3,,5.0,50.4
1667318400,82.0,19.3,,2.0,49.0
1667322000,81.5,19.3,,4.0,51.3
1667325600,84.6,19.0,Light Rain,2.0,49.9
1667329200,85.2,18.2,,2.0,48.9
1667332800,85.6,17.4,,4.0,47.8
1667336400,85.3,16.6,Light Rain,2.0,46.8
1667340000,86.0,16.5,,3.0,44.3
1667343600,87.2,16.9,,2.0,41.3
1667347200,88.3,17.8,Light Rain,4.0,40.9
1667350800,87.0,18.9,,4.0,38.3
1667354400,82.8,20.4,,6.0,36.1
1667358000,81.6,21.0,Light Rain,8.0,36.4
1667361600,82.4,21.6,,11.0,36.0
1667365200,83.8,21.4,,14.0,37.9
1667368800,88.8,20.7,Light Rain,15.0,39.9
1667372400,91.6,20.5,,19.0,39.7
1667376000,92.5,20.2,,18.0,39.3
1667379600,97.5,19.5,Light Rain,20.0,41.1
1667383200,98.4,19.4,,22.0,43.9
1667386800,96.0,19.9,,27.0,44.7
1667390400,94.1,20.4,Light Rain,34.0,49.2
1667394000,93.5,20.7,,46.0,52.1
1667397600,92.7,20.9,,57.0,50.7
1667401200,92.1,21.2,Light Rain,66.0,48.1
1667404800,91.9,21.4,,87.0,43.4
1667408400,91.1,21.5,,98.0,42.4
1667412000,92.7,21.5,Light Rain,114.0,43.4
1667415600,93.1,21.5,,121.0,38.8
1667419200,94.5,21.4,,128.0,38.0
1667422800,94.0,21.3,Light Rain,133.0,37.6
1667426400,95.0,21.3,,135.0,33.9
1667430000,96.3,21.2,,139.0,30.2
1667433600,95.5,21.9,Light Rain,141.0,27.9
1667437200,93.5,22.4,,146.0,25.2
1667440800,89.0,23.2,,156.0,22.4
1667444400,85.4,23.3,Light Rain,162.0,21.9
1667448000,83.2,23.5,,161.0,20.1
1667451600,81.9,23.2,,157.0,20.4
1667455200,87.0,22.0,Light Rain,147.0,20.3
1667458800,89.1,21.5,,146.0,21.3
1667462400,90.3,20.8,,146.0,18.6
1667466000,94.4,19.7,Light Rain,145.0,17.5
1667469600,94.9,19.2,,141.0,17.2
1667473200,94.0,19.4,,125.0,16.8
1667476800,92.3,20.3,Cloudy,110.0,20.7
1667480400,90.4,21.1,,103.0,22.0
1667484000,90.0,21.7,,101.0,20.4
1667487600,89.4,21.6,Light Rain,97.0,19.9
1667491200,90.7,21.5,,98.0,19.4
1667494800,89.0,21.6,,96.0,19.6
1667498400,89.5,21.6,Cloudy,98.0,17.8
1667502000,89.9,21.7,,98.0,17.8
1667505600,90.9,21.7,,98.0,18.1
1667509200,90.9,21.6,Cloudy,92.0,18.4
1667512800,91.7,21.6,,89.0,18.6
1667516400,92.2,21.7,,89.0,19.7
1667520000,91.0,22.5,Cloudy,88.0,21.3
1667523600,89.7,23.2,,86.0,22.0
1667527200,84.5,24.4,,85.0,21.9
1667530800,81.3,24.6,Cloudy,87.0,22.9
1667534400,78.6,25.1,,88.0,22.4
1667538000,76.9,25.2,,91.0,24.7
1667541600,81.2,23.9,Cloudy,92.0,26.9
1667545200,84.7,23.0,,92.0,27.6
1667548800,86.1,22.1,,90.0,26.8
1667552400,91.5,20.7,Sunny Intervals,87.0,27.7
1667556000,91.0,20.0,,81.0,28.4
1667559600,89.4,20.1,,74.0,28.0
1667563200,90.2,20.6,Mainly Cloudly ,70.0,30.0
1667566800,88.6,21.2,,70.0,29.8
1667570400,87.7,21.7,,68.0,29.5
1667574000,86.0,21.7,Cloudy,64.0,28.5
1667577600,86.3,21.5,,63.0,28.9
1667581200,84.6,21.3,,59.0,28.4
1667584800,84.8,21.1,Cloudy,57.0,26.4
1667588400,84.7,20.8,,56.0,25.3
1667592000,85.2,20.4,,58.0,25.0
1667595600,84.4,20.1,Mainly Cloudly ,52.0,23.7
1667599200,85.0,19.7,,49.0,22.2
1667602800,86.3,19.6,,42.0,20.6
1667606400,85.8,20.2,Sunny Intervals,40.0,21.0
1667610000,83.0,21.0,,43.0,19.6
1667613600,76.9,22.3,,46.0,18.6
1667617200,73.6,22.8,Sunny Intervals,51.0,18.9
1667620800,71.3,23.3,,62.0,18.0
1667624400,69.9,23.6,,74.0,19.5
1667628000,73.9,22.9,Sunny Intervals,80.0,20.6
1667631600,77.1,22.6,,83.0,22.1
1667635200,78.5,22.2,,83.0,21.0
1667638800,83.8,21.4,Sunny Intervals,80.0,21.6
1667642400,86.3,20.7,,72.0,22.0
1667646000,86.7,20.6,,63.0,20.8
1667649600,87.6,20.6,Mainly Cloudly ,62.0,22.7
1667653200,85.9,20.6,,62.0,23.5
1667656800,85.0,20.5,,55.0,22.0
1667660400,83.3,20.5,Mainly Cloudly ,52.0,21.8
1667664000,83.5,20.3,,52.0,21.9
1667667600,82.0,20.2,,52.0,23.0
1667671200,81.8,20.1,Mainly Cloudly ,52.0,21.9
1667674800,81.9,19.9,,48.0,21.7
1667678400,82.8,19.4,,47.0,22.2
1667682000,82.7,18.9,Mainly Cloudly ,42.0,22.6
1667685600,83.1,18.5,,41.0,21.5
1667689200,84.7,18.3,,38.0,20.3
1667692800,84.6,19.0,Sunny Intervals,38.0,20.4
1667696400,82.4,19.9,,42.0,19.2
1667700000,76.0,21.3,,45.0,18.3
1667703600,73.2,21.9,Sunny Periods,55.0,18.6
1667707200,71.1,22.6,,68.0,18.4
1667710800,70.1,22.9,,83.0,19.7
1667714400,74.4,22.2,Sunny Periods,91.0,21.4
1667718000,77.7,21.8,,94.0,23.1
1667721600,79.0,21.4,,92.0,21.8
1667725200,83.4,20.6,Sunny Intervals,88.0,22.4
1667728800,84.9,20.2,,79.0,22.8
1667732400,84.3,20.3,,71.0,22.2
1667736000,84.9,20.4,Mainly Cloudly ,69.0,24.6
1667739600,82.7,20.5,,72.0,25.3
1667743200,82.3,20.5,,68.0,24.0
1667746800,81.3,20.5,Mainly Cloudly ,63.0,23.4
1667750400,82.5,20.4,,63.0,23.6
1667754000,82.0,20.4,,61.0,24.7
1667757600,82.7,20.5,Mainly Cloudly ,60.0,23.4
1667761200,82.6,20.4,,58.0,23.1
1667764800,83.3,20.0,,57.0,23.6
1667768400,83.0,19.6,Mainly Cloudly ,50.0,23.3
1667772000,83.1,19.2,,49.0,22.0
1667775600,84.2,19.1,,47.0,20.7
1667779200,83.8,20.0,Sunny Intervals,48.0,20.8
1667782800,81.2,20.9,,51.0,19.4
1667786400,74.6,22.3,,51.0,18.7
1667790000,71.9,22.9,Sunny Intervals,58.0,18.8
1667793600,69.7,23.7,,66.0,18.4
1667797200,68.6,24.2,,79.0,19.4
1667800800,72.9,23.4,Sunny Intervals,86.0,20.3
1667804400,76.6,22.8,,92.0,22.2
1667808000,78.1,22.2,,92.0,21.5
1667811600,83.3,21.1,Sunny Intervals,90.0,22.2
1667815200,85.0,20.7,,81.0,22.4
1667818800,84.5,20.8,,71.0,21.6
1667822400,85.1,20.8,Mainly Cloudly,68.0,23.5
1667826000,84.0,20.8,,69.0,24.8
1667829600,83.8,20.8,,65.0,24.1
1667833200,82.8,20.8,Mainly Fine,62.0,24.0
1667836800,83.3,20.8,,63.0,24.7
1667840400,81.9,20.9,,61.0,26.0
1667844000,82.0,20.9,Mainly Fine,60.0,25.0
1667847600,81.6,20.9,,58.0,25.0
1667851200,82.0,20.5,,60.0,25.7
1667854800,81.2,20.2,Mainly Fine,54.0,25.7
1667858400,81.4,19.9,,53.0,24.9
1667862000,82.3,19.8,,52.0,23.9
1667865600,81.9,20.6,Sunny Periods,53.0,24.5
1667869200,79.6,21.3,,57.0,22.8
1667872800,73.7,22.6,,58.0,22.2
1667876400,71.5,23.0,Sunny,65.0,23.1
1667880000,69.5,23.6,,73.0,21.9
1667883600,67.9,24.0,,83.0,23.2
1667887200,72.1,23.1,Sunny,88.0,24.5
1667890800,75.5,22.8,,92.0,25.4
1667894400,76.9,22.5,,92.0,24.5
1667898000,82.1,21.6,Sunny,90.0,24.5
1667901600,83.8,21.1,,82.0,24.1
1667905200,83.3,21.2,,73.0,23.0
1667908800,83.8,21.2,Unknown,70.0,24.7
1667912400,83.0,21.2,,69.0,25.5
1667916000,83.3,21.1,,65.0,24.4
1667919600,82.6,21.1,Unknown,62.0,23.8
1667923200,83.6,21.0,,61.0,24.1
1667926800,82.8,21.0,,59.0,25.1
1667930400,83.4,21.0,Unknown,58.0,23.9
