ts,rh,temp,weather,windDir,windSpeed
1667314800,82.8,19.4,,16.0,24.5
1667318400,82.8,19.5,,16.0,24.1
1667322000,83.9,19.4,,16.0,25.8
1667325600,84.8,19.2,,13.0,25.4
1667329200,84.9,19.3,,14.0,26.0
1667332800,84.7,19.4,,16.0,26.2
1667336400,84.7,19.4,,15.0,25.6
1667340000,84.4,19.4,,18.0,25.5
1667343600,83.9,19.5,,18.0,24.5
1667347200,82.9,19.9,,20.0,25.2
1667350800,82.3,20.3,,20.0,25.8
1667354400,80.4,20.8,,24.0,25.9
1667358000,80.8,21.0,,26.0,26.4
1667361600,82.9,21.0,,25.0,26.5
1667365200,84.2,20.9,,25.0,26.7
1667368800,85.9,21.0,,28.0,27.8
1667372400,86.1,21.1,,32.0,27.2
1667376000,88.6,20.9,,33.0,29.8
1667379600,90.2,20.6,,36.0,30.3
1667383200,91.2,20.7,,42.0,32.0
1667386800,91.1,21.0,,50.0,34.6
1667390400,90.0,21.4,,58.0,36.5
1667394000,90.1,21.4,,62.0,37.4
1667397600,90.4,21.6,,72.0,36.4
1667401200,90.0,22.0,,81.0,34.7
1667404800,89.8,22.2,,90.0,31.7
1667408400,89.7,22.4,,98.0,28.6
1667412000,89.7,22.4,,106.0,28.6
1667415600,91.2,22.4,,111.0,26.8
1667419200,91.7,22.4,,114.0,24.6
1667422800,92.2,22.3,,120.0,22.7
1667426400,93.2,22.1,,119.0,21.1
1667430000,93.0,22.1,,120.0,18.8
1667433600,91.5,22.5,,122.0,17.4
1667437200,90.0,22.9,,126.0,16.3
1667440800,87.5,23.3,,130.0,15.8
1667444400,85.2,23.7,,138.0,14.8
1667448000,84.6,23.7,,133.0,14.1
1667451600,85.2,23.5,,130.0,13.8
1667455200,86.6,23.2,,132.0,12.5
1667458800,86.4,23.2,,129.0,12.2
1667462400,87.7,22.9,,128.0,12.0
1667466000,89.5,22.5,,118.0,11.2
1667469600,90.0,22.3,,110.0,11.5
1667473200,90.2,22.3,,102.0,12.1
1667476800,89.0,22.4,,95.0,13.5
1667480400,87.8,22.5,,92.0,14.2
1667484000,87.1,22.6,,92.0,14.2
1667487600,87.2,22.6,,92.0,14.2
1667491200,87.9,22.5,,92.0,14.1
1667494800,87.0,22.5,,91.0,14.2
1667498400,87.6,22.5,,88.0,14.2
1667502000,88.0,22.6,,87.0,15.0
1667505600,87.3,22.7,,85.0,15.3
1667509200,88.3,22.7,,82.0,15.9
1667512800,89.2,22.6,,81.0,15.8
1667516400,87.9,22.7,,80.0,15.5
1667520000,86.0,23.3,,82.0,16.6
1667523600,84.8,23.7,,81.0,17.6
1667527200,82.1,24.1,,79.0,17.7
1667530800,79.6,24.5,,80.0,17.4
1667534400,78.8,24.5,,80.0,17.6
1667538000,78.6,24.5,,81.0,18.0
1667541600,79.5,24.2,,81.0,17.8
1667545200,80.2,24.0,,81.0,17.2
1667548800,82.9,23.5,,81.0,18.1
1667552400,85.0,22.9,,78.0,17.8
1667556000,84.5,22.6,,75.0,18.3
1667559600,84.9,22.4,,74.0,19.2
1667563200,85.6,22.2,,72.0,19.6
1667566800,83.7,22.2,,67.0,21.0
1667570400,83.6,22.1,,66.0,20.2
1667574000,82.5,22.1,,66.0,19.9
1667577600,81.7,22.0,,64.0,20.0
1667581200,80.7,21.9,,63.0,19.8
1667584800,80.6,21.9,,62.0,19.5
1667588400,81.1,21.7,,62.0,18.9
1667592000,81.4,21.6,,61.0,17.9
1667595600,81.6,21.5,,59.0,16.9
1667599200,81.2,21.3,,57.0,15.9
1667602800,81.0,21.2,,53.0,14.7
1667606400,80.0,21.6,,56.0,14.4
1667610000,77.6,22.2,,57.0,14.8
1667613600,74.4,22.9,,58.0,15.4
1667617200,72.4,23.5,,60.0,15.2
1667620800,71.7,23.7,,62.0,14.7
1667624400,72.1,23.8,,65.0,14.3
1667628000,72.4,23.8,,68.0,13.6
1667631600,72.9,23.6,,71.0,13.4
1667635200,75.0,23.1,,70.0,14.1
1667638800,78.1,22.3,,69.0,13.7
1667642400,81.0,21.7,,66.0,13.9
1667646000,82.5,21.5,,63.0,14.2
1667649600,82.9,21.4,,62.0,14.4
1667653200,81.8,21.4,,59.0,15.5
1667656800,81.4,21.4,,57.0,15.5
1667660400,80.2,21.3,,58.0,15.6
1667664000,79.9,21.1,,57.0,15.3
1667667600,79.3,20.9,,58.0,15.4
1667671200,78.5,20.8,,55.0,15.0
1667674800,78.8,20.7,,52.0,15.0
1667678400,79.4,20.5,,50.0,14.5
1667682000,79.7,20.4,,47.0,14.6
1667685600,78.9,20.2,,48.0,14.0
1667689200,79.0,20.1,,46.0,13.1
1667692800,77.4,20.7,,52.0,12.8
1667696400,75.2,21.3,,53.0,13.2
1667700000,72.3,22.0,,56.0,14.0
1667703600,70.1,22.7,,60.0,13.9
