ts,rh,temp,weather,windDir,windSpeed
1667314800,74.0,20.7,,10.0,16.6
1667318400,78.0,20.0,,9.0,18.0
1667322000,78.2,20.0,,18.0,20.0
1667325600,80.0,19.9,Light Rain,16.0,20.4
1667329200,80.8,18.8,,10.0,22.5
1667332800,79.1,18.0,,12.0,24.0
1667336400,77.9,17.3,Light Rain,15.0,24.4
1667340000,76.6,17.4,,17.0,24.3
1667343600,74.8,17.8,,16.0,24.2
1667347200,71.9,18.6,Light Rain,14.0,25.7
1667350800,69.4,19.3,,14.0,27.8
1667354400,69.3,19.5,,12.0,26.8
1667358000,67.5,20.0,Light Rain,10.0,27.6
1667361600,67.5,20.2,,7.0,27.9
1667365200,71.1,19.9,,358.0,26.5
1667368800,74.2,19.8,Light Rain,357.0,27.6
1667372400,75.0,19.8,,355.0,27.5
1667376000,72.8,20.3,,359.0,27.4
1667379600,75.1,20.1,Light Rain,14.0,26.8
1667383200,77.3,20.0,,28.0,26.4
1667386800,77.1,20.2,,35.0,29.6
1667390400,76.1,20.6,Light Rain,42.0,28.9
1667394000,77.6,20.6,,54.0,31.1
1667397600,78.0,20.6,,68.0,29.2
1667401200,78.3,20.6,Light Rain,70.0,30.1
1667404800,80.0,20.7,,87.0,26.1
1667408400,79.7,21.4,,94.0,26.0
1667412000,80.8,21.9,Light Rain,106.0,26.1
1667415600,82.4,22.2,,111.0,25.9
1667419200,82.6,22.2,,116.0,25.3
1667422800,82.5,22.3,Light Rain,119.0,25.0
1667426400,83.0,22.3,,119.0,22.4
1667430000,83.1,22.5,,125.0,20.5
1667433600,79.6,23.2,Light Rain,127.0,19.5
1667437200,78.2,23.6,,126.0,20.3
1667440800,78.1,23.7,,142.0,18.7
1667444400,74.9,24.2,Light Rain,153.0,19.0
1667448000,73.5,24.4,,166.0,18.1
1667451600,74.0,24.1,,186.0,17.4
1667455200,75.6,23.7,Light Rain,157.0,17.2
1667458800,76.4,23.4,,197.0,17.1
1667462400,73.6,23.6,,200.0,16.6
1667466000,76.2,23.3,Light Rain,166.0,14.2
1667469600,77.8,23.2,,134.0,13.6
1667473200,77.1,23.2,,117.0,15.7
1667476800,76.0,23.4,Light Rain,109.0,16.7
1667480400,76.6,23.5,,102.0,17.7
1667484000,76.0,23.6,,102.0,16.9
1667487600,75.7,23.7,Light Rain,102.0,17.1
1667491200,77.5,23.6,,103.0,15.7
1667494800,76.9,23.6,,102.0,15.4
1667498400,77.6,23.5,Cloudy,101.0,14.3
1667502000,79.1,23.4,,100.0,13.8
1667505600,79.2,23.4,,96.0,14.5
1667509200,79.0,23.5,Cloudy,92.0,14.0
1667512800,78.5,23.4,,93.0,15.5
1667516400,78.9,23.5,,94.0,15.0
1667520000,75.0,24.3,Cloudy,90.0,15.8
1667523600,73.8,24.9,,85.0,18.3
1667527200,72.5,25.4,,88.0,17.8
1667530800,68.9,26.1,Cloudy,86.0,18.9
1667534400,66.9,26.4,,86.0,18.8
1667538000,66.7,26.0,,86.0,18.8
1667541600,67.8,25.6,Cloudy,89.0,19.4
1667545200,69.1,25.1,,86.0,19.6
1667548800,67.6,24.9,,81.0,19.7
1667552400,71.0,24.1,Sunny Intervals,85.0,18.7
1667556000,72.5,23.5,,86.0,18.0
1667559600,71.5,23.2,,82.0,20.3
1667563200,71.4,22.9,Mainly Cloudly ,83.0,19.8
1667566800,72.6,22.4,,82.0,20.5
1667570400,71.7,22.1,,83.0,19.5
1667574000,70.8,22.1,Cloudy,78.0,19.9
1667577600,72.4,22.3,,81.0,17.9
1667581200,71.6,22.6,,78.0,17.6
1667584800,72.7,22.8,Cloudy,71.0,16.6
1667588400,73.9,22.3,,69.0,16.0
1667592000,74.2,21.8,,66.0,16.0
1667595600,73.8,21.5,Mainly Cloudly ,64.0,15.0
1667599200,73.0,21.2,,66.0,15.0
1667602800,72.7,21.4,,63.0,13.6
1667606400,69.3,22.1,Sunny Intervals,56.0,14.4
1667610000,66.4,22.7,,53.0,16.0
1667613600,63.9,23.5,,54.0,15.5
1667617200,60.5,24.3,Sunny Intervals,49.0,16.4
1667620800,58.7,24.9,,44.0,16.0
1667624400,58.8,25.1,,28.0,16.5
1667628000,59.8,25.3,Sunny Intervals,28.0,17.0
1667631600,61.1,25.1,,16.0,16.9
1667635200,59.9,25.0,,28.0,16.8
1667638800,62.9,24.4,Sunny Intervals,59.0,15.4
1667642400,67.3,23.5,,72.0,15.0
1667646000,68.8,23.0,,74.0,16.8
1667649600,69.7,22.7,Mainly Cloudly ,80.0,16.5
1667653200,70.7,22.5,,77.0,17.1
1667656800,70.5,22.4,,77.0,16.4
1667660400,69.9,22.3,Mainly Cloudly ,69.0,16.9
1667664000,70.8,22.0,,75.0,15.7
1667667600,69.8,21.8,,74.0,15.5
1667671200,69.9,21.6,Mainly Cloudly ,69.0,15.1
1667674800,71.0,21.0,,65.0,14.8
1667678400,71.2,20.4,,60.0,15.2
1667682000,70.7,20.0,Mainly Cloudly ,60.0,15.3
1667685600,69.5,19.9,,63.0,15.6
1667689200,69.3,20.2,,63.0,14.5
1667692800,67.0,20.9,Sunny Intervals,60.0,15.1
1667696400,64.9,21.7,,56.0,16.2
1667700000,62.8,22.6,,58.0,15.4
1667703600,60.5,23.5,Sunny Intervals,54.0,16.2
1667707200,58.5,24.2,,47.0,15.4
1667710800,58.4,24.6,,23.0,15.7
1667714400,59.4,24.9,Sunny Intervals,22.0,16.1
1667718000,60.9,24.6,,12.0,16.1
1667721600,60.2,24.4,,10.0,16.4
1667725200,63.1,23.6,Sunny Intervals,95.0,15.6
1667728800,66.6,22.8,,89.0,15.4
1667732400,67.1,22.6,,82.0,17.2
1667736000,67.3,22.6,Mainly Cloudly ,83.0,17.0
1667739600,68.4,22.5,,84.0,17.6
1667743200,68.6,22.4,,87.0,17.0
1667746800,68.6,22.3,Mainly Fine,83.0,17.1
1667750400,70.4,22.2,,86.0,15.8
1667754000,70.0,22.3,,84.0,15.7
1667757600,70.7,22.2,Mainly Fine,79.0,15.0
1667761200,71.4,21.8,,75.0,14.8
1667764800,71.3,21.3,,71.0,15.1
1667768400,70.6,21.0,Mainly Fine,69.0,14.6
1667772000,70.1,20.8,,70.0,14.7
1667775600,70.0,21.2,,70.0,13.3
1667779200,67.2,22.1,Sunny Periods,66.0,13.8
1667782800,64.5,22.8,,60.0,15.1
1667786400,61.9,23.6,,63.0,14.6
1667790000,59.3,24.5,Sunny Intervals,59.0,15.6
1667793600,57.6,25.3,,53.0,14.9
1667797200,57.8,25.6,,29.0,15.3
