ts,rh,temp,weather,windDir,windSpeed
1667314800,85.0,19.4,,12.0,26.6
1667318400,86.0,19.2,,11.0,25.6
1667322000,87.5,19.2,,16.0,26.3
1667325600,89.5,18.9,Light Rain,17.0,27.3
1667329200,92.0,18.7,,16.0,27.2
1667332800,91.4,18.0,,16.0,28.1
1667336400,91.1,17.2,Light Rain,16.0,27.4
1667340000,90.2,16.5,,19.0,28.0
1667343600,91.8,16.4,,22.0,25.5
1667347200,91.0,17.2,Light Rain,17.0,25.2
1667350800,88.6,18.0,,18.0,25.9
1667354400,86.8,18.4,,14.0,23.7
1667358000,82.1,19.4,Light Rain,9.0,22.1
1667361600,79.4,20.2,,9.0,22.3
1667365200,82.9,19.5,,4.0,20.4
1667368800,87.6,19.5,Light Rain,4.0,21.6
1667372400,89.8,19.9,,2.0,22.6
1667376000,90.4,20.2,,6.0,23.4
1667379600,93.2,19.6,Light Rain,15.0,23.9
1667383200,94.4,19.3,,20.0,23.1
1667386800,93.1,19.6,,22.0,22.4
1667390400,94.2,19.9,Light Rain,27.0,23.5
1667394000,94.5,19.3,,31.0,22.1
1667397600,93.1,18.8,,38.0,21.2
1667401200,92.9,18.5,Light Rain,41.0,24.9
1667404800,95.6,18.5,,48.0,23.0
1667408400,96.6,19.1,,56.0,22.2
1667412000,96.5,19.3,Light Rain,63.0,23.0
1667415600,98.4,19.6,,73.0,21.3
1667419200,98.3,19.7,,76.0,21.8
1667422800,99.6,19.6,Light Rain,86.0,21.4
1667426400,100.0,19.7,,93.0,21.2
1667430000,100.0,19.8,,102.0,18.9
1667433600,100.0,20.6,Light Rain,103.0,17.6
1667437200,98.7,21.4,,103.0,17.3
1667440800,95.8,21.8,,101.0,16.5
1667444400,90.4,22.6,Light Rain,109.0,15.3
1667448000,85.7,23.3,,107.0,15.6
1667451600,86.3,23.0,,114.0,14.3
1667455200,89.6,22.6,Light Rain,114.0,15.5
1667458800,91.3,22.5,,127.0,17.0
1667462400,91.1,22.6,,124.0,16.7
1667466000,92.5,22.1,Light Rain,108.0,14.8
1667469600,94.3,21.7,,102.0,14.5
1667473200,92.1,21.8,,98.0,13.8
1667476800,94.5,21.9,Cloudy,96.0,13.5
1667480400,94.3,21.8,,88.0,13.1
1667484000,91.9,21.8,,90.0,12.9
1667487600,91.4,21.8,Cloudy,91.0,13.8
1667491200,92.2,21.8,,96.0,11.9
1667494800,92.8,21.9,,96.0,11.8
1667498400,92.2,21.9,Cloudy,93.0,12.3
1667502000,94.1,21.9,,91.0,12.3
1667505600,93.6,21.6,,87.0,12.8
1667509200,93.6,21.1,Cloudy,86.0,13.6
1667512800,94.0,20.5,,88.0,14.3
1667516400,95.8,20.5,,88.0,13.2
1667520000,94.3,21.7,Cloudy,81.0,12.5
1667523600,91.9,22.8,,79.0,14.2
1667527200,87.5,23.7,,74.0,14.8
1667530800,80.7,25.0,Cloudy,76.0,14.7
1667534400,74.9,26.3,,74.0,15.7
1667538000,74.4,26.2,,75.0,15.0
1667541600,76.6,25.8,Cloudy,71.0,15.6
1667545200,78.9,25.2,,76.0,16.9
1667548800,79.9,24.6,,67.0,16.8
1667552400,82.6,23.6,Sunny Intervals,66.0,15.4
1667556000,85.5,22.8,,69.0,15.7
1667559600,84.5,22.6,,66.0,14.6
1667563200,87.1,22.4,Mainly Cloudly ,66.0,14.5
1667566800,86.1,22.2,,58.0,13.9
1667570400,84.2,22.0,,60.0,13.3
1667574000,84.0,21.8,Cloudy,58.0,13.8
1667577600,85.1,21.7,,57.0,12.0
1667581200,86.5,21.5,,50.0,11.9
1667584800,86.9,21.3,Cloudy,51.0,12.9
1667588400,89.1,21.0,,51.0,12.9
1667592000,88.5,20.7,,47.0,13.7
1667595600,88.1,20.2,Mainly Cloudly ,45.0,13.9
1667599200,87.7,19.8,,48.0,14.8
1667602800,88.5,19.6,,49.0,13.6
1667606400,85.6,20.5,Sunny Intervals,40.0,13.4
1667610000,82.4,21.4,,41.0,14.8
1667613600,76.6,22.6,,34.0,14.7
1667617200,71.3,24.0,Sunny Intervals,27.0,13.7
1667620800,66.6,25.1,,26.0,14.5
1667624400,67.3,25.1,,19.0,13.8
1667628000,69.7,24.9,Sunny Intervals,18.0,14.9
1667631600,71.1,24.7,,355.0,16.0
1667635200,70.9,24.5,,354.0,15.6
1667638800,74.2,23.6,Sunny Intervals,24.0,14.4
1667642400,79.3,22.4,,43.0,14.5
1667646000,81.2,21.8,,47.0,13.6
1667649600,84.3,21.4,Mainly Cloudly ,56.0,13.2
1667653200,85.0,21.0,,49.0,12.4
1667656800,83.9,20.6,,50.0,12.1
1667660400,84.0,20.3,Mainly Cloudly ,48.0,12.7
1667664000,85.2,20.0,,52.0,11.2
1667667600,85.0,19.9,,52.0,11.3
1667671200,83.9,19.8,Mainly Cloudly ,54.0,12.3
1667674800,86.5,19.5,,52.0,12.5
1667678400,85.6,19.2,,48.0,13.1
1667682000,84.3,18.8,Mainly Fine,48.0,13.8
1667685600,84.7,18.2,,52.0,14.3
1667689200,87.3,18.1,,55.0,13.0
1667692800,85.2,19.2,Sunny Periods,45.0,12.3
1667696400,82.0,20.3,,44.0,13.6
1667700000,76.4,21.7,,37.0,13.5
1667703600,71.3,23.3,Sunny Intervals,29.0,12.9
1667707200,65.9,24.6,,21.0,13.8
1667710800,65.5,25.0,,357.0,13.4
1667714400,67.3,25.3,Sunny Intervals,356.0,14.8
1667718000,69.4,25.2,,337.0,16.3
1667721600,70.5,24.6,,342.0,16.0
1667725200,74.5,23.5,Sunny Intervals,23.0,14.6
1667728800,78.9,22.0,,52.0,14.5
1667732400,80.9,21.5,,58.0,13.6
1667736000,84.4,21.0,Mainly Cloudly ,66.0,13.6
1667739600,85.1,20.7,,64.0,12.6
1667743200,84.4,20.5,,68.0,12.3
1667746800,84.8,20.4,Unknown,69.0,13.0
1667750400,86.0,20.4,,72.0,11.4
1667754000,85.8,20.5,,66.0,11.4
1667757600,84.6,20.6,Unknown,64.0,12.2
1667761200,86.7,20.3,,60.0,12.0
1667764800,85.9,20.1,,54.0,12.3
1667768400,85.3,19.8,Mainly Fine,51.0,12.6
1667772000,86.8,19.2,,56.0,13.0
1667775600,90.0,19.0,,59.0,11.6
1667779200,87.6,20.0,Sunny Periods,48.0,10.7
1667782800,83.0,21.1,,46.0,12.0
1667786400,76.3,22.5,,35.0,11.8
1667790000,70.2,24.3,Sunny Intervals,21.0,11.8
1667793600,65.1,25.8,,10.0,13.7
1667797200,65.3,26.0,,345.0,13.5
1667800800,67.4,25.9,Sunny Intervals,350.0,14.7
1667804400,69.8,25.4,,322.0,16.3
1667808000,71.1,24.7,,337.0,16.4
1667811600,75.4,23.3,Sunny Intervals,27.0,15.0
1667815200,79.7,22.2,,66.0,14.9
1667818800,81.3,21.7,,68.0,13.8
1667822400,84.2,21.4,Mainly Cloudly,70.0,13.8
1667826000,85.2,21.1,,63.0,12.9
1667829600,84.5,21.0,,67.0,12.6
1667833200,85.0,20.9,Mainly Fine,68.0,13.5
1667836800,85.5,20.9,,71.0,12.1
1667840400,85.0,21.1,,67.0,12.2
1667844000,83.5,21.2,Mainly Fine,65.0,13.3
1667847600,85.1,21.0,,63.0,13.0
1667851200,84.7,20.8,,58.0,13.6
1667854800,84.4,20.4,Mainly Cloudly,55.0,13.6
1667858400,85.4,19.9,,61.0,14.2
1667862000,87.7,19.8,,63.0,12.9
1667865600,84.6,20.9,Sunny Intervals,55.0,12.3
1667869200,79.9,22.0,,55.0,13.8
1667872800,73.4,23.2,,49.0,13.9
1667876400,67.3,24.8,Sunny Intervals,46.0,13.3
1667880000,62.4,26.0,,42.0,14.4
1667883600,62.3,26.3,,28.0,13.9
