ts,rh,temp,weather,windDir,windSpeed
1667314800,70.0,21.8,,32.0,19.4
1667318400,73.0,21.5,,33.0,18.4
1667322000,75.8,20.5,,16.0,19.1
1667325600,78.3,19.9,Light Rain,18.0,18.6
1667329200,79.8,19.7,,15.0,18.1
1667332800,80.6,19.5,,16.0,17.4
1667336400,82.2,19.1,Light Rain,16.0,17.2
1667340000,82.9,18.6,,17.0,16.6
1667343600,83.6,18.3,,24.0,15.4
1667347200,83.2,18.6,Light Rain,26.0,15.2
1667350800,84.9,18.4,,24.0,15.3
1667354400,84.4,18.7,,28.0,14.9
1667358000,82.6,19.1,Light Rain,26.0,15.2
1667361600,85.5,19.0,,22.0,14.6
1667365200,89.1,18.7,,22.0,14.0
1667368800,90.2,18.9,Light Rain,24.0,14.5
1667372400,90.0,19.2,,30.0,14.9
1667376000,91.6,19.1,,34.0,14.6
1667379600,92.7,19.2,Light Rain,33.0,14.7
1667383200,91.8,19.6,,36.0,13.6
1667386800,89.7,20.3,,48.0,14.8
1667390400,89.7,20.7,Light Rain,50.0,15.2
1667394000,89.9,20.5,,57.0,18.0
1667397600,90.3,20.3,,65.0,17.1
1667401200,91.0,20.0,Light Rain,70.0,18.2
1667404800,91.2,20.0,,79.0,15.5
1667408400,92.3,20.7,,88.0,13.9
1667412000,91.8,21.4,Light Rain,98.0,13.8
1667415600,92.6,21.9,,106.0,13.0
1667419200,92.1,22.0,,103.0,11.8
1667422800,93.9,21.8,Light Rain,112.0,12.3
1667426400,94.8,21.6,,111.0,11.7
1667430000,95.5,21.6,,111.0,11.0
1667433600,91.9,22.4,Light Rain,115.0,11.3
1667437200,93.0,22.6,,107.0,12.4
1667440800,91.5,22.7,,117.0,12.1
1667444400,89.0,23.0,Light Rain,115.0,12.2
1667448000,89.4,22.8,,124.0,11.1
1667451600,91.1,22.8,,118.0,10.6
1667455200,91.2,22.9,Light Rain,122.0,10.0
1667458800,91.2,23.0,,116.0,10.1
1667462400,91.4,23.0,,122.0,10.6
1667466000,93.0,22.8,Light Rain,123.0,9.1
1667469600,91.4,22.7,,117.0,7.5
1667473200,89.7,22.8,,111.0,7.9
