ts,rh,temp,weather,windDir,windSpeed
1667314800,70.0,21.4,,13.0,40.7
1667318400,73.0,20.8,,5.0,29.2
1667322000,74.7,19.8,,9.0,30.9
1667325600,76.2,19.5,Light Rain,8.0,30.6
1667329200,77.4,19.3,,9.0,31.2
1667332800,79.0,19.1,,10.0,30.7
1667336400,80.7,18.7,Light Rain,8.0,29.6
1667340000,79.7,18.5,,9.0,29.6
1667343600,80.8,18.2,,8.0,26.1
1667347200,82.3,18.3,Light Rain,12.0,27.5
1667350800,84.4,18.0,,15.0,28.6
1667354400,82.8,18.2,,18.0,27.5
1667358000,83.1,18.4,Light Rain,16.0,25.8
1667361600,85.8,18.2,,14.0,24.6
1667365200,87.3,18.2,,13.0,22.9
1667368800,88.1,18.6,Light Rain,16.0,22.9
1667372400,88.3,18.9,,18.0,21.9
1667376000,90.8,18.9,,19.0,23.9
1667379600,89.4,19.1,Light Rain,22.0,23.5
1667383200,89.3,19.4,,26.0,25.6
1667386800,91.3,19.5,,32.0,28.2
1667390400,89.8,20.1,Light Rain,36.0,33.7
1667394000,89.5,20.2,,42.0,34.9
1667397600,88.7,20.3,,53.0,37.1
1667401200,89.7,20.2,Light Rain,61.0,38.1
1667404800,90.0,20.4,,72.0,34.1
1667408400,90.4,21.0,,84.0,30.7
1667412000,90.3,21.6,Light Rain,92.0,30.7
1667415600,91.3,22.1,,97.0,27.7
1667419200,91.9,22.2,,96.0,24.9
1667422800,93.1,22.0,Light Rain,108.0,24.4
1667426400,92.4,21.8,,107.0,23.7
1667430000,91.9,21.7,,115.0,19.8
1667433600,90.7,22.2,Light Rain,117.0,20.7
1667437200,91.2,22.2,,117.0,21.8
1667440800,89.4,22.1,,116.0,21.1
1667444400,89.0,22.3,Light Rain,126.0,20.0
1667448000,89.6,22.2,,130.0,18.7
1667451600,89.1,22.4,,128.0,17.2
1667455200,89.8,22.3,Light Rain,128.0,16.0
1667458800,90.0,22.5,,128.0,14.7
1667462400,90.9,22.5,,125.0,14.6
1667466000,90.1,22.4,Light Rain,120.0,13.2
1667469600,89.4,22.6,,112.0,10.7
1667473200,91.4,22.3,,106.0,9.8
1667476800,89.7,22.4,Light Rain,99.0,10.5
1667480400,87.7,22.5,,90.0,11.8
1667484000,86.5,22.5,,90.0,11.9
1667487600,87.9,22.6,Light Rain,89.0,12.4
1667491200,87.6,22.8,,92.0,12.5
1667494800,87.3,23.0,,87.0,13.6
1667498400,87.6,23.1,Light Rain,83.0,13.4
1667502000,87.4,23.2,,84.0,14.2
1667505600,88.0,23.2,,78.0,14.5
1667509200,88.9,23.1,Light Rain,73.0,14.4
1667512800,87.4,23.1,,70.0,15.4
1667516400,86.1,23.1,,74.0,14.7
1667520000,85.6,23.6,Cloudy,72.0,17.3
1667523600,85.7,23.8,,73.0,19.1
1667527200,82.9,24.0,,73.0,19.6
1667530800,82.4,24.5,Cloudy,78.0,19.9
1667534400,82.3,24.7,,77.0,19.4
1667538000,81.5,24.8,,86.0,18.4
1667541600,82.1,24.6,Cloudy,86.0,17.8
1667545200,82.8,24.3,,86.0,16.2
1667548800,85.3,23.8,,87.0,16.4
1667552400,84.1,23.5,Sunny Intervals,83.0,15.3
1667556000,83.1,23.2,,68.0,14.0
1667559600,85.5,22.6,,62.0,13.3
1667563200,84.7,22.3,Mainly Cloudly ,55.0,14.7
1667566800,83.0,22.1,,50.0,15.6
1667570400,81.5,21.9,,48.0,14.4
1667574000,81.4,21.6,Cloudy,52.0,14.6
1667577600,80.8,21.6,,51.0,14.8
1667581200,80.7,21.8,,51.0,15.2
1667584800,80.4,22.1,Cloudy,48.0,15.0
1667588400,81.1,22.3,,49.0,14.5
1667592000,82.1,21.9,,41.0,13.4
1667595600,83.1,21.5,Mainly Cloudly ,33.0,11.7
1667599200,80.6,21.2,,30.0,12.2
1667602800,80.1,21.0,,26.0,10.7
1667606400,79.4,21.6,Sunny Intervals,31.0,12.5
1667610000,77.6,22.1,,39.0,15.5
1667613600,74.2,22.5,,43.0,17.0
1667617200,73.6,23.0,Sunny Intervals,46.0,17.2
1667620800,73.6,23.1,,48.0,17.1
1667624400,73.3,23.4,,56.0,16.1
1667628000,73.8,23.6,Sunny Intervals,60.0,15.6
1667631600,74.5,23.5,,68.0,14.3
1667635200,77.0,23.2,,76.0,14.3
1667638800,78.2,22.7,Sunny Intervals,78.0,12.6
1667642400,79.9,22.3,,59.0,9.9
1667646000,83.5,21.9,,49.0,9.0
1667649600,83.7,21.8,Mainly Cloudly ,42.0,9.3
1667653200,82.0,21.8,,40.0,10.6
1667656800,80.0,21.8,,35.0,9.9
1667660400,79.9,21.7,Mainly Cloudly ,38.0,10.3
1667664000,79.3,21.6,,40.0,10.4
1667667600,79.0,21.4,,43.0,11.4
1667671200,77.8,21.3,Mainly Cloudly ,40.0,11.7
1667674800,78.3,21.1,,40.0,12.1
1667678400,79.6,20.7,,34.0,12.2
1667682000,81.1,20.1,Mainly Cloudly ,31.0,12.0
1667685600,78.2,19.7,,28.0,12.2
1667689200,78.2,19.6,,27.0,10.6
1667692800,77.2,20.3,Sunny Intervals,32.0,12.6
1667696400,76.3,20.9,,39.0,15.1
1667700000,73.4,21.4,,44.0,16.8
1667703600,73.0,22.1,Sunny Periods,50.0,16.8
1667707200,72.5,22.5,,52.0,16.8
1667710800,72.0,22.9,,64.0,16.2
1667714400,72.8,23.2,Sunny Periods,68.0,15.7
1667718000,73.8,23.1,,76.0,14.5
1667721600,75.8,22.7,,80.0,14.5
1667725200,77.1,22.2,Sunny Intervals,79.0,12.5
1667728800,78.8,21.8,,64.0,10.2
1667732400,82.2,21.4,,58.0,9.4
1667736000,82.0,21.5,Mainly Cloudly ,52.0,10.5
1667739600,80.8,21.6,,55.0,12.0
1667743200,79.3,21.7,,53.0,11.6
1667746800,79.9,21.8,Mainly Cloudly ,57.0,12.3
1667750400,79.8,21.8,,58.0,12.7
1667754000,79.8,21.8,,58.0,13.8
1667757600,79.0,21.8,Mainly Cloudly ,53.0,13.9
1667761200,79.0,21.8,,53.0,13.7
1667764800,79.7,21.4,,45.0,13.1
1667768400,80.5,20.9,Mainly Cloudly ,39.0,12.2
1667772000,79.2,20.5,,37.0,11.9
