ts,rh,temp,weather,windDir,windSpeed
1667314800,79.0,19.4,,28.0,14.8
1667318400,84.0,18.7,,23.0,18.0
1667322000,88.0,18.2,,16.0,17.1
1667325600,90.8,17.8,Light Rain,15.0,17.1
1667329200,92.4,17.7,,16.0,17.1
1667332800,93.0,16.9,,16.0,16.7
1667336400,93.1,16.2,Light Rain,18.0,15.5
1667340000,92.7,15.5,,16.0,14.9
1667343600,94.7,15.5,,19.0,13.3
1667347200,90.8,16.6,Light Rain,24.0,13.3
1667350800,85.6,17.5,,20.0,15.6
1667354400,85.5,17.8,,17.0,15.3
1667358000,83.6,18.2,Light Rain,17.0,16.5
1667361600,83.8,18.2,,17.0,16.5
1667365200,86.1,18.4,,14.0,14.8
1667368800,90.3,18.2,Light Rain,22.0,15.1
1667372400,88.6,18.9,,26.0,13.9
1667376000,92.1,18.6,,32.0,13.8
1667379600,93.4,18.4,Light Rain,32.0,16.5
1667383200,94.1,18.1,,36.0,15.8
1667386800,93.8,18.4,,44.0,16.0
1667390400,91.2,19.0,Light Rain,52.0,17.2
1667394000,92.1,18.6,,59.0,17.3
1667397600,92.8,18.3,,68.0,20.0
1667401200,93.0,18.2,Light Rain,72.0,18.5
1667404800,93.1,18.4,,78.0,18.4
1667408400,94.7,18.9,,85.0,16.6
1667412000,95.5,19.4,Light Rain,91.0,16.0
1667415600,96.0,19.8,,92.0,13.5
1667419200,95.3,20.1,,95.0,12.3
1667422800,95.0,20.0,Light Rain,104.0,11.7
1667426400,94.8,20.0,,108.0,10.7
1667430000,97.1,19.9,,116.0,8.8
1667433600,95.3,21.0,Light Rain,118.0,9.8
1667437200,94.2,21.5,,113.0,12.4
1667440800,93.8,21.7,,114.0,12.0
1667444400,91.6,22.1,Light Rain,113.0,13.0
1667448000,88.4,22.2,,118.0,12.1
1667451600,89.0,22.3,,114.0,10.6
1667455200,91.3,22.2,Light Rain,110.0,10.4
1667458800,89.9,22.7,,117.0,9.7
1667462400,92.0,22.5,,107.0,10.0
1667466000,94.4,22.1,Light Rain,102.0,10.4
1667469600,94.8,21.7,,102.0,9.0
1667473200,94.0,21.6,,110.0,8.0
1667476800,91.4,22.0,Light Rain,110.0,8.4
1667480400,91.1,22.0,,110.0,8.5
1667484000,91.3,21.9,,104.0,8.8
1667487600,91.4,21.9,Cloudy,107.0,7.2
1667491200,90.3,22.1,,103.0,7.8
1667494800,91.3,22.0,,102.0,6.8
1667498400,91.4,21.9,Cloudy,100.0,7.1
1667502000,91.2,22.0,,98.0,7.5
1667505600,91.1,21.6,,95.0,7.1
1667509200,90.3,21.0,Cloudy,92.0,6.7
1667512800,91.0,20.2,,91.0,6.7
1667516400,93.2,20.1,,99.0,6.2
1667520000,90.6,21.6,Cloudy,94.0,7.4
1667523600,87.1,22.6,,82.0,10.7
1667527200,84.3,23.4,,82.0,11.2
1667530800,80.4,24.4,Cloudy,77.0,12.5
1667534400,77.4,24.9,,82.0,12.3
1667538000,76.2,25.8,,81.0,11.2
1667541600,78.0,25.7,Cloudy,82.0,11.0
1667545200,77.6,25.4,,91.0,10.2
1667548800,80.6,24.5,,85.0,10.4
1667552400,83.7,23.4,Sunny Intervals,84.0,10.9
1667556000,85.2,22.6,,80.0,9.8
1667559600,85.8,22.3,,88.0,8.7
1667563200,84.3,22.4,Mainly Cloudly ,89.0,9.1
1667566800,83.7,22.2,,84.0,9.2
1667570400,84.2,22.0,,80.0,9.4
1667574000,84.3,21.8,Cloudy,78.0,7.8
1667577600,83.8,21.7,,72.0,8.3
1667581200,86.5,21.3,,69.0,6.5
1667584800,87.2,21.1,Cloudy,65.0,6.5
1667588400,88.7,20.8,,64.0,6.3
1667592000,89.2,20.4,,58.0,5.6
1667595600,89.1,19.8,Mainly Cloudly ,56.0,4.9
1667599200,88.9,19.3,,48.0,4.8
1667602800,90.3,19.0,,50.0,4.2
1667606400,85.2,20.1,Sunny Intervals,56.0,5.3
1667610000,78.6,21.1,,44.0,8.8
1667613600,73.9,22.3,,40.0,9.5
1667617200,71.0,23.2,Cloudy,42.0,10.7
1667620800,68.5,23.7,,46.0,10.7
1667624400,68.4,24.1,,44.0,9.8
1667628000,70.0,24.3,Cloudy,50.0,9.9
1667631600,69.0,24.6,,62.0,9.2
1667635200,71.8,24.1,,66.0,9.4
1667638800,75.6,23.3,Sunny Intervals,66.0,9.2
1667642400,79.8,22.1,,64.0,7.7
1667646000,82.3,21.4,,78.0,6.6
1667649600,82.2,21.4,Mainly Cloudly ,82.0,6.9
1667653200,82.4,21.0,,74.0,6.9
