ts,rh,temp,weather,windDir,windSpeed
1667314800,67.0,22.2,,326.0,13.3
1667318400,69.0,21.8,,328.0,15.8
1667322000,74.0,20.9,,324.0,19.4
1667325600,73.0,21.0,Cloudy,337.0,15.8
1667329200,74.0,20.8,,357.0,15.8
1667332800,80.0,20.2,,329.0,17.3
1667336400,79.7,20.3,Light Rain,359.0,16.3
1667340000,79.0,20.1,,351.0,15.7
1667343600,79.0,19.9,,351.0,14.4
1667347200,78.6,20.0,Light Rain,356.0,15.8
1667350800,78.6,20.0,,354.0,19.4
1667354400,76.8,20.1,,357.0,17.2
1667358000,73.9,20.3,Light Rain,355.0,17.1
1667361600,75.5,20.2,,1.0,17.9
1667365200,76.7,20.1,,358.0,18.1
1667368800,76.9,20.2,Light Rain,0.0,19.1
1667372400,77.8,20.5,,6.0,15.9
1667376000,81.9,20.4,,12.0,15.4
1667379600,83.6,20.2,Light Rain,23.0,15.7
1667383200,83.7,20.6,,27.0,15.1
1667386800,83.0,21.3,,30.0,15.0
1667390400,80.8,21.9,Light Rain,43.0,16.1
1667394000,81.3,21.7,,50.0,17.0
1667397600,82.2,21.2,,63.0,18.3
1667401200,83.0,20.8,Light Rain,76.0,17.5
1667404800,84.4,20.7,,93.0,15.6
1667408400,84.5,21.2,,106.0,15.8
1667412000,84.4,21.7,Light Rain,117.0,15.2
1667415600,85.6,22.0,,127.0,13.3
1667419200,86.6,22.0,,138.0,12.6
1667422800,87.5,22.0,Light Rain,141.0,11.2
1667426400,87.5,22.0,,146.0,10.2
1667430000,88.2,22.1,,152.0,9.0
1667433600,88.0,22.4,Light Rain,157.0,9.3
1667437200,86.5,22.7,,162.0,12.4
1667440800,84.3,23.1,,171.0,11.6
1667444400,79.6,23.6,Light Rain,182.0,11.8
1667448000,79.1,23.7,,178.0,12.5
1667451600,77.7,24.2,,181.0,13.0
1667455200,77.8,24.0,Light Rain,178.0,12.7
1667458800,77.8,24.0,,176.0,11.7
1667462400,82.0,23.7,,173.0,10.8
1667466000,83.5,23.2,Light Rain,162.0,9.7
1667469600,83.3,23.1,,154.0,8.4
