ts,cch,hka,lfs,sha,skg,tkl,ty1,g153
1667358000,90.0,89.0,94.0,86.0,85.0,89.0,85.0,79.5
1667361600,95.0,90.0,97.0,88.0,84.0,92.0,84.0,79.4
1667365200,94.3,90.8,97.6,89.6,85.7,91.1,83.6,81.5
1667368800,98.3,90.3,97.2,92.8,88.7,93.9,84.2,84.6
1667372400,100.0,91.2,99.1,94.6,90.7,94.5,85.2,87.2
1667376000,100.0,87.0,98.4,94.9,92.2,96.5,88.3,88.9
1667379600,100.0,86.6,99.8,95.9,91.5,98.3,88.5,91.1
1667383200,100.0,86.9,99.7,94.5,90.9,98.2,88.0,91.9
1667386800,100.0,83.6,98.1,91.8,92.4,97.4,86.2,92.0
1667390400,97.3,80.2,98.8,91.4,90.9,94.3,83.2,91.0
1667394000,93.5,78.0,96.3,90.7,90.1,93.1,82.1,90.9
1667397600,93.5,78.5,95.4,91.0,89.0,94.2,82.8,90.8
1667401200,92.3,78.6,95.5,91.5,90.2,95.3,83.6,90.4
1667404800,93.0,80.2,96.8,91.5,90.0,94.7,84.8,90.1
1667408400,92.0,79.6,96.3,92.6,90.5,95.9,84.8,90.1
1667412000,92.1,81.1,95.8,92.1,90.4,95.7,84.9,90.4
1667415600,92.6,82.9,98.5,92.8,90.8,97.7,85.5,90.7
1667419200,94.0,83.3,99.0,92.8,91.9,97.4,86.4,91.0
1667422800,94.2,82.8,98.6,93.9,92.9,95.7,87.2,91.5
1667426400,95.1,82.8,99.1,94.5,92.1,96.2,87.1,92.9
1667430000,96.5,82.3,100.0,94.7,91.5,97.9,88.1,92.2
1667433600,95.5,79.2,100.0,91.6,90.3,95.5,87.2,90.7
1667437200,92.9,77.9,98.3,92.7,91.2,93.8,85.8,89.8
1667440800,88.7,77.1,95.5,93.2,91.1,94.8,84.2,87.7
1667444400,85.5,73.7,89.7,89.1,89.3,92.0,79.5,85.4
1667448000,82.3,72.5,85.8,88.2,88.4,88.1,78.8,83.8
1667451600,80.5,72.7,86.8,89.4,89.0,88.8,77.4,84.1
1667455200,86.5,73.7,87.8,92.2,91.6,90.8,78.6,86.8
1667458800,90.5,76.6,90.3,92.7,93.0,91.8,79.0,88.0
1667462400,91.2,74.4,91.8,93.9,94.7,95.2,83.8,90.1
1667466000,96.1,77.6,94.2,95.4,93.1,97.9,85.2,92.2
1667469600,96.5,80.1,97.1,93.7,92.1,97.9,85.1,92.4
1667473200,95.4,79.4,94.9,90.8,92.3,97.5,83.9,91.4
1667476800,94.8,78.6,97.0,91.3,91.4,94.6,82.1,90.8
1667480400,90.7,76.5,93.7,89.3,88.8,91.9,80.9,88.9
1667484000,91.1,77.1,92.4,89.4,87.6,92.2,81.8,89.2
1667487600,89.7,77.1,92.9,89.5,88.3,91.8,81.8,88.2
1667491200,90.6,78.3,94.1,89.2,88.1,91.0,82.5,88.0
1667494800,89.4,77.4,94.9,89.9,88.1,92.1,82.5,87.6
1667498400,90.4,79.2,94.1,89.8,88.2,93.0,82.4,88.1
1667502000,90.8,80.3,96.2,90.4,89.3,93.5,83.5,89.3
1667505600,92.1,80.4,95.8,90.5,90.2,92.7,84.8,89.6
1667509200,91.9,80.8,95.5,92.0,90.7,91.6,85.6,90.0
1667512800,92.7,80.5,95.9,92.1,89.1,92.1,85.7,90.9
1667516400,94.2,80.5,97.3,91.7,88.4,94.2,85.6,90.0
1667520000,94.0,76.2,95.2,88.8,87.1,91.3,85.1,88.6
1667523600,91.8,74.7,92.1,87.6,86.6,87.5,82.5,86.6
1667527200,87.1,73.4,87.0,85.9,84.7,84.4,79.5,83.8
1667530800,83.7,70.2,80.7,81.5,82.3,80.6,74.4,80.7
1667534400,79.9,68.0,76.0,79.7,81.4,77.1,72.4,78.2
1667538000,78.5,68.0,76.1,80.8,82.0,77.2,71.3,79.6
1667541600,84.1,69.2,77.2,82.8,84.1,78.5,72.2,81.7
1667545200,88.3,71.7,80.3,83.6,85.4,80.1,72.9,82.7
1667548800,90.1,70.3,81.8,85.7,87.7,84.6,78.3,85.6
1667552400,94.6,74.3,85.2,87.9,86.3,87.3,80.1,87.4
1667556000,93.8,75.8,88.2,86.2,85.2,88.4,79.4,87.0
1667559600,92.2,74.4,86.9,84.4,86.3,89.1,78.7,85.9
1667563200,90.5,73.0,89.2,84.8,85.2,87.4,76.8,85.0
1667566800,85.8,70.7,85.5,82.5,82.6,84.6,74.7,82.0
1667570400,85.5,70.8,84.1,82.8,81.2,85.3,75.7,82.2
1667574000,84.5,71.1,84.3,82.6,81.2,85.4,76.3,81.2
1667577600,84.8,72.8,85.5,82.4,81.1,85.1,77.0,80.8
1667581200,83.6,72.1,85.6,83.5,81.4,85.8,77.1,80.4
1667584800,84.3,72.5,84.5,82.8,81.0,85.5,76.6,80.8
1667588400,83.9,72.8,85.8,82.4,80.6,85.6,76.3,81.1
1667592000,83.8,72.0,84.7,81.5,80.4,85.1,76.2,80.1
1667595600,82.6,70.8,84.2,82.0,80.7,84.9,76.0,80.1
1667599200,82.8,69.8,84.0,81.5,79.0,85.1,75.1,80.2
1667602800,84.1,69.7,85.8,81.2,78.7,87.3,75.2,79.9
1667606400,83.8,66.0,83.4,78.5,77.4,83.0,74.1,78.2
1667610000,81.1,64.2,80.1,76.4,75.8,76.7,71.9,75.5
1667613600,75.3,62.2,74.9,73.9,73.5,72.9,68.4,72.3
1667617200,72.9,59.1,69.9,70.4,71.4,69.9,64.3,69.5
1667620800,70.4,57.2,65.7,68.8,70.6,66.2,62.8,68.3
1667624400,69.6,57.3,65.4,70.0,71.6,66.0,62.1,69.9
1667628000,75.5,58.3,66.4,72.4,74.2,67.2,63.7,72.7
1667631600,81.7,62.2,70.0,74.9,76.8,69.8,65.9,75.5
1667635200,84.0,62.7,72.6,78.5,80.2,74.5,71.9,79.1
1667638800,89.3,67.3,77.4,82.7,81.6,79.8,74.8,82.6
1667642400,90.2,71.5,83.5,83.8,82.5,84.2,76.5,84.1
1667646000,89.5,72.2,85.5,83.5,85.2,87.1,77.1,84.5
1667649600,89.9,72.9,89.7,84.7,84.7,87.2,77.0,84.6
1667653200,85.5,70.9,86.8,82.1,81.6,84.3,74.2,81.9
1667656800,85.5,71.0,85.8,83.1,81.0,85.9,75.5,82.6
1667660400,84.7,71.1,86.3,83.7,82.0,87.0,76.6,82.5
1667664000,85.2,72.4,87.2,83.1,81.5,86.1,77.2,82.1
1667667600,84.0,71.7,87.2,83.2,80.8,87.0,76.5,81.0
1667671200,83.9,72.1,86.5,82.0,79.5,86.8,75.6,80.1
1667674800,83.0,72.6,88.5,82.3,79.4,88.3,75.9,79.9
1667678400,83.1,72.3,88.0,82.2,79.7,88.9,76.8,80.0
1667682000,82.1,71.3,87.3,82.9,80.2,89.3,76.9,79.8
1667685600,82.3,70.7,87.5,82.4,78.2,89.7,75.9,79.4
1667689200,83.6,70.5,89.2,81.7,77.9,91.4,75.8,78.9
1667692800,83.0,67.1,85.4,78.1,76.3,85.1,73.8,76.5
1667696400,81.1,65.4,82.0,76.6,75.2,78.0,72.2,74.7
1667700000,75.5,63.3,76.1,75.1,74.1,73.9,69.0,73.0
1667703600,73.9,60.8,71.5,72.8,73.1,71.8,65.8,71.1
1667707200,71.8,59.4,68.0,72.3,72.8,69.2,65.1,70.7
1667710800,71.0,60.1,68.8,73.9,73.8,69.4,64.9,72.2
1667714400,76.3,61.5,71.0,76.6,76.4,72.0,66.4,74.5
1667718000,81.8,65.1,75.0,78.1,78.2,74.1,67.9,76.4
1667721600,83.0,64.7,77.4,80.4,80.8,78.3,72.4,79.0
1667725200,87.4,68.2,81.9,82.9,81.6,82.9,74.4,81.5
1667728800,88.8,71.5,85.4,84.4,82.7,85.8,76.3,83.7
1667732400,88.3,71.6,85.4,83.8,85.4,87.1,76.5,84.4
1667736000,88.8,71.3,86.7,84.3,84.8,85.4,75.8,84.6
1667739600,84.1,69.1,84.1,81.4,81.2,82.8,72.8,81.0
1667743200,83.7,69.1,83.3,81.8,79.9,84.2,73.6,80.8
1667746800,82.4,69.0,83.8,82.0,80.5,85.3,74.2,80.1
1667750400,83.6,70.8,85.4,82.0,80.4,84.8,75.6,80.4
1667754000,83.0,70.5,85.7,82.7,80.5,85.9,75.7,80.3
1667757600,83.8,71.4,84.9,82.2,79.9,85.7,75.5,80.5
1667761200,83.5,72.1,86.8,82.2,80.0,86.3,75.8,80.7
1667764800,83.9,71.8,85.9,81.9,80.5,86.2,76.6,80.7
1667768400,83.3,71.2,85.4,82.8,81.3,86.1,76.9,81.0
1667772000,83.6,70.4,86.1,82.6,79.3,87.5,76.5,80.8
1667775600,84.3,69.8,88.3,82.0,79.0,90.0,76.0,80.1
1667779200,83.7,66.3,85.2,78.3,76.9,84.7,74.1,77.5
1667782800,81.6,64.9,82.2,76.7,75.8,78.4,72.1,75.6
1667786400,76.3,63.3,77.1,75.7,74.9,75.2,69.5,73.9
1667790000,74.5,61.5,72.9,73.0,73.7,73.1,66.2,71.7
1667793600,72.0,59.8,68.6,72.0,72.8,69.7,64.9,70.6
1667797200,70.6,59.8,68.7,72.6,73.4,69.3,64.2,71.5
1667800800,75.9,61.0,69.6,74.8,75.4,70.5,65.2,73.7
1667804400,80.9,64.6,73.5,76.3,77.2,72.1,66.8,75.2
1667808000,81.9,64.2,75.6,79.1,80.4,76.2,71.7,77.9
1667811600,86.2,68.0,80.5,82.5,81.2,81.1,74.1,80.6
1667815200,87.9,71.7,85.3,83.8,82.5,85.0,75.9,83.0
1667818800,87.5,71.7,86.0,83.2,85.2,86.9,76.1,83.9
1667822400,87.9,71.5,88.0,83.8,84.5,85.6,75.3,84.0
1667826000,83.4,69.4,85.1,81.5,81.6,83.2,72.7,81.0
1667829600,83.3,69.6,85.0,81.9,80.3,84.8,73.7,81.1
