ts,cch,hka,lfs,sha,skg,tkl,ty1,g153
1667358000,19.8,19.4,18.6,19.9,19.6,18.7,19.9,20.8
1667361600,18.9,19.3,18.7,19.9,20.0,18.5,20.4,21.0
1667365200,19.4,19.7,18.9,20.0,20.0,19.2,21.0,21.0
1667368800,19.1,19.9,19.5,19.9,20.0,19.1,21.0,20.9
1667372400,18.2,19.6,19.4,19.8,20.0,19.2,21.1,20.6
1667376000,18.1,19.8,19.4,19.8,20.1,19.0,21.0,20.3
1667379600,17.4,19.7,18.9,20.2,20.5,18.6,20.9,20.1
1667383200,17.7,19.8,18.6,20.8,21.2,18.5,21.1,20.3
1667386800,18.5,20.1,18.7,21.6,21.6,18.7,21.5,20.5
1667390400,19.3,20.8,19.0,22.0,22.0,19.3,22.2,20.8
1667394000,20.3,20.8,18.9,21.7,21.9,18.9,22.8,21.2
1667397600,20.6,20.3,18.3,21.0,21.3,18.2,23.1,21.4
1667401200,20.9,19.9,17.8,20.3,20.8,17.6,23.4,21.7
1667404800,21.1,20.3,18.2,20.3,20.7,18.1,23.6,21.9
1667408400,21.3,20.7,18.8,20.5,21.1,18.4,23.4,22.1
1667412000,21.3,20.9,19.0,20.6,21.4,18.7,23.2,22.2
1667415600,21.3,21.0,19.2,20.9,21.7,19.0,22.9,22.3
1667419200,21.2,21.1,19.5,21.1,21.9,19.5,22.9,22.4
1667422800,21.2,21.5,19.7,21.4,21.9,19.7,23.1,22.4
1667426400,21.2,21.6,19.9,21.4,22.0,19.9,23.1,22.3
1667430000,21.3,22.1,20.2,21.5,22.0,20.1,23.1,22.4
1667433600,22.1,22.9,21.1,22.4,22.7,21.3,23.5,22.9
1667437200,22.7,23.3,21.8,22.6,22.5,21.8,23.6,23.2
1667440800,23.4,23.5,22.0,22.5,22.1,21.9,23.7,23.5
1667444400,23.2,23.9,22.7,23.0,22.4,22.3,24.0,23.8
1667448000,23.3,24.0,23.3,23.2,22.7,22.5,24.0,23.9
1667451600,23.3,23.7,22.8,23.0,22.5,22.7,24.2,23.7
1667455200,22.0,23.6,22.8,22.7,22.3,22.5,23.4,23.3
1667458800,21.2,23.3,22.8,22.8,22.4,22.5,22.9,23.1
1667462400,20.6,23.6,22.6,22.7,22.5,22.1,22.1,22.7
1667466000,19.6,23.2,21.9,22.5,22.5,21.6,21.2,22.3
1667469600,19.1,23.0,21.2,22.4,22.5,21.2,20.7,22.1
1667473200,19.3,23.0,21.3,22.6,22.4,21.1,20.8,22.2
1667476800,20.1,23.2,21.4,22.6,22.4,21.4,21.8,22.3
1667480400,21.2,23.6,21.6,22.8,22.7,21.7,22.7,22.5
1667484000,21.7,23.5,21.5,22.8,22.6,21.7,23.3,22.4
1667487600,21.7,23.5,21.4,22.8,22.7,21.7,23.3,22.5
1667491200,21.6,23.4,21.4,22.9,22.9,21.9,23.3,22.5
1667494800,21.7,23.5,21.5,22.8,22.9,21.7,23.3,22.5
1667498400,21.8,23.3,21.5,22.7,22.9,21.6,23.3,22.5
1667502000,21.8,22.9,21.5,22.4,23.0,21.5,23.0,22.5
1667505600,21.7,22.5,21.2,22.0,22.9,21.3,22.4,22.5
1667509200,21.6,22.0,20.8,21.5,22.8,20.8,22.0,22.4
1667512800,21.5,22.0,20.2,21.4,22.8,20.2,21.9,22.3
1667516400,21.5,22.5,20.2,21.8,22.7,20.1,22.3,22.4
1667520000,22.2,23.7,21.5,22.9,23.3,21.5,22.9,22.9
1667523600,22.8,24.5,22.8,23.8,23.9,22.6,23.7,23.4
