ts,cch,hka,lfs,sha,skg,tkl,ty1,g153
1667358000,348.0,344.0,357.0,16.0,350.0,8.0,336.0,20.0
1667361600,341.0,340.0,352.0,10.0,348.0,352.0,331.0,18.0
1667365200,6.0,349.0,0.0,20.0,12.0,12.0,350.0,18.0
1667368800,10.0,351.0,2.0,24.0,13.0,22.0,352.0,22.0
1667372400,14.0,350.0,2.0,28.0,14.0,25.0,358.0,24.0
1667376000,12.0,355.0,4.0,31.0,16.0,34.0,5.0,23.0
1667379600,12.0,6.0,13.0,27.0,19.0,29.0,14.0,29.0
1667383200,13.0,21.0,20.0,33.0,23.0,33.0,17.0,38.0
1667386800,15.0,25.0,22.0,40.0,25.0,39.0,18.0,42.0
1667390400,22.0,33.0,23.0,41.0,29.0,48.0,28.0,48.0
1667394000,35.0,45.0,26.0,49.0,36.0,48.0,40.0,56.0
1667397600,40.0,53.0,32.0,51.0,40.0,52.0,44.0,61.0
1667401200,47.0,52.0,34.0,57.0,51.0,56.0,57.0,68.0
1667404800,66.0,69.0,42.0,69.0,63.0,63.0,73.0,82.0
1667408400,80.0,77.0,54.0,82.0,79.0,78.0,88.0,95.0
1667412000,105.0,90.0,66.0,95.0,93.0,88.0,108.0,105.0
1667415600,114.0,98.0,74.0,107.0,100.0,89.0,121.0,113.0
1667419200,121.0,106.0,80.0,109.0,105.0,93.0,132.0,117.0
1667422800,126.0,109.0,82.0,122.0,124.0,106.0,133.0,120.0
1667426400,129.0,111.0,86.0,118.0,116.0,112.0,139.0,118.0
1667430000,130.0,115.0,90.0,117.0,130.0,125.0,142.0,119.0
1667433600,136.0,119.0,93.0,116.0,120.0,120.0,147.0,124.0
1667437200,139.0,118.0,98.0,105.0,118.0,109.0,151.0,124.0
1667440800,140.0,123.0,96.0,116.0,116.0,112.0,152.0,121.0
1667444400,147.0,128.0,99.0,109.0,122.0,106.0,166.0,121.0
1667448000,147.0,139.0,98.0,118.0,124.0,110.0,170.0,127.0
1667451600,150.0,168.0,104.0,114.0,127.0,109.0,177.0,128.0
1667455200,151.0,176.0,102.0,117.0,125.0,104.0,179.0,129.0
1667458800,148.0,183.0,106.0,109.0,121.0,109.0,176.0,121.0
1667462400,142.0,182.0,99.0,112.0,118.0,101.0,172.0,118.0
1667466000,130.0,176.0,92.0,110.0,106.0,94.0,158.0,109.0
1667469600,115.0,112.0,90.0,98.0,93.0,92.0,146.0,102.0
1667473200,106.0,106.0,87.0,97.0,90.0,102.0,134.0,98.0
1667476800,107.0,107.0,86.0,93.0,83.0,102.0,126.0,92.0
1667480400,102.0,100.0,78.0,89.0,78.0,98.0,116.0,91.0
1667484000,97.0,100.0,80.0,91.0,79.0,95.0,112.0,88.0
1667487600,94.0,98.0,82.0,92.0,79.0,98.0,114.0,88.0
1667491200,98.0,102.0,84.0,91.0,83.0,94.0,114.0,90.0
1667494800,95.0,101.0,82.0,87.0,77.0,96.0,111.0,86.0
1667498400,91.0,96.0,81.0,90.0,74.0,92.0,104.0,83.0
1667502000,90.0,94.0,79.0,92.0,72.0,85.0,111.0,82.0
1667505600,85.0,89.0,75.0,81.0,64.0,81.0,113.0,80.0
1667509200,80.0,86.0,76.0,78.0,60.0,81.0,112.0,78.0
1667512800,78.0,87.0,78.0,72.0,56.0,77.0,109.0,76.0
1667516400,76.0,88.0,78.0,75.0,57.0,82.0,105.0,74.0
1667520000,75.0,84.0,71.0,74.0,59.0,84.0,108.0,76.0
1667523600,76.0,79.0,68.0,66.0,64.0,70.0,109.0,76.0
1667527200,73.0,81.0,64.0,77.0,66.0,71.0,106.0,75.0
1667530800,76.0,79.0,68.0,71.0,71.0,71.0,107.0,74.0
1667534400,78.0,79.0,64.0,76.0,70.0,76.0,111.0,74.0
1667538000,81.0,75.0,60.0,77.0,76.0,74.0,104.0,75.0
1667541600,83.0,77.0,56.0,80.0,73.0,72.0,111.0,74.0
1667545200,82.0,69.0,54.0,78.0,72.0,80.0,107.0,74.0
1667548800,78.0,64.0,49.0,82.0,72.0,77.0,122.0,75.0
1667552400,75.0,72.0,54.0,79.0,65.0,71.0,108.0,72.0
1667556000,68.0,77.0,59.0,66.0,52.0,67.0,87.0,69.0
1667559600,63.0,76.0,58.0,71.0,44.0,78.0,80.0,68.0
1667563200,61.0,77.0,58.0,60.0,40.0,83.0,76.0,67.0
1667566800,64.0,76.0,52.0,60.0,41.0,77.0,78.0,67.0
1667570400,60.0,79.0,53.0,60.0,41.0,74.0,75.0,66.0
1667574000,58.0,73.0,49.0,60.0,45.0,67.0,80.0,66.0
1667577600,60.0,77.0,49.0,57.0,44.0,55.0,76.0,67.0
1667581200,56.0,72.0,46.0,55.0,44.0,51.0,72.0,66.0
1667584800,52.0,64.0,47.0,54.0,39.0,48.0,74.0,62.0
1667588400,48.0,61.0,47.0,51.0,38.0,50.0,70.0,60.0
1667592000,48.0,59.0,45.0,48.0,34.0,46.0,57.0,59.0
1667595600,40.0,57.0,44.0,46.0,30.0,49.0,56.0,54.0
1667599200,38.0,59.0,49.0,41.0,28.0,42.0,42.0,52.0
1667602800,36.0,62.0,53.0,51.0,26.0,50.0,38.0,49.0
1667606400,39.0,59.0,44.0,52.0,31.0,57.0,47.0,53.0
1667610000,44.0,56.0,44.0,48.0,40.0,44.0,128.0,57.0
1667613600,46.0,58.0,42.0,60.0,44.0,45.0,126.0,58.0
1667617200,50.0,52.0,38.0,54.0,48.0,42.0,126.0,59.0
1667620800,60.0,44.0,32.0,56.0,51.0,49.0,136.0,63.0
1667624400,78.0,26.0,24.0,64.0,63.0,48.0,150.0,70.0
1667628000,93.0,21.0,25.0,73.0,69.0,59.0,148.0,74.0
1667631600,96.0,13.0,15.0,78.0,80.0,74.0,143.0,78.0
1667635200,91.0,45.0,2.0,92.0,88.0,80.0,147.0,77.0
1667638800,88.0,76.0,88.0,98.0,86.0,78.0,128.0,75.0
1667642400,76.0,82.0,65.0,82.0,65.0,78.0,104.0,70.0
1667646000,66.0,80.0,65.0,82.0,55.0,90.0,88.0,67.0
1667649600,64.0,82.0,70.0,72.0,50.0,94.0,83.0,65.0
1667653200,66.0,80.0,61.0,68.0,48.0,86.0,82.0,66.0
1667656800,62.0,82.0,62.0,66.0,46.0,80.0,79.0,65.0
1667660400,59.0,77.0,60.0,68.0,51.0,78.0,83.0,65.0
1667664000,60.0,80.0,63.0,67.0,54.0,73.0,77.0,66.0
1667667600,59.0,79.0,59.0,68.0,56.0,75.0,78.0,67.0
1667671200,58.0,74.0,58.0,69.0,52.0,72.0,81.0,64.0
1667674800,56.0,71.0,56.0,68.0,54.0,69.0,83.0,64.0
1667678400,57.0,68.0,50.0,62.0,48.0,66.0,82.0,64.0
1667682000,52.0,66.0,48.0,61.0,41.0,65.0,87.0,62.0
1667685600,50.0,68.0,55.0,54.0,39.0,60.0,76.0,61.0
1667689200,47.0,68.0,59.0,61.0,36.0,69.0,70.0,58.0
1667692800,46.0,64.0,50.0,60.0,41.0,71.0,80.0,60.0
1667696400,49.0,60.0,48.0,54.0,48.0,54.0,90.0,62.0
1667700000,51.0,63.0,43.0,66.0,52.0,53.0,109.0,63.0
1667703600,62.0,63.0,42.0,62.0,60.0,55.0,127.0,66.0
1667707200,69.0,57.0,31.0,65.0,60.0,64.0,134.0,66.0
1667710800,80.0,34.0,11.0,70.0,72.0,64.0,136.0,68.0
1667714400,83.0,47.0,8.0,78.0,72.0,73.0,140.0,69.0
1667718000,87.0,34.0,318.0,79.0,78.0,90.0,138.0,73.0
1667721600,85.0,30.0,327.0,89.0,81.0,86.0,144.0,72.0
1667725200,84.0,96.0,68.0,92.0,78.0,79.0,127.0,71.0
1667728800,74.0,88.0,70.0,79.0,60.0,81.0,106.0,68.0
1667732400,68.0,83.0,69.0,84.0,57.0,96.0,94.0,67.0
1667736000,67.0,84.0,71.0,75.0,52.0,98.0,88.0,67.0
1667739600,70.0,83.0,64.0,71.0,51.0,93.0,87.0,67.0
1667743200,67.0,86.0,69.0,71.0,50.0,89.0,85.0,67.0
1667746800,64.0,82.0,71.0,72.0,56.0,91.0,90.0,68.0
1667750400,65.0,86.0,74.0,72.0,58.0,87.0,86.0,68.0
1667754000,64.0,84.0,68.0,72.0,59.0,87.0,86.0,69.0
1667757600,64.0,80.0,66.0,73.0,56.0,82.0,86.0,67.0
1667761200,60.0,77.0,64.0,72.0,56.0,77.0,90.0,66.0
1667764800,59.0,72.0,58.0,63.0,47.0,73.0,87.0,64.0
1667768400,52.0,70.0,56.0,61.0,40.0,70.0,88.0,60.0
1667772000,52.0,72.0,61.0,55.0,39.0,64.0,80.0,60.0
1667775600,50.0,72.0,62.0,64.0,38.0,74.0,74.0,58.0
1667779200,50.0,69.0,52.0,64.0,44.0,75.0,91.0,62.0
1667782800,52.0,63.0,48.0,55.0,49.0,56.0,104.0,62.0
1667786400,51.0,63.0,40.0,67.0,52.0,53.0,112.0,63.0
1667790000,56.0,56.0,31.0,60.0,56.0,50.0,140.0,64.0
1667793600,66.0,49.0,22.0,62.0,56.0,57.0,144.0,64.0
1667797200,78.0,24.0,7.0,66.0,67.0,54.0,161.0,68.0
