ts,rh,temp,weather,windDir,windSpeed
1667358000,79.5,20.8,,20.0,26.4
1667361600,79.4,21.0,,18.0,26.5
1667365200,81.5,21.0,,18.0,25.4
1667368800,84.6,20.9,Light Rain,22.0,26.7
1667372400,87.2,20.6,,24.0,25.5
1667376000,88.9,20.3,,23.0,27.6
1667379600,91.1,20.1,Light Rain,29.0,28.2
1667383200,91.9,20.3,,38.0,31.4
1667386800,92.0,20.5,,42.0,33.1
1667390400,91.0,20.8,Light Rain,48.0,35.1
1667394000,90.9,21.2,,56.0,36.9
1667397600,90.8,21.4,,61.0,36.2
1667401200,90.4,21.7,Rain,68.0,35.8
1667404800,90.1,21.9,,82.0,31.4
1667408400,90.1,22.1,,95.0,29.1
1667412000,90.4,22.2,Rain,105.0,27.8
1667415600,90.7,22.3,,113.0,26.3
1667419200,91.0,22.4,,117.0,24.5
1667422800,91.5,22.4,Rain,120.0,23.7
1667426400,92.9,22.3,,118.0,21.9
1667430000,92.2,22.4,,119.0,20.5
1667433600,90.7,22.9,Light Rain,124.0,20.0
1667437200,89.8,23.2,,124.0,18.8
1667440800,87.7,23.5,,121.0,17.4
1667444400,85.4,23.8,Light Rain,121.0,16.2
1667448000,83.8,23.9,,127.0,15.2
1667451600,84.1,23.7,,128.0,13.9
1667455200,86.8,23.3,Light Rain,129.0,13.1
1667458800,88.0,23.1,,121.0,12.7
1667462400,90.1,22.7,,118.0,12.6
1667466000,92.2,22.3,Light Rain,109.0,12.7
1667469600,92.4,22.1,,102.0,13.4
1667473200,91.4,22.2,,98.0,14.0
1667476800,90.8,22.3,Light Rain,92.0,14.9
1667480400,88.9,22.5,,91.0,15.7
1667484000,89.2,22.4,,88.0,15.6
1667487600,88.2,22.5,Light Rain,88.0,15.7
1667491200,88.0,22.5,,90.0,14.7
1667494800,87.6,22.5,,86.0,14.7
1667498400,88.1,22.5,Light Rain,83.0,14.7
1667502000,89.3,22.5,,82.0,15.1
1667505600,89.6,22.5,,80.0,15.0
1667509200,90.0,22.4,Light Rain,78.0,15.6
1667512800,90.9,22.3,,76.0,15.7
1667516400,90.0,22.4,,74.0,16.2
1667520000,88.6,22.9,Cloudy,76.0,17.3
1667523600,86.6,23.4,,76.0,17.8
1667527200,83.8,23.7,,75.0,18.8
1667530800,80.7,24.1,Cloudy,74.0,18.5
1667534400,78.2,24.3,,74.0,18.9
1667538000,79.6,24.0,,75.0,18.2
1667541600,81.7,23.7,Sunny Intervals,74.0,17.8
1667545200,82.7,23.5,,74.0,16.7
1667548800,85.6,23.0,,75.0,17.5
1667552400,87.4,22.5,Cloudy,72.0,17.5
1667556000,87.0,22.3,,69.0,17.9
1667559600,85.9,22.3,,68.0,18.8
1667563200,85.0,22.3,Cloudy,67.0,19.2
1667566800,82.0,22.5,,67.0,19.8
1667570400,82.2,22.4,,66.0,19.8
1667574000,81.2,22.3,Cloudy,66.0,19.6
1667577600,80.8,22.2,,67.0,18.7
1667581200,80.4,22.1,,66.0,18.5
1667584800,80.8,21.9,Cloudy,62.0,18.1
1667588400,81.1,21.7,,60.0,17.5
1667592000,80.1,21.7,,59.0,16.7
1667595600,80.1,21.5,Mainly Cloudly ,54.0,16.6
1667599200,80.2,21.2,,52.0,15.8
1667602800,79.9,21.1,,49.0,14.6
1667606400,78.2,21.5,Sunny Intervals,53.0,14.3
1667610000,75.5,22.2,,57.0,14.9
1667613600,72.3,22.7,,58.0,15.7
1667617200,69.5,23.3,Sunny Intervals,59.0,15.6
1667620800,68.3,23.6,,63.0,15.4
1667624400,69.9,23.4,,70.0,14.5
1667628000,72.7,23.1,Sunny Intervals,74.0,14.6
1667631600,75.5,22.7,,78.0,14.3
1667635200,79.1,22.2,,77.0,15.0
1667638800,82.6,21.6,Sunny Intervals,75.0,14.7
1667642400,84.1,21.3,,70.0,15.0
1667646000,84.5,21.2,,67.0,15.7
1667649600,84.6,21.2,Mainly Cloudly ,65.0,16.2
1667653200,81.9,21.5,,66.0,17.1
