ts,cch,hka,hko,hks,jkb,lfs,pen,sek,sha,skg,tkl,tpo,tun,ty1,wgl,g153
1667401200,47.9,20.2,20.2,29.5,25.2,31.3,25.6,24.4,22.3,39.6,10.8,22.0,10.1,11.9,81.7,34.3
1667404800,54.7,28.4,31.7,34.6,19.4,23.0,52.6,25.1,21.2,55.1,14.4,38.2,11.5,11.5,72.7,33.8
1667408400,66.6,36.4,38.5,28.1,16.6,24.1,59.4,26.4,16.9,35.3,27.7,42.5,10.4,18.7,62.3,32.4
1667412000,85.3,48.6,40.3,31.7,13.7,27.7,65.5,26.9,17.6,30.6,24.8,46.4,11.2,21.6,61.6,32.4
1667415600,72.4,53.6,33.5,15.1,11.9,25.2,37.4,26.5,25.6,26.3,20.9,33.5,13.3,21.6,53.3,30.2
1667419200,50.0,40.0,27.7,11.9,11.2,27.4,30.2,26.5,21.6,22.0,17.6,18.7,23.0,23.0,36.7,27.6
1667422800,34.2,29.2,13.7,13.0,3.6,9.4,16.9,25.2,20.2,19.8,13.0,17.3,22.0,13.3,29.9,26.1
1667426400,24.5,22.3,11.2,8.6,4.7,12.2,15.1,23.2,5.4,16.9,14.0,9.7,17.6,17.3,29.2,22.8
1667430000,24.8,18.7,13.0,6.1,6.5,10.4,13.3,21.0,12.6,11.5,11.2,9.4,16.9,15.1,21.6,19.4
1667433600,25.2,12.6,11.2,4.7,2.9,7.2,15.1,19.5,6.5,13.0,11.5,18.4,18.4,14.4,16.9,17.2
1667437200,30.2,12.6,13.3,2.2,1.1,11.2,13.3,16.4,3.6,9.7,9.4,15.1,20.2,12.6,13.7,14.9
1667440800,27.4,19.4,9.0,3.2,1.8,8.6,11.2,14.0,0.7,7.9,7.9,15.8,18.0,9.7,11.9,14.2
1667444400,24.7,19.0,8.4,3.5,1.8,6.3,6.3,12.5,0.7,7.6,8.5,15.5,17.3,9.4,8.4,12.8
1667448000,21.1,17.7,9.1,4.4,3.3,7.5,5.9,13.0,1.2,9.3,8.9,16.4,16.2,10.5,8.6,12.1
