ts,cch,hka,hko,hks,jkb,lfs,pen,sek,sha,skg,tkl,tpo,tun,ty1,wgl,g153
1669863600,76.0,61.0,70.0,74.0,74.0,71.0,73.0,73.0,73.0,78.0,68.0,68.0,63.0,71.0,80.0,77.3
1669867200,74.0,58.0,68.0,72.0,69.0,68.0,72.0,73.0,68.0,74.0,67.0,63.0,62.0,66.0,80.0,77.3
1669870800,74.0,60.0,68.0,68.0,68.0,68.0,70.0,72.0,69.0,71.0,67.0,66.0,61.0,67.0,80.0,76.9
1669874400,74.0,63.0,67.0,68.0,69.0,73.0,71.0,73.0,69.0,71.0,68.0,67.0,65.0,66.0,79.0,76.4
1669878000,75.0,65.0,69.0,70.0,68.0,76.0,74.0,74.0,70.0,71.0,70.0,69.0,67.0,67.0,79.0,77.2
1669881600,76.0,69.0,66.0,69.0,71.0,79.0,76.0,77.0,72.0,74.0,74.0,71.0,71.0,68.0,81.0,78.4
1669885200,79.0,69.0,70.0,71.0,75.0,80.0,79.0,80.0,75.0,76.0,76.0,71.0,73.0,71.0,84.0,78.4
1669888800,80.0,73.0,73.0,73.0,77.0,82.0,79.0,82.0,76.0,78.0,78.0,74.0,74.0,72.0,85.0,77.2
1669892400,81.0,73.0,70.0,72.0,76.0,86.0,79.0,83.0,77.0,80.0,78.0,75.0,75.0,72.0,86.0,76.2
1669896000,83.0,72.0,72.0,73.0,78.0,83.0,83.0,82.0,77.0,82.0,77.0,74.0,75.0,73.0,87.0,76.8
1669899600,84.0,74.0,72.0,74.0,77.0,79.0,80.0,80.0,76.0,79.0,75.0,72.0,75.0,73.0,86.0,75.4
1669903200,82.0,72.0,74.0,75.0,78.0,78.0,79.0,78.0,75.0,76.0,76.0,72.0,72.0,72.0,86.0,75.5
1669906800,81.5,71.5,71.5,73.7,76.4,78.8,78.7,78.9,74.0,75.7,78.8,73.0,71.7,72.2,85.4,74.5
1669910400,80.4,70.9,71.7,72.3,76.6,80.4,78.3,80.8,75.5,74.6,78.5,75.3,71.3,72.5,84.8,74.2
1669914000,81.4,70.0,71.3,72.7,77.2,80.3,79.1,81.9,76.0,74.2,80.4,74.2,71.3,72.3,84.2,74.3
1669917600,80.3,70.8,71.4,73.7,77.1,80.8,79.2,83.2,76.7,74.1,80.7,74.8,72.6,71.2,84.3,74.1
1669921200,80.0,70.4,71.7,72.7,76.9,82.8,77.6,85.0,77.3,74.2,84.4,80.6,72.3,71.5,83.7,74.0
1669924800,80.2,69.5,72.9,72.7,77.2,81.3,78.7,84.6,78.4,74.1,86.8,78.8,72.6,72.3,83.3,74.2
1669928400,80.1,68.8,71.7,72.7,78.2,80.1,78.0,84.8,77.7,74.3,90.5,80.0,72.5,71.5,82.2,73.8
1669932000,79.2,66.2,72.4,71.5,79.1,77.9,77.8,84.7,76.2,72.1,88.4,78.4,71.1,69.4,81.3,72.6
1669935600,81.0,64.7,73.8,72.6,80.2,79.2,79.6,85.5,74.0,71.4,88.4,78.8,71.0,69.9,81.2,72.8
1669939200,83.4,64.6,72.1,73.6,77.3,78.0,81.6,84.5,74.0,71.2,83.1,77.9,71.5,69.0,82.6,72.5
1669942800,83.1,64.1,70.7,72.1,73.9,75.4,81.0,80.3,72.0,71.6,73.2,74.8,69.4,67.9,83.3,71.7
1669946400,80.2,64.3,70.8,70.1,71.7,74.1,79.8,80.0,71.7,72.5,71.2,72.9,69.6,66.4,82.4,71.2
1669950000,77.4,63.4,68.5,68.6,69.7,69.8,79.4,77.2,69.5,69.5,68.0,72.0,67.9,64.7,80.6,69.8
1669953600,78.4,62.2,69.1,67.2,70.1,67.8,78.2,77.0,68.9,68.2,68.6,72.9,69.3,64.0,79.4,69.5
1669957200,76.6,63.7,69.0,67.3,68.8,69.1,76.4,76.1,68.5,68.4,68.0,70.9,67.5,63.7,80.8,69.5
1669960800,75.8,63.3,69.9,66.5,70.3,68.9,73.6,74.9,68.0,68.4,68.5,71.9,67.5,62.3,81.0,69.4
1669964400,76.4,61.8,70.0,68.3,71.0,71.0,74.0,75.7,69.3,69.7,68.5,71.2,67.2,62.7,82.0,70.7
1669968000,76.7,61.3,71.0,68.8,74.9,73.2,74.6,78.8,71.8,71.5,71.7,73.0,68.4,64.2,81.0,72.2
1669971600,78.9,62.3,71.8,69.4,76.9,76.4,74.9,79.8,71.5,72.5,73.5,74.4,71.9,65.8,79.8,72.7
1669975200,79.0,64.4,72.9,70.8,79.4,78.2,76.1,83.1,75.0,74.2,77.3,78.2,72.3,68.3,79.6,74.4
1669978800,77.9,64.4,73.9,71.5,80.7,81.5,75.5,83.8,75.3,74.7,79.1,78.0,72.7,69.4,78.5,74.7
1669982400,78.2,65.0,72.8,72.3,80.5,79.0,74.5,84.4,75.9,74.4,78.8,75.3,72.9,70.0,80.7,74.1
1669986000,77.1,65.5,72.4,71.6,80.2,79.8,75.7,86.3,75.4,74.4,79.4,77.4,73.6,66.9,80.9,73.5
1669989600,76.9,65.5,73.3,71.4,79.7,79.7,74.4,84.5,75.4,73.9,80.1,78.1,72.7,68.3,81.1,73.8
1669993200,77.4,65.8,72.6,72.0,79.0,79.5,75.1,85.5,75.0,73.8,81.7,79.0,72.8,69.3,80.7,74.0
1669996800,77.0,65.2,72.9,72.0,79.2,80.1,74.9,85.5,76.1,73.7,81.1,80.0,72.0,69.8,80.8,74.3
1670000400,77.7,64.9,73.0,72.6,79.8,79.7,75.1,85.6,76.8,74.1,82.7,79.0,71.7,69.9,81.8,74.8
1670004000,77.1,66.1,73.2,73.4,79.9,80.4,75.4,86.2,77.7,74.0,82.8,79.1,72.5,69.7,82.3,74.8
