,ts,rh,temp,weather,windDir,windSpeed
0,1667185200,56.0,24.4,,353.0,37.8
1,1667188800,56.0,25.4,,356.0,33.5
2,1667192400,53.0,25.7,,353.0,36.7
3,1667196000,56.0,25.3,Cloudy,360.0,31.7
4,1667199600,57.9,24.6,,18.0,31.4
5,1667203200,57.4,24.4,,16.0,30.7
6,1667206800,61.1,23.0,Cloudy,16.0,30.8
7,1667210400,61.6,22.6,,10.0,31.4
8,1667214000,60.8,22.7,,8.0,31.8
9,1667217600,60.3,22.9,Cloudy,10.0,34.7
10,1667221200,58.8,23.1,,11.0,35.3
11,1667224800,58.2,23.1,,7.0,34.9
12,1667228400,56.8,23.3,Cloudy,5.0,34.1
13,1667232000,57.6,22.9,,5.0,34.4
14,1667235600,57.5,22.7,,4.0,34.3
15,1667239200,57.7,22.4,Cloudy,2.0,35.3
16,1667242800,57.3,22.3,,4.0,34.5
17,1667246400,58.4,22.0,,4.0,35.7
18,1667250000,58.7,21.7,Cloudy,3.0,35.8
19,1667253600,59.7,21.4,,4.0,34.9
20,1667257200,60.7,21.2,,4.0,33.8
21,1667260800,60.3,21.8,Sunny Intervals,6.0,35.0
22,1667264400,58.3,22.6,,6.0,34.8
23,1667268000,55.1,23.7,,6.0,32.0
24,1667271600,54.0,24.0,Cloudy,11.0,30.6
25,1667275200,54.5,24.2,,12.0,30.6
26,1667278800,54.5,24.6,,15.0,31.9
27,1667282400,58.0,23.4,Cloudy,19.0,32.7
28,1667286000,60.8,22.8,,25.0,32.2
29,1667289600,62.6,22.1,,20.0,31.4
30,1667293200,68.1,20.7,Cloudy,18.0,32.1
31,1667296800,70.1,19.6,,14.0,30.8
32,1667300400,70.0,19.3,,7.0,28.7
33,1667304000,69.7,18.9,Cloudy,10.0,29.4
34,1667307600,70.2,18.5,,13.0,29.6
35,1667311200,71.4,17.8,,9.0,28.7
36,1667314800,69.9,17.8,Cloudy,8.0,28.3
37,1667318400,72.7,17.2,,10.0,29.6
38,1667322000,72.5,18.3,,7.0,30.0
39,1667325600,74.8,19.0,Cloudy,8.0,30.5
40,1667329200,77.4,19.7,,8.0,31.3
41,1667332800,81.0,19.1,,5.0,32.6
42,1667336400,82.5,18.8,Cloudy,3.0,32.9
43,1667340000,83.4,18.6,,2.0,32.4
44,1667343600,83.5,18.7,,2.0,31.6
45,1667347200,82.4,19.5,Cloudy,5.0,32.9
46,1667350800,81.0,20.3,,5.0,32.7
47,1667354400,77.6,21.4,,6.0,30.5
48,1667358000,75.7,21.9,Cloudy,9.0,30.8
49,1667361600,74.8,22.4,,13.0,29.7
50,1667365200,74.0,22.7,,21.0,30.2
51,1667368800,78.5,22.0,Cloudy,24.0,31.6
52,1667372400,83.2,21.6,,34.0,32.6
53,1667376000,83.7,21.3,,36.0,34.1
54,1667379600,90.3,20.3,Cloudy,35.0,34.6
55,1667383200,88.8,20.2,,34.0,35.0
56,1667386800,87.7,20.5,,35.0,33.6
57,1667390400,87.2,20.6,Cloudy,39.0,35.3
58,1667394000,87.3,20.3,,44.0,35.8
59,1667397600,89.4,19.7,,45.0,36.6
60,1667401200,89.1,19.3,Cloudy,46.0,34.1
61,1667404800,88.3,19.4,,48.0,33.7
62,1667408400,87.0,19.5,,52.0,33.9
63,1667412000,87.9,19.7,Cloudy,56.0,32.4
64,1667415600,87.9,19.8,,59.0,31.4
65,1667419200,89.2,19.8,,64.0,32.4
66,1667422800,90.0,19.9,Cloudy,67.0,32.7
67,1667426400,92.3,19.8,,72.0,32.0
68,1667430000,93.5,20.0,,74.0,30.9
69,1667433600,94.1,20.9,Cloudy,79.0,31.8
70,1667437200,91.0,21.6,,86.0,30.5
71,1667440800,84.8,22.9,,92.0,27.7
72,1667444400,82.2,23.0,Cloudy,98.0,27.4
73,1667448000,79.2,23.3,,96.0,24.9
74,1667451600,77.7,23.4,,100.0,26.0
75,1667455200,82.8,22.4,Cloudy,100.0,27.8
76,1667458800,87.5,22.3,,99.0,28.0
77,1667462400,88.6,22.4,,96.0,26.6
78,1667466000,94.8,21.7,Cloudy,91.0,26.0
79,1667469600,95.6,21.3,,85.0,25.5
80,1667473200,94.5,21.3,,80.0,23.8
81,1667476800,93.6,21.4,Cloudy,76.0,25.8
82,1667480400,93.4,21.4,,77.0,25.7
83,1667484000,93.4,21.4,,74.0,23.3
84,1667487600,91.2,21.4,Cloudy,70.0,21.7
85,1667491200,91.1,21.5,,71.0,23.0
86,1667494800,89.7,21.7,,70.0,23.3
87,1667498400,90.2,21.7,Cloudy,70.0,22.5
88,1667502000,89.9,21.7,,67.0,22.2
89,1667505600,90.8,21.6,,66.0,22.7
90,1667509200,90.4,21.5,Cloudy,62.0,22.3
91,1667512800,91.4,21.3,,60.0,21.0
92,1667516400,92.8,21.2,,56.0,20.0
93,1667520000,92.1,22.1,Cloudy,55.0,21.0
94,1667523600,89.3,22.8,,58.0,20.8
95,1667527200,83.7,24.0,,61.0,19.8
96,1667530800,80.5,24.3,Cloudy,69.0,20.2
97,1667534400,76.8,24.7,,76.0,19.8
98,1667538000,74.8,25.0,,85.0,20.9
99,1667541600,78.7,24.1,Cloudy,89.0,22.2
100,1667545200,82.6,23.6,,90.0,23.2
101,1667548800,83.2,23.2,,90.0,21.6
102,1667552400,88.9,22.1,Cloudy,88.0,21.3
103,1667556000,91.1,21.4,,77.0,21.4
104,1667559600,91.3,21.3,,69.0,20.6
105,1667563200,91.7,21.2,Cloudy,66.0,23.5
106,1667566800,90.3,21.1,,66.0,24.1
107,1667570400,90.2,20.9,,60.0,22.8
108,1667574000,88.2,20.8,Cloudy,55.0,22.3
109,1667577600,88.2,20.6,,53.0,22.4
110,1667581200,86.3,20.7,,51.0,22.3
111,1667584800,85.8,20.8,Cloudy,48.0,21.2
112,1667588400,85.0,20.9,,46.0,20.8
113,1667592000,85.7,20.5,,47.0,21.2
114,1667595600,85.0,20.2,Cloudy,41.0,20.7
115,1667599200,85.3,19.8,,38.0,19.3
116,1667602800,86.4,19.7,,33.0,18.0
117,1667606400,85.2,20.5,Cloudy,32.0,18.6
118,1667610000,81.4,21.3,,36.0,18.9
119,1667613600,75.1,22.6,,41.0,18.0
