,ts,rh,temp,weather,windDir,windSpeed
0,1667185200,49.0,25.5,,322.0,21.6
1,1667188800,48.0,26.2,,330.0,21.2
2,1667192400,48.0,26.7,,324.0,31.3
3,1667196000,46.0,26.8,Cloudy,331.0,27.7
4,1667199600,46.0,27.2,,0.0,25.3
5,1667203200,47.8,26.9,,11.0,24.2
6,1667206800,48.4,26.1,Sunny Intervals,25.0,22.6
7,1667210400,48.0,25.8,,26.0,19.8
8,1667214000,47.6,25.6,,18.0,17.8
9,1667217600,47.0,25.6,Cloudy,23.0,16.7
10,1667221200,46.0,25.5,,22.0,15.3
11,1667224800,46.7,25.2,,12.0,15.2
12,1667228400,47.1,25.1,Cloudy,14.0,13.5
13,1667232000,48.4,24.8,,13.0,13.2
14,1667235600,49.2,24.4,,11.0,14.0
15,1667239200,49.3,24.3,Mainly Cloudly ,20.0,13.6
16,1667242800,49.9,24.0,,3.0,13.1
17,1667246400,51.8,23.7,,4.0,12.6
18,1667250000,52.1,23.5,Cloudy,8.0,12.4
19,1667253600,51.7,23.3,,6.0,11.1
20,1667257200,51.8,23.0,,358.0,10.3
21,1667260800,50.7,23.3,Sunny Intervals,4.0,12.8
22,1667264400,50.0,23.6,,354.0,16.5
23,1667268000,48.4,24.0,,358.0,14.7
24,1667271600,46.3,24.4,Cloudy,356.0,14.0
25,1667275200,47.3,24.5,,2.0,15.2
26,1667278800,47.2,25.2,,0.0,14.9
27,1667282400,47.5,24.8,Cloudy,2.0,15.8
28,1667286000,48.0,24.5,,8.0,13.6
29,1667289600,51.1,23.7,,11.0,13.6
30,1667293200,52.7,22.7,Cloudy,26.0,13.6
31,1667296800,55.2,21.8,,26.0,11.8
32,1667300400,58.3,20.9,,20.0,10.5
33,1667304000,59.1,20.3,Cloudy,25.0,10.0
34,1667307600,58.9,19.9,,25.0,9.9
35,1667311200,61.2,19.4,,16.0,10.4
36,1667314800,61.8,19.3,Cloudy,20.0,10.2
37,1667318400,65.3,18.8,,20.0,10.7
38,1667322000,65.9,19.9,,18.0,11.2
39,1667325600,69.3,20.7,Light Rain,34.0,11.2
40,1667329200,71.4,21.7,,10.0,11.2
41,1667332800,74.3,21.3,,0.0,11.0
42,1667336400,75.6,20.9,Light Rain,6.0,10.9
43,1667340000,74.8,20.8,,0.0,9.7
44,1667343600,73.7,20.8,,354.0,9.0
45,1667347200,72.9,21.0,Light Rain,358.0,11.1
46,1667350800,73.1,21.3,,348.0,14.9
47,1667354400,71.5,21.7,,356.0,14.0
48,1667358000,68.0,22.3,Light Rain,354.0,13.8
49,1667361600,67.3,22.8,,3.0,15.0
50,1667365200,66.6,23.3,,8.0,14.5
51,1667368800,66.8,23.3,Light Rain,10.0,15.6
52,1667372400,68.5,23.3,,27.0,13.3
53,1667376000,73.5,22.9,,36.0,13.7
54,1667379600,75.5,22.3,Light Rain,44.0,14.3
55,1667383200,74.3,22.2,,47.0,12.9
56,1667386800,74.2,22.4,,45.0,12.2
57,1667390400,73.7,22.5,Light Rain,52.0,11.8
58,1667394000,74.3,22.0,,57.0,11.7
59,1667397600,77.1,21.3,,53.0,13.3
60,1667401200,78.7,20.7,Light Rain,58.0,12.7
61,1667404800,79.5,20.8,,58.0,12.6
62,1667408400,78.4,21.0,,66.0,13.2
63,1667412000,78.9,21.1,Light Rain,79.0,12.7
64,1667415600,79.3,21.2,,79.0,12.0
65,1667419200,81.1,21.1,,82.0,11.6
66,1667422800,83.8,21.3,Light Rain,84.0,11.9
67,1667426400,84.0,21.4,,89.0,11.1
68,1667430000,84.4,21.5,,94.0,9.9
69,1667433600,85.1,21.9,Light Rain,102.0,12.3
70,1667437200,82.9,22.3,,106.0,14.8
71,1667440800,79.6,22.9,,116.0,13.4
72,1667444400,75.3,23.4,Light Rain,124.0,13.1
73,1667448000,74.0,23.6,,130.0,13.3
74,1667451600,72.2,24.1,,132.0,13.5
75,1667455200,72.3,23.8,Light Rain,132.0,14.2
76,1667458800,72.9,24.1,,127.0,12.6
77,1667462400,78.2,23.9,,128.0,12.4
78,1667466000,81.0,23.3,Cloudy,118.0,11.8
79,1667469600,81.0,23.1,,107.0,10.5
80,1667473200,80.8,23.1,,99.0,9.2
81,1667476800,78.5,23.2,Cloudy,94.0,8.8
82,1667480400,79.7,23.1,,95.0,8.6
83,1667484000,80.9,23.0,,92.0,8.4
84,1667487600,81.3,23.0,Cloudy,96.0,7.4
85,1667491200,81.5,23.2,,91.0,8.1
86,1667494800,81.2,23.2,,94.0,8.5
87,1667498400,80.5,23.3,Cloudy,95.0,8.4
88,1667502000,81.3,23.3,,96.0,7.7
89,1667505600,82.4,23.0,,96.0,7.1
90,1667509200,83.3,22.7,Cloudy,91.0,6.7
91,1667512800,83.1,22.3,,91.0,5.5
92,1667516400,83.1,22.3,,90.0,5.0
93,1667520000,81.6,22.9,Cloudy,94.0,6.6
94,1667523600,78.8,23.6,,98.0,9.8
95,1667527200,75.6,24.3,,108.0,10.4
96,1667530800,70.7,25.1,Cloudy,116.0,10.6
97,1667534400,69.0,25.7,,124.0,11.6
98,1667538000,67.0,26.5,,132.0,11.9
99,1667541600,66.3,26.5,Cloudy,138.0,12.3
100,1667545200,66.7,26.4,,132.0,11.4
101,1667548800,71.9,25.6,,132.0,11.2
102,1667552400,75.1,24.5,Cloudy,120.0,10.5
103,1667556000,77.1,23.9,,105.0,9.3
104,1667559600,78.6,23.7,,93.0,8.0
105,1667563200,78.1,23.6,Cloudy,88.0,7.7
106,1667566800,77.6,23.4,,87.0,7.8
107,1667570400,78.7,23.1,,80.0,7.9
108,1667574000,79.0,22.9,Cloudy,80.0,7.4
109,1667577600,79.5,22.8,,74.0,7.6
110,1667581200,78.7,22.7,,76.0,7.8
111,1667584800,77.5,22.7,Cloudy,84.0,7.7
112,1667588400,77.7,22.7,,79.0,7.0
113,1667592000,78.4,22.2,,76.0,6.5
114,1667595600,78.3,21.9,Cloudy,72.0,6.0
115,1667599200,77.4,21.4,,70.0,4.9
116,1667602800,76.9,21.3,,65.0,4.5
117,1667606400,74.1,21.8,Cloudy,75.0,5.8
118,1667610000,70.9,22.5,,90.0,9.1
119,1667613600,66.6,23.3,,101.0,9.8
120,1667617200,62.5,24.1,Cloudy,98.0,10.1
121,1667620800,61.5,24.7,,116.0,11.4
122,1667624400,60.4,25.5,,128.0,11.8
123,1667628000,60.5,25.6,Cloudy,134.0,12.3
124,1667631600,61.6,25.5,,129.0,11.6
125,1667635200,66.6,24.7,,132.0,11.5
126,1667638800,70.2,23.7,Sunny Intervals,116.0,10.9
127,1667642400,72.2,23.1,,100.0,9.4
128,1667646000,73.3,22.9,,86.0,8.0
129,1667649600,72.7,22.8,Mainly Cloudly ,83.0,7.3
130,1667653200,73.9,22.5,,85.0,7.3
131,1667656800,75.0,22.2,,80.0,7.0
132,1667660400,75.3,22.1,Mainly Cloudly ,84.0,6.1
133,1667664000,75.5,22.0,,78.0,6.3
134,1667667600,74.4,21.9,,83.0,6.4
135,1667671200,73.2,21.9,Mainly Cloudly ,91.0,6.4
136,1667674800,72.8,21.7,,87.0,6.0
137,1667678400,72.9,21.2,,84.0,5.9
138,1667682000,72.0,20.8,Mainly Cloudly ,76.0,5.8
139,1667685600,70.2,20.4,,74.0,4.9
140,1667689200,69.6,20.3,,65.0,4.8
141,1667692800,66.4,21.0,Sunny Intervals,72.0,6.5
142,1667696400,63.8,21.7,,73.0,9.7
143,1667700000,59.8,22.6,,100.0,10.1
144,1667703600,56.9,23.6,Sunny Intervals,110.0,10.3
145,1667707200,56.0,24.3,,124.0,11.5
146,1667710800,55.2,25.2,,133.0,11.9
147,1667714400,55.5,25.5,Sunny Intervals,140.0,12.3
148,1667718000,57.1,25.4,,137.0,11.5
149,1667721600,61.7,24.5,,139.0,11.4
150,1667725200,65.4,23.3,Cloudy,124.0,10.9
151,1667728800,68.1,22.4,,109.0,9.6
152,1667732400,69.5,22.2,,97.0,8.3
153,1667736000,69.4,22.3,Cloudy,92.0,7.8
154,1667739600,70.4,22.0,,92.0,8.0
155,1667743200,71.5,21.9,,88.0,8.1
156,1667746800,72.1,21.9,Cloudy,92.0,7.6
157,1667750400,72.9,21.9,,87.0,7.9
158,1667754000,72.7,21.8,,90.0,8.2
159,1667757600,72.2,21.9,Cloudy,93.0,8.2
160,1667761200,72.7,21.6,,94.0,7.6
161,1667764800,73.5,21.2,,91.0,7.2
162,1667768400,73.5,20.9,Cloudy,86.0,6.8
163,1667772000,72.7,20.7,,85.0,5.6
164,1667775600,72.6,20.9,,82.0,5.1
165,1667779200,70.2,21.5,Cloudy,89.0,6.6
166,1667782800,66.8,22.2,,93.0,9.8
167,1667786400,62.1,23.1,,104.0,10.2
168,1667790000,58.0,24.0,Cloudy,110.0,10.4
169,1667793600,57.2,24.7,,122.0,11.7
170,1667797200,56.5,25.5,,138.0,12.0
171,1667800800,56.8,25.5,Cloudy,144.0,12.6
172,1667804400,57.8,25.3,,142.0,11.7
173,1667808000,62.1,24.4,,141.0,11.4
174,1667811600,65.4,23.2,Cloudy,124.0,10.8
175,1667815200,67.5,22.7,,107.0,9.5
176,1667818800,68.4,22.5,,94.0,8.1
177,1667822400,68.0,22.5,Cloudy,90.0,7.4
178,1667826000,70.8,22.0,,92.0,7.7
179,1667829600,72.0,22.0,,87.0,7.7
180,1667833200,72.7,22.0,Cloudy,92.0,7.1
181,1667836800,73.6,22.0,,87.0,7.5
182,1667840400,73.4,22.0,,91.0,7.8
183,1667844000,73.1,22.1,Cloudy,94.0,7.9
184,1667847600,74.3,22.0,,94.0,7.6
185,1667851200,75.8,21.6,,91.0,7.3
186,1667854800,76.6,21.2,Cloudy,84.0,7.1
187,1667858400,76.2,20.8,,84.0,6.1
188,1667862000,76.9,20.7,,80.0,5.7
189,1667865600,75.1,21.4,Cloudy,87.0,7.5
