ts,cch,hka,hko,hks,jkb,lfs,pen,sek,sha,skg,tkl,tpo,tun,ty1,wgl,g153
1693450800,75.0,63.0,69.0,67.0,71.0,78.0,77.0,71.0,70.0,70.0,73.0,71.0,71.0,66.0,77.0,69.7
1693454400,74.0,62.0,64.0,64.0,65.0,78.0,74.0,64.0,66.0,65.0,67.0,66.0,73.0,63.0,73.0,67.3
1693458000,71.0,62.0,64.0,64.0,62.0,74.0,68.0,62.0,65.0,67.0,65.0,63.0,69.0,62.0,76.0,65.4
1693461600,78.0,65.0,64.0,63.0,62.0,77.0,71.0,61.0,63.0,64.0,66.0,66.0,72.0,59.0,73.0,64.3
1693465200,74.0,65.0,65.0,64.0,66.0,72.0,73.0,67.0,67.0,63.0,69.0,66.0,67.0,62.0,73.0,64.6
1693468800,75.4,64.9,67.2,65.6,69.9,72.4,74.5,66.5,68.4,64.7,70.5,67.9,67.4,63.1,73.8,67.1
1693472400,79.6,65.4,66.9,68.2,71.2,72.7,76.6,66.7,69.0,66.3,69.9,68.7,69.0,63.7,74.6,68.0
1693476000,81.7,66.3,69.3,68.4,75.2,74.3,79.5,69.8,72.1,67.7,72.4,71.7,71.3,66.0,77.5,71.1
1693479600,83.6,67.3,69.9,71.0,77.8,77.1,81.1,72.3,72.9,69.4,74.4,72.9,73.3,67.4,79.6,72.7
1693483200,85.5,68.6,70.8,73.7,78.2,78.3,82.3,74.6,73.3,70.2,75.1,73.5,75.4,69.5,80.5,73.8
1693486800,85.4,68.9,71.7,75.8,80.0,78.7,81.5,75.0,74.5,72.3,77.0,75.6,76.5,72.0,80.9,75.4
1693490400,85.5,69.0,71.6,76.6,80.0,79.3,81.3,76.1,75.1,73.5,78.0,77.0,76.8,72.0,81.7,75.7
1693494000,85.3,68.5,72.0,77.2,79.8,80.5,81.5,76.5,75.2,74.5,78.1,77.8,77.8,73.3,81.2,76.2
1693497600,85.0,69.1,72.9,78.4,80.2,81.3,81.3,77.4,75.8,75.1,78.2,78.2,79.5,75.9,82.1,77.2
1693501200,85.5,70.2,72.9,78.7,80.6,81.5,81.7,78.8,76.1,74.8,78.8,78.7,79.7,77.2,82.8,77.4
1693504800,85.7,71.8,72.9,78.2,80.2,82.0,81.8,79.7,76.9,74.9,79.4,79.3,80.5,76.6,80.8,77.4
1693508400,86.6,72.7,74.7,80.1,81.8,82.6,83.0,79.9,77.6,75.1,79.3,79.8,81.0,77.4,82.2,78.3
1693512000,86.8,72.6,75.3,80.5,82.7,82.0,82.9,80.2,77.6,75.3,79.5,80.2,81.8,79.1,82.7,78.7
1693515600,87.1,72.0,75.1,80.8,82.8,82.2,82.9,81.0,79.2,76.3,80.8,81.1,81.9,79.9,82.2,79.0
1693519200,87.1,73.4,75.4,80.7,85.0,83.4,83.3,81.7,79.7,78.0,82.3,81.8,82.4,79.3,84.3,79.4
1693522800,87.8,72.8,75.8,80.6,84.4,83.4,83.6,81.4,79.1,77.0,82.6,81.3,82.7,79.4,83.5,79.3
1693526400,86.6,70.0,74.3,76.7,81.7,80.6,79.8,76.2,75.9,73.9,76.8,78.4,80.3,75.6,81.4,76.2
1693530000,83.6,67.2,72.9,73.0,76.9,76.8,74.6,70.8,73.9,72.1,73.9,76.0,76.4,71.0,80.1,73.7
1693533600,83.4,66.6,71.6,70.7,73.0,77.2,73.9,68.7,73.4,71.2,73.2,74.0,72.9,71.0,78.7,72.4
1693537200,80.2,65.4,70.4,71.1,74.0,74.3,72.8,66.8,73.7,72.1,72.0,73.7,68.9,71.8,76.4,72.4
1693540800,78.8,65.3,68.8,70.0,72.4,72.3,71.8,66.0,72.4,71.1,73.0,73.0,71.2,69.9,76.4,71.4
1693544400,75.8,63.9,67.8,70.2,70.1,76.7,72.2,66.7,72.1,72.3,73.3,71.2,71.6,70.4,75.7,71.0
1693548000,75.5,64.8,69.8,69.9,71.6,77.6,72.7,71.2,73.9,73.5,77.2,74.0,74.7,72.1,78.5,71.8
1693551600,77.8,65.5,72.5,73.5,75.6,81.0,77.0,77.2,77.8,77.2,83.2,80.8,77.0,75.8,80.4,75.2
1693555200,80.4,67.0,74.4,75.0,79.2,82.0,79.4,77.8,80.5,78.5,86.1,83.9,78.5,77.0,81.7,77.0
1693558800,85.6,67.4,76.2,78.8,82.9,83.4,82.2,79.1,82.1,81.9,86.7,85.8,79.4,78.2,82.7,80.5
1693562400,87.1,68.7,78.4,78.5,86.5,85.5,85.2,81.5,83.6,81.8,87.1,86.6,81.5,79.6,86.7,82.6
1693566000,90.7,71.8,79.7,82.1,89.7,88.8,88.4,85.0,84.6,83.1,88.4,87.1,85.7,81.3,88.4,84.7
1693569600,92.8,74.4,80.5,84.9,90.5,89.2,90.0,86.6,84.7,83.4,88.1,86.8,86.7,82.7,89.8,85.4
1693573200,95.1,75.7,83.5,88.6,94.1,91.7,91.3,89.4,88.6,87.1,92.3,91.1,89.2,86.3,92.1,89.3
1693576800,96.7,77.5,84.5,90.1,95.2,93.5,92.9,91.3,90.0,89.1,94.2,93.0,90.8,86.1,94.2,90.6
1693580400,97.7,78.9,85.3,91.0,95.6,97.2,94.4,92.9,90.7,90.0,95.5,94.3,93.1,87.3,94.4,91.4
1693584000,98.7,80.8,86.9,92.0,96.3,98.3,95.3,94.7,91.8,90.4,96.0,95.0,95.5,90.0,94.8,92.9
1693587600,99.6,82.5,88.1,93.5,97.4,99.0,96.4,97.2,92.9,90.8,96.9,96.3,96.4,92.1,96.2,94.2
1693591200,100.0,85.1,89.7,94.8,98.5,100.0,97.6,98.9,94.6,91.7,98.3,97.7,97.7,92.6,96.3,95.3
1693594800,100.0,86.6,91.0,95.8,99.6,100.0,98.8,98.7,95.6,91.4,98.4,98.4,98.6,93.2,96.7,95.8
