ts,cch,hka,hko,hks,jkb,lfs,pen,sek,sha,skg,tkl,tpo,tun,ty1,wgl,g153
1693537200,328.0,313.0,327.0,332.0,354.0,338.0,325.0,50.0,357.0,338.0,352.0,335.0,8.0,326.0,335.0,331.0
1693540800,328.0,328.0,330.0,302.0,353.0,342.0,323.0,46.0,31.0,342.0,354.0,336.0,349.0,325.0,340.0,330.0
1693544400,324.0,322.0,328.0,318.0,357.0,343.0,325.0,72.0,32.0,331.0,356.0,334.0,347.0,326.0,327.0,327.0
1693548000,325.0,328.0,325.0,285.0,351.0,339.0,323.0,88.0,44.0,331.0,354.0,331.0,344.0,328.0,327.0,324.0
1693551600,320.0,322.0,329.0,281.0,353.0,337.0,320.0,80.0,18.0,324.0,357.0,330.0,329.0,328.0,323.0,322.0
1693555200,320.0,325.0,329.0,272.0,352.0,336.0,321.0,81.0,344.0,327.0,355.0,329.0,338.0,329.0,323.0,322.0
1693558800,317.0,329.0,333.0,295.0,352.0,336.0,327.0,100.0,224.0,331.0,350.0,331.0,326.0,329.0,330.0,323.0
1693562400,330.0,320.0,283.0,330.0,325.0,347.0,331.0,96.0,319.0,347.0,330.0,334.0,342.0,2.0,320.0,322.0
1693566000,324.0,324.0,297.0,325.0,322.0,355.0,336.0,80.0,326.0,346.0,340.0,339.0,350.0,8.0,321.0,325.0
1693569600,327.0,332.0,301.0,330.0,327.0,358.0,342.0,51.0,334.0,354.0,342.0,343.0,352.0,20.0,325.0,330.0
1693573200,334.0,336.0,323.0,354.0,342.0,360.0,336.0,63.0,354.0,0.0,10.0,356.0,356.0,26.0,337.0,340.0
1693576800,340.0,333.0,352.0,354.0,359.0,4.0,344.0,24.0,15.0,4.0,30.0,16.0,2.0,12.0,352.0,354.0
1693580400,347.0,346.0,24.0,4.0,19.0,10.0,353.0,47.0,41.0,31.0,42.0,40.0,7.0,7.0,11.0,14.0
1693584000,4.0,4.0,104.0,76.0,92.0,34.0,2.0,55.0,65.0,50.0,51.0,62.0,19.0,16.0,96.0,82.0
1693587600,72.0,71.0,108.0,90.0,102.0,45.0,67.0,36.0,84.0,68.0,72.0,78.0,20.0,64.0,107.0,95.0
