ts,cch,hka,hko,hks,jkb,lfs,pen,sek,sha,skg,tkl,tpo,tun,ty1,wgl,g153
1693580400,120.2,65.2,58.3,36.7,31.7,59.0,108.0,63.4,31.7,74.9,44.3,59.1,42.1,29.2,102.2,48.4
1693584000,100.8,69.8,61.2,50.0,20.9,61.6,104.4,33.1,29.9,56.9,45.7,59.3,19.4,29.3,91.8,45.2
1693587600,111.5,71.6,59.7,51.9,18.9,63.5,108.5,27.4,21.7,54.0,32.4,54.6,18.2,28.3,89.4,45.3
1693591200,116.8,71.0,56.1,50.5,18.3,58.3,109.0,25.4,21.7,51.2,32.6,52.4,19.4,25.7,78.8,47.1
1693594800,100.6,62.6,49.1,42.7,11.7,51.2,95.7,28.8,18.4,47.7,30.7,45.4,24.9,21.3,67.1,41.9
1693598400,91.6,54.7,41.5,33.1,8.7,45.8,81.4,24.9,12.1,39.9,27.8,40.2,19.9,22.8,57.6,36.6
1693602000,76.6,47.0,33.8,29.0,10.5,39.0,69.9,24.9,7.4,35.7,25.6,37.5,15.7,17.9,51.6,32.9
1693605600,67.4,40.8,32.3,23.0,7.6,36.0,57.3,17.0,7.0,33.8,17.2,34.2,13.2,15.1,45.4,30.9
1693609200,55.2,35.2,23.8,17.8,9.3,30.4,44.7,14.5,7.8,28.4,15.4,30.7,11.9,16.8,46.2,29.1
1693612800,42.9,31.1,20.8,15.6,10.3,23.9,34.2,13.3,12.6,25.8,11.8,29.6,11.5,12.9,47.9,27.5
1693616400,40.3,28.7,19.3,11.0,11.9,18.8,21.2,17.1,20.2,24.9,18.0,27.8,14.6,15.0,43.1,25.9
1693620000,40.5,29.8,19.7,11.8,14.0,16.7,23.5,17.7,19.3,27.7,20.1,27.3,15.9,19.6,39.8,23.8
1693623600,30.3,25.0,22.2,13.6,15.8,14.9,16.6,14.3,20.5,24.0,17.2,29.1,14.5,15.2,39.8,23.2
1693627200,23.9,25.5,23.2,13.0,12.2,14.1,19.2,14.6,19.2,22.9,15.6,27.6,15.0,16.9,37.5,20.7
1693630800,26.4,27.4,19.4,13.6,14.0,15.3,20.0,15.3,18.7,19.0,16.2,27.0,15.0,18.6,35.4,20.2
1693634400,27.5,29.3,18.6,10.3,12.2,13.9,19.1,12.1,18.5,19.4,12.3,24.1,13.1,18.4,31.9,18.9
1693638000,27.7,25.9,16.1,11.6,11.5,13.3,18.3,10.6,19.2,18.5,12.7,24.2,15.1,17.7,29.2,18.1
1693641600,26.0,24.8,14.5,11.5,12.2,13.4,16.4,9.9,18.8,17.5,14.0,24.1,14.4,16.0,31.1,18.3
1693645200,25.5,25.8,14.2,9.1,11.9,13.5,17.3,11.1,17.3,14.9,12.5,22.6,14.9,15.8,28.9,18.1
1693648800,26.7,25.2,15.1,8.4,11.1,14.3,17.2,9.6,19.0,15.3,12.1,21.5,15.8,15.8,31.4,17.6
1693652400,26.3,23.9,14.8,6.7,11.9,12.2,15.6,8.8,19.1,15.0,12.8,20.2,16.0,14.4,32.9,17.4
1693656000,26.7,23.9,12.6,5.7,11.3,12.1,15.5,5.3,16.9,13.1,9.4,19.9,14.6,12.6,32.0,16.2
1693659600,23.3,19.2,11.6,5.2,11.4,11.3,12.6,6.7,16.2,10.4,9.3,18.9,12.8,11.3,28.3,15.7
1693663200,21.4,18.0,12.4,5.1,11.6,11.3,13.2,6.6,15.5,14.0,7.5,19.0,11.8,12.0,30.3,16.2
1693666800,22.5,16.7,10.8,5.1,10.0,10.5,11.8,5.0,13.0,11.4,6.8,17.0,8.9,10.4,28.8,15.1
1693670400,21.2,16.8,10.8,5.4,10.8,10.2,11.6,5.5,14.9,10.4,6.3,17.6,9.5,11.4,28.8,14.8
1693674000,22.9,17.2,11.2,6.3,9.6,10.3,12.0,3.6,12.0,9.8,4.4,15.5,8.3,10.4,29.9,14.1
1693677600,22.8,16.3,10.9,6.8,8.3,10.3,13.0,4.0,11.2,10.9,4.8,14.9,8.2,8.4,29.3,14.1
1693681200,22.1,15.2,10.2,6.1,7.3,9.5,12.0,4.8,10.5,10.3,5.3,13.7,9.6,7.4,27.4,13.4
1693684800,22.3,14.5,9.7,5.5,6.4,8.7,12.0,4.6,7.6,9.2,5.0,12.5,8.4,7.6,26.6,12.6
1693688400,21.0,15.5,9.2,5.5,6.4,7.9,12.0,5.5,6.9,9.0,5.5,12.0,8.0,6.6,24.6,12.0
1693692000,22.1,14.5,9.3,5.0,6.2,9.1,10.9,4.0,6.0,9.6,3.7,11.4,6.4,6.2,23.8,12.1
1693695600,20.1,15.1,8.8,5.0,6.0,10.0,10.9,4.7,6.1,10.3,4.9,12.5,6.2,7.6,27.1,12.7
1693699200,19.6,15.9,11.0,6.9,7.0,11.2,11.1,6.0,8.3,12.5,5.3,14.0,7.1,6.6,28.1,13.3
1693702800,21.5,17.1,12.4,7.4,8.3,11.4,11.4,9.1,11.2,11.8,9.7,15.1,8.7,8.4,24.0,13.4
1693706400,23.9,19.4,12.9,8.3,9.1,11.1,12.9,10.6,11.8,15.5,11.4,16.0,10.2,11.4,21.5,13.6
1693710000,19.2,16.6,14.5,9.2,10.1,10.2,10.6,9.7,12.4,13.6,10.3,15.7,10.3,10.4,23.7,14.1
1693713600,16.8,17.1,14.5,9.4,8.9,10.5,12.2,9.9,11.7,13.8,9.5,14.9,11.0,12.2,22.8,13.1
1693717200,17.0,18.1,11.6,9.0,8.7,11.9,12.7,9.9,10.2,13.1,9.8,13.1,10.3,12.5,19.1,11.8
1693720800,17.2,17.5,11.6,7.2,7.9,11.0,11.8,7.2,10.4,12.6,7.2,11.7,8.8,12.1,13.8,10.3
1693724400,15.7,15.2,9.4,7.2,7.3,9.4,10.7,5.7,9.1,10.9,6.3,11.0,8.9,10.7,13.0,9.5
1693728000,15.9,15.4,8.2,6.6,6.2,9.8,10.1,5.5,8.3,8.7,5.8,9.8,8.8,9.5,12.4,9.1
1693731600,14.9,13.4,7.1,5.3,5.5,8.5,10.1,4.7,5.8,6.2,4.1,7.1,7.1,8.0,9.8,8.0
1693735200,12.6,10.7,7.5,3.8,5.0,8.4,7.4,3.0,4.6,4.8,3.3,5.4,6.7,6.1,9.8,7.0
1693738800,10.0,8.7,6.8,2.0,3.8,7.5,6.6,1.6,3.5,3.6,2.2,3.9,5.4,4.8,7.6,5.5
