,ts,CCH,HKA,HKO,HKS,JKB,LFS,PEN,SEK,SHA,SKG,TKL,TPO,TUN,TY1,WGL,SSH,TMS,TC
0,1658631600,80.0,58.0,59.0,64.0,53.0,71.0,69.0,57.0,56.0,68.0,60.0,56.0,55.0,57.0,66.0,58.0,,
1,1658635200,72.0,52.0,60.0,71.0,55.0,64.0,72.0,57.0,58.0,65.0,59.0,51.0,53.0,62.0,62.0,53.0,,
2,1658638800,70.0,49.0,57.0,69.0,53.0,58.0,61.0,52.0,52.0,67.0,53.0,51.0,51.0,63.0,65.0,52.0,,
3,1658642400,68.0,46.0,55.0,70.0,62.0,52.0,66.0,48.0,64.0,73.0,53.0,56.0,50.0,69.0,64.0,46.0,,
4,1658646000,69.0,47.5,55.3,73.3,63.9,50.0,67.6,49.8,68.1,75.8,54.8,58.1,51.6,70.5,65.5,46.3,,
5,1658649600,69.3,49.4,55.4,72.5,64.1,51.9,69.5,53.0,69.7,76.5,57.2,60.5,54.5,71.3,68.5,47.5,,
6,1658653200,73.7,52.6,58.8,72.6,68.7,56.6,72.9,56.2,70.5,75.5,59.4,62.6,58.6,73.8,71.2,51.3,,
7,1658656800,80.7,57.2,62.9,77.1,73.8,61.6,77.8,62.6,73.3,76.5,65.2,66.5,66.2,76.8,73.7,58.6,,
8,1658660400,86.2,60.4,67.6,80.4,78.8,66.0,82.0,69.5,77.2,78.8,71.2,71.3,69.8,78.1,79.2,64.6,,
9,1658664000,88.7,63.4,72.0,82.4,81.9,72.1,85.7,73.9,79.6,80.1,77.4,74.8,74.7,80.2,82.1,70.0,,
10,1658667600,88.8,64.5,72.1,84.0,83.5,72.6,85.9,76.8,80.8,81.1,79.9,76.3,75.3,80.7,83.2,73.2,,
11,1658671200,89.6,66.5,74.5,85.8,84.4,75.6,86.7,78.9,81.6,81.6,82.4,78.5,78.6,80.4,84.7,75.9,,
12,1658674800,90.8,68.2,75.7,86.8,85.1,77.7,87.2,80.5,81.3,81.8,83.9,80.6,81.2,80.6,86.2,77.9,,
13,1658678400,90.7,68.5,76.8,87.4,86.3,78.8,87.0,81.2,82.4,83.3,84.5,81.3,82.2,81.0,86.0,79.3,,
14,1658682000,91.6,68.5,78.5,88.6,87.4,80.3,87.7,83.2,84.7,84.4,86.0,82.8,83.1,81.8,87.5,80.6,,
15,1658685600,90.7,68.8,79.5,88.8,87.0,79.6,87.1,83.5,85.4,84.9,85.3,83.9,82.7,82.3,87.7,81.0,,
16,1658689200,90.9,70.3,79.5,89.3,87.0,81.0,87.1,84.0,84.6,84.4,86.2,82.7,83.1,81.1,88.7,81.4,,
17,1658692800,91.2,71.6,79.3,89.7,88.8,82.0,88.2,86.0,85.2,85.1,86.6,83.4,85.2,82.0,89.7,82.5,,
18,1658696400,91.3,72.5,81.1,90.8,89.5,82.9,88.4,86.7,85.3,85.1,87.8,84.9,85.6,82.0,89.4,84.2,,
19,1658700000,92.0,74.5,82.7,91.8,90.8,83.9,89.0,87.7,87.2,86.3,89.5,86.7,86.2,83.3,89.6,85.7,,
20,1658703600,92.1,72.9,80.3,89.3,88.5,83.8,85.9,86.5,84.2,81.4,87.4,84.4,85.1,81.1,87.1,84.6,,
21,1658707200,89.0,70.3,78.0,84.0,80.6,80.9,79.3,74.9,77.6,74.7,77.4,79.1,80.2,77.8,81.6,78.0,,
22,1658710800,84.4,66.1,74.7,78.2,73.1,75.7,74.3,70.8,71.2,70.0,69.7,70.6,74.6,70.0,76.6,71.6,,
23,1658714400,82.7,62.0,69.0,75.9,69.4,70.4,70.9,67.0,66.4,66.2,62.5,66.4,70.4,68.8,73.7,63.3,,
24,1658718000,79.3,57.4,66.2,75.0,65.5,66.7,68.9,62.4,61.7,64.4,57.7,61.5,65.4,67.5,66.9,57.4,,
25,1658721600,75.0,54.3,63.4,74.5,62.7,64.1,68.5,60.2,59.1,63.6,54.2,59.1,62.9,66.2,66.6,52.9,,
26,1658725200,71.4,52.4,62.5,72.8,61.7,62.2,67.1,56.5,58.7,64.2,51.2,57.2,60.9,64.2,66.3,49.9,,
27,1658728800,68.5,50.4,60.4,71.5,61.5,60.4,66.1,55.2,58.4,63.8,49.1,57.6,59.0,63.5,68.9,47.4,,
