,ts,CCH,HKA,HKO,HKS,JKB,LFS,PEN,SEK,SHA,SKG,TKL,TPO,TUN,TY1,WGL,SSH,TMS,TC
0,1658631600,,,,,,,,,,,,,,,,,,
1,1658635200,,,,,,,,,,,,,,,,,,
2,1658638800,,,,,,,,,,,,,,,,,,
3,1658642400,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
4,1658646000,,,,,,,,,,,,,,,,,,
5,1658649600,,,,,,,,,,,,,,,,,,
6,1658653200,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
7,1658656800,,,,,,,,,,,,,,,,,,
8,1658660400,,,,,,,,,,,,,,,,,,
9,1658664000,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
10,1658667600,,,,,,,,,,,,,,,,,,
11,1658671200,,,,,,,,,,,,,,,,,,
12,1658674800,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
13,1658678400,,,,,,,,,,,,,,,,,,
14,1658682000,,,,,,,,,,,,,,,,,,
15,1658685600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
16,1658689200,,,,,,,,,,,,,,,,,,
17,1658692800,,,,,,,,,,,,,,,,,,
18,1658696400,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
19,1658700000,,,,,,,,,,,,,,,,,,
20,1658703600,,,,,,,,,,,,,,,,,,
21,1658707200,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
22,1658710800,,,,,,,,,,,,,,,,,,
23,1658714400,,,,,,,,,,,,,,,,,,
24,1658718000,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
25,1658721600,,,,,,,,,,,,,,,,,,
26,1658725200,,,,,,,,,,,,,,,,,,
27,1658728800,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
28,1658732400,,,,,,,,,,,,,,,,,,
29,1658736000,,,,,,,,,,,,,,,,,,
30,1658739600,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
31,1658743200,,,,,,,,,,,,,,,,,,
32,1658746800,,,,,,,,,,,,,,,,,,
33,1658750400,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
34,1658754000,,,,,,,,,,,,,,,,,,
35,1658757600,,,,,,,,,,,,,,,,,,
36,1658761200,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
37,1658764800,,,,,,,,,,,,,,,,,,
38,1658768400,,,,,,,,,,,,,,,,,,
39,1658772000,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
40,1658775600,,,,,,,,,,,,,,,,,,
41,1658779200,,,,,,,,,,,,,,,,,,
42,1658782800,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mainly Fine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
43,1658786400,,,,,,,,,,,,,,,,,,
44,1658790000,,,,,,,,,,,,,,,,,,
45,1658793600,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny Periods,Sunny Periods,Sunny,Sunny,Sunny,Sunny,Sunny Periods,Sunny,Sunny,Sunny Periods,Sunny
46,1658797200,,,,,,,,,,,,,,,,,,
47,1658800800,,,,,,,,,,,,,,,,,,
48,1658804400,Sunny,Sunny Periods,Sunny,Sunny,Sunny,Sunny Periods,Sunny,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny,Sunny,Sunny,Sunny Periods,Sunny Periods,Sunny Periods
49,1658808000,,,,,,,,,,,,,,,,,,
50,1658811600,,,,,,,,,,,,,,,,,,
51,1658815200,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny Intervals,Sunny,Sunny,Sunny Intervals,Sunny Periods,Sunny,Sunny,Sunny,Sunny Intervals,Sunny Periods,Sunny
52,1658818800,,,,,,,,,,,,,,,,,,
53,1658822400,,,,,,,,,,,,,,,,,,
54,1658826000,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
55,1658829600,,,,,,,,,,,,,,,,,,
56,1658833200,,,,,,,,,,,,,,,,,,
57,1658836800,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
58,1658840400,,,,,,,,,,,,,,,,,,
59,1658844000,,,,,,,,,,,,,,,,,,
60,1658847600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
61,1658851200,,,,,,,,,,,,,,,,,,
62,1658854800,,,,,,,,,,,,,,,,,,
63,1658858400,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
64,1658862000,,,,,,,,,,,,,,,,,,
65,1658865600,,,,,,,,,,,,,,,,,,
66,1658869200,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
67,1658872800,,,,,,,,,,,,,,,,,,
68,1658876400,,,,,,,,,,,,,,,,,,
69,1658880000,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
70,1658883600,,,,,,,,,,,,,,,,,,
71,1658887200,,,,,,,,,,,,,,,,,,
