,ts,CCH,HKA,HKO,HKS,JKB,LFS,PEN,SEK,SHA,SKG,TKL,TPO,TUN,TY1,WGL,SSH,TMS,TC
0,1658631600,216.0,254.0,259.0,18.0,200.0,246.0,250.0,256.0,83.0,173.0,217.0,343.0,180.0,254.0,227.0,265.0,,
1,1658635200,215.0,256.0,255.0,27.0,49.0,242.0,154.0,248.0,91.0,170.0,245.0,6.0,346.0,171.0,215.0,259.0,,
2,1658638800,196.0,284.0,257.0,304.0,205.0,247.0,200.0,238.0,93.0,163.0,286.0,87.0,280.0,168.0,212.0,250.0,,
3,1658642400,197.0,269.0,264.0,20.0,216.0,242.0,203.0,227.0,139.0,159.0,207.0,106.0,278.0,156.0,221.0,238.0,,
4,1658646000,200.0,226.0,249.0,360.0,210.0,234.0,218.0,215.0,234.0,180.0,174.0,192.0,170.0,161.0,230.0,230.0,,
5,1658649600,202.0,221.0,248.0,14.0,208.0,227.0,216.0,206.0,234.0,180.0,208.0,194.0,165.0,154.0,229.0,223.0,,
6,1658653200,204.0,214.0,250.0,11.0,222.0,214.0,216.0,204.0,233.0,184.0,209.0,204.0,160.0,153.0,228.0,218.0,,
7,1658656800,209.0,213.0,252.0,339.0,224.0,199.0,225.0,204.0,234.0,190.0,200.0,197.0,164.0,156.0,231.0,215.0,,
8,1658660400,210.0,205.0,252.0,338.0,236.0,186.0,226.0,206.0,235.0,194.0,193.0,196.0,158.0,154.0,233.0,211.0,,
9,1658664000,214.0,213.0,251.0,331.0,241.0,179.0,231.0,207.0,239.0,209.0,206.0,225.0,152.0,150.0,235.0,211.0,,
10,1658667600,214.0,216.0,254.0,338.0,236.0,178.0,234.0,208.0,238.0,212.0,210.0,226.0,154.0,148.0,236.0,212.0,,
11,1658671200,212.0,217.0,254.0,327.0,241.0,180.0,234.0,210.0,240.0,221.0,219.0,214.0,153.0,142.0,234.0,215.0,,
12,1658674800,209.0,218.0,249.0,333.0,243.0,180.0,232.0,210.0,239.0,223.0,220.0,223.0,153.0,142.0,231.0,216.0,,
13,1658678400,209.0,218.0,256.0,314.0,238.0,183.0,236.0,212.0,242.0,225.0,213.0,241.0,156.0,140.0,230.0,217.0,,
14,1658682000,216.0,226.0,248.0,315.0,236.0,196.0,237.0,214.0,228.0,228.0,220.0,233.0,156.0,141.0,232.0,214.0,,
15,1658685600,214.0,225.0,254.0,318.0,237.0,194.0,236.0,215.0,236.0,224.0,213.0,235.0,161.0,141.0,238.0,212.0,,
16,1658689200,222.0,228.0,256.0,318.0,250.0,195.0,244.0,218.0,241.0,231.0,223.0,236.0,165.0,142.0,245.0,218.0,,
17,1658692800,226.0,224.0,260.0,315.0,252.0,199.0,247.0,222.0,248.0,246.0,220.0,235.0,158.0,144.0,249.0,221.0,,
18,1658696400,225.0,230.0,259.0,325.0,251.0,196.0,247.0,225.0,252.0,262.0,198.0,243.0,154.0,136.0,250.0,222.0,,
19,1658700000,226.0,229.0,257.0,328.0,258.0,196.0,248.0,228.0,254.0,268.0,218.0,235.0,150.0,139.0,247.0,224.0,,
20,1658703600,224.0,236.0,260.0,327.0,241.0,208.0,250.0,229.0,254.0,264.0,214.0,256.0,152.0,134.0,249.0,224.0,,
21,1658707200,226.0,240.0,256.0,328.0,238.0,229.0,253.0,234.0,249.0,184.0,244.0,216.0,154.0,144.0,254.0,234.0,,
22,1658710800,229.0,251.0,256.0,343.0,224.0,238.0,250.0,236.0,261.0,194.0,260.0,219.0,172.0,166.0,255.0,239.0,,
23,1658714400,216.0,252.0,254.0,345.0,226.0,254.0,234.0,235.0,256.0,181.0,245.0,167.0,180.0,158.0,253.0,241.0,,
24,1658718000,210.0,251.0,258.0,342.0,216.0,250.0,232.0,234.0,243.0,176.0,260.0,178.0,178.0,167.0,249.0,240.0,,
25,1658721600,207.0,244.0,258.0,350.0,218.0,252.0,230.0,228.0,245.0,176.0,265.0,190.0,180.0,158.0,244.0,240.0,,
26,1658725200,201.0,243.0,252.0,358.0,212.0,252.0,213.0,221.0,242.0,172.0,263.0,184.0,167.0,161.0,238.0,235.0,,
27,1658728800,196.0,235.0,250.0,346.0,211.0,243.0,213.0,213.0,236.0,172.0,238.0,172.0,175.0,157.0,236.0,225.0,,
28,1658732400,197.0,226.0,249.0,4.0,210.0,229.0,212.0,208.0,231.0,177.0,210.0,179.0,168.0,158.0,231.0,220.0,,
29,1658736000,197.0,220.0,247.0,23.0,205.0,225.0,211.0,204.0,232.0,174.0,204.0,181.0,163.0,150.0,227.0,218.0,,
30,1658739600,196.0,210.0,245.0,24.0,216.0,212.0,210.0,202.0,228.0,176.0,203.0,190.0,157.0,150.0,222.0,213.0,,
31,1658743200,197.0,204.0,244.0,350.0,218.0,192.0,216.0,198.0,229.0,182.0,192.0,184.0,160.0,151.0,223.0,210.0,,
32,1658746800,194.0,190.0,241.0,348.0,229.0,175.0,212.0,194.0,228.0,182.0,172.0,174.0,155.0,148.0,222.0,198.0,,
33,1658750400,191.0,192.0,224.0,348.0,230.0,166.0,209.0,189.0,228.0,187.0,162.0,171.0,149.0,142.0,216.0,190.0,,
34,1658754000,189.0,193.0,233.0,354.0,224.0,164.0,211.0,190.0,226.0,188.0,169.0,182.0,152.0,140.0,216.0,188.0,,
35,1658757600,188.0,194.0,229.0,345.0,231.0,166.0,212.0,191.0,226.0,190.0,162.0,174.0,152.0,136.0,216.0,191.0,,
36,1658761200,186.0,194.0,213.0,349.0,234.0,164.0,213.0,192.0,229.0,196.0,168.0,180.0,150.0,136.0,214.0,192.0,,
37,1658764800,186.0,194.0,220.0,334.0,226.0,166.0,217.0,194.0,234.0,199.0,159.0,200.0,150.0,134.0,210.0,191.0,,
38,1658768400,192.0,205.0,202.0,338.0,225.0,177.0,220.0,197.0,217.0,206.0,174.0,201.0,151.0,134.0,213.0,189.0,,
