ts,cch_windDir,g153_windDir,hka_windDir,lfs_windDir,sha_windDir,skg_windDir,tkl_windDir,ty1_windDir,cch_windspeed,g153_windspeed,hka_windspeed,lfs_windspeed,sha_windspeed,skg_windspeed,tkl_windspeed,ty1_windspeed
1667279460.0,358.0,9999.0,13.0,3.0,13.0,2.0,14.0,333.0,36.0,14.0,24.0,35.0,17.0,26.0,26.0,24.0
1667279520.0,358.0,9999.0,12.0,4.0,14.0,3.0,14.0,334.0,35.0,14.0,24.0,35.0,17.0,27.0,26.0,24.0
1667279580.0,357.0,333.0,13.0,5.0,15.0,3.0,15.0,334.0,36.0,14.0,25.0,36.0,17.0,26.0,26.0,24.0
1667279640.0,357.0,344.0,13.0,5.0,16.0,3.0,16.0,334.0,37.0,15.0,25.0,37.0,16.0,26.0,27.0,24.0
1667279700.0,358.0,352.0,13.0,5.0,17.0,3.0,16.0,334.0,37.0,16.0,26.0,38.0,16.0,26.0,26.0,24.0
1667279760.0,358.0,359.0,14.0,6.0,19.0,3.0,17.0,334.0,38.0,16.0,27.0,38.0,17.0,26.0,26.0,23.0
1667279820.0,357.0,2.0,15.0,6.0,19.0,5.0,17.0,333.0,38.0,16.0,27.0,37.0,16.0,24.0,25.0,23.0
1667279880.0,356.0,360.0,17.0,6.0,18.0,7.0,17.0,333.0,39.0,17.0,27.0,37.0,15.0,23.0,24.0,24.0
1667279940.0,356.0,358.0,17.0,7.0,18.0,7.0,17.0,333.0,39.0,18.0,27.0,37.0,15.0,23.0,24.0,24.0
1667280000.0,355.0,358.0,16.0,7.0,19.0,5.0,17.0,333.0,40.0,19.0,27.0,36.0,15.0,23.0,22.0,23.0
1667280060.0,355.0,1.0,16.0,8.0,22.0,6.0,17.0,333.0,40.0,19.0,28.0,36.0,14.0,23.0,22.0,23.0
1667280120.0,355.0,31.0,17.0,9.0,24.0,6.0,18.0,331.0,40.0,21.0,28.0,37.0,14.0,23.0,23.0,23.0
1667280180.0,355.0,21.0,17.0,9.0,25.0,6.0,17.0,331.0,40.0,21.0,27.0,37.0,14.0,23.0,22.0,24.0
1667280240.0,355.0,18.0,17.0,9.0,25.0,7.0,18.0,331.0,39.0,21.0,27.0,37.0,15.0,23.0,22.0,24.0
1667280300.0,354.0,13.0,17.0,8.0,26.0,7.0,18.0,331.0,38.0,19.0,27.0,35.0,14.0,23.0,22.0,24.0
1667280360.0,353.0,13.0,18.0,8.0,24.0,6.0,18.0,331.0,37.0,19.0,26.0,35.0,14.0,22.0,21.0,24.0
1667280420.0,353.0,13.0,18.0,8.0,25.0,6.0,17.0,332.0,37.0,18.0,26.0,35.0,14.0,23.0,21.0,23.0
1667280480.0,353.0,23.0,17.0,8.0,24.0,5.0,17.0,333.0,36.0,19.0,26.0,35.0,15.0,23.0,21.0,22.0
1667280540.0,353.0,21.0,17.0,7.0,24.0,4.0,18.0,333.0,36.0,18.0,25.0,34.0,15.0,22.0,19.0,22.0
1667280600.0,353.0,14.0,16.0,7.0,24.0,5.0,19.0,333.0,37.0,17.0,24.0,34.0,16.0,23.0,19.0,19.0
1667280660.0,353.0,15.0,17.0,6.0,22.0,6.0,20.0,333.0,38.0,17.0,23.0,34.0,15.0,23.0,19.0,19.0
1667280720.0,353.0,14.0,17.0,4.0,20.0,5.0,21.0,333.0,38.0,18.0,22.0,34.0,16.0,23.0,19.0,19.0
1667280780.0,354.0,15.0,17.0,2.0,22.0,7.0,22.0,333.0,39.0,18.0,22.0,34.0,16.0,23.0,19.0,18.0
1667280840.0,354.0,17.0,17.0,2.0,23.0,8.0,23.0,333.0,39.0,19.0,22.0,34.0,16.0,24.0,18.0,18.0
1667280900.0,355.0,15.0,16.0,2.0,25.0,9.0,23.0,333.0,40.0,19.0,22.0,35.0,16.0,24.0,17.0,18.0
1667280960.0,356.0,12.0,14.0,2.0,25.0,10.0,25.0,333.0,40.0,19.0,22.0,36.0,16.0,25.0,16.0,18.0
1667281020.0,355.0,11.0,13.0,2.0,27.0,9.0,27.0,333.0,40.0,19.0,22.0,37.0,16.0,26.0,17.0,17.0
1667281080.0,357.0,10.0,12.0,1.0,28.0,10.0,27.0,332.0,41.0,18.0,22.0,38.0,15.0,26.0,17.0,18.0
1667281140.0,357.0,8.0,11.0,1.0,31.0,11.0,26.0,332.0,41.0,18.0,23.0,39.0,15.0,26.0,17.0,18.0
1667281200.0,358.0,10.0,11.0,1.0,31.0,12.0,26.0,331.0,40.0,19.0,24.0,39.0,15.0,27.0,18.0,18.0
1667281260.0,357.0,8.0,9.0,2.0,29.0,11.0,25.0,330.0,39.0,19.0,24.0,40.0,15.0,27.0,18.0,18.0
1667281320.0,358.0,7.0,9.0,2.0,28.0,11.0,23.0,330.0,39.0,19.0,24.0,40.0,15.0,27.0,17.0,18.0
1667281380.0,358.0,6.0,10.0,3.0,26.0,10.0,21.0,330.0,38.0,18.0,25.0,40.0,14.0,27.0,17.0,17.0
1667281440.0,358.0,5.0,12.0,4.0,24.0,10.0,21.0,330.0,37.0,17.0,26.0,39.0,14.0,27.0,17.0,17.0
1667281500.0,358.0,5.0,14.0,4.0,21.0,10.0,22.0,328.0,37.0,18.0,26.0,39.0,15.0,27.0,18.0,16.0
1667281560.0,357.0,6.0,16.0,4.0,19.0,9.0,23.0,327.0,37.0,17.0,26.0,39.0,17.0,28.0,19.0,16.0
1667281620.0,358.0,4.0,18.0,4.0,15.0,9.0,25.0,328.0,36.0,17.0,25.0,38.0,17.0,29.0,20.0,17.0
1667281680.0,357.0,3.0,21.0,5.0,16.0,9.0,26.0,328.0,36.0,17.0,25.0,38.0,18.0,29.0,21.0,17.0
1667281740.0,356.0,4.0,24.0,7.0,15.0,8.0,26.0,329.0,35.0,18.0,24.0,37.0,18.0,29.0,20.0,16.0
1667281800.0,357.0,7.0,25.0,8.0,15.0,7.0,26.0,329.0,36.0,18.0,25.0,37.0,18.0,28.0,19.0,16.0
1667281860.0,359.0,8.0,27.0,9.0,16.0,5.0,27.0,331.0,37.0,18.0,25.0,37.0,19.0,28.0,19.0,15.0
1667281920.0,360.0,9.0,27.0,10.0,15.0,3.0,30.0,331.0,38.0,17.0,24.0,37.0,18.0,28.0,19.0,15.0
1667281980.0,2.0,13.0,28.0,10.0,15.0,1.0,32.0,329.0,39.0,17.0,24.0,38.0,18.0,28.0,19.0,16.0
1667282040.0,3.0,10.0,29.0,9.0,19.0,359.0,33.0,328.0,40.0,17.0,23.0,39.0,18.0,27.0,19.0,16.0
1667282100.0,4.0,8.0,27.0,12.0,26.0,357.0,34.0,329.0,42.0,18.0,22.0,40.0,18.0,27.0,19.0,15.0
1667282160.0,6.0,7.0,26.0,13.0,29.0,356.0,34.0,329.0,42.0,19.0,22.0,41.0,17.0,27.0,18.0,15.0
1667282220.0,8.0,9.0,26.0,13.0,30.0,355.0,33.0,328.0,44.0,19.0,22.0,42.0,17.0,26.0,17.0,14.0
1667282280.0,10.0,9.0,26.0,13.0,30.0,353.0,35.0,328.0,44.0,21.0,22.0,42.0,17.0,27.0,17.0,14.0
1667282340.0,11.0,9.0,25.0,13.0,31.0,353.0,37.0,332.0,44.0,21.0,22.0,43.0,17.0,28.0,17.0,14.0
1667282400.0,11.0,9.0,24.0,13.0,31.0,351.0,38.0,333.0,43.0,21.0,22.0,42.0,16.0,28.0,18.0,13.0
1667282460.0,11.0,7.0,24.0,13.0,34.0,350.0,37.0,331.0,43.0,19.0,22.0,41.0,16.0,27.0,19.0,13.0
1667282520.0,8.0,4.0,24.0,14.0,36.0,350.0,37.0,331.0,41.0,19.0,21.0,40.0,17.0,28.0,19.0,13.0
1667282580.0,7.0,360.0,23.0,15.0,38.0,351.0,39.0,337.0,40.0,20.0,21.0,40.0,17.0,27.0,19.0,12.0
1667282640.0,7.0,357.0,21.0,16.0,38.0,351.0,40.0,339.0,39.0,19.0,21.0,38.0,17.0,27.0,19.0,12.0
1667282700.0,5.0,358.0,23.0,14.0,36.0,352.0,40.0,339.0,38.0,19.0,22.0,37.0,15.0,27.0,20.0,12.0
1667282760.0,5.0,360.0,24.0,13.0,37.0,351.0,38.0,346.0,37.0,18.0,22.0,36.0,15.0,26.0,20.0,12.0
1667282820.0,3.0,20.0,25.0,12.0,39.0,350.0,39.0,349.0,36.0,18.0,22.0,35.0,15.0,26.0,19.0,12.0
