ts,windSpeed,windDir
1667279460,35.0,3
1667279520,35.0,4
1667279580,36.0,5
1667279640,37.0,5
1667279700,38.0,5
1667279760,38.0,6
1667279820,37.0,6
1667279880,37.0,6
1667279940,37.0,7
1667280000,36.0,7
1667280060,36.0,8
1667280120,37.0,9
1667280180,37.0,9
1667280240,37.0,9
1667280300,35.0,8
1667280360,35.0,8
1667280420,35.0,8
1667280480,35.0,8
1667280540,34.0,7
1667280600,34.0,7
1667280660,34.0,6
1667280720,34.0,4
1667280780,34.0,2
1667280840,34.0,2
1667280900,35.0,2
1667280960,36.0,2
1667281020,37.0,2
1667281080,38.0,1
1667281140,39.0,1
1667281200,39.0,1
1667281260,40.0,2
1667281320,40.0,2
1667281380,40.0,3
1667281440,39.0,4
1667281500,39.0,4
1667281560,39.0,4
1667281620,38.0,4
1667281680,38.0,5
1667281740,37.0,7
1667281800,37.0,8
1667281860,37.0,9
1667281920,37.0,10
1667281980,38.0,10
1667282040,39.0,9
1667282100,40.0,12
1667282160,41.0,13
1667282220,42.0,13
1667282280,42.0,13
1667282340,43.0,13
1667282400,42.0,13
1667282460,41.0,13
1667282520,40.0,14
1667282580,40.0,15
1667282640,38.0,16
1667282700,37.0,14
1667282760,36.0,13
1667282820,35.0,12
1667282880,35.0,13
1667282940,34.0,16
1667283000,33.0,17
1667283060,33.0,17
1667283120,33.0,15
1667283180,33.0,14
1667283240,33.0,16
1667283300,33.0,18
1667283360,32.0,21
1667283420,33.0,23
1667283480,33.0,24
1667283540,32.0,23
1667283600,32.0,24
1667283660,32.0,23
1667283720,32.0,23
1667283780,30.0,24
1667283840,30.0,24
1667283900,30.0,23
1667283960,29.0,23
1667284020,28.0,24
1667284080,28.0,24
1667284140,27.0,24
1667284200,26.0,25
1667284260,24.0,28
1667284320,23.0,32
1667284380,24.0,34
1667284440,24.0,35
1667284500,24.0,36
1667284560,24.0,37
1667284620,24.0,40
1667284680,24.0,41
1667284740,24.0,41
1667284800,24.0,40
1667284860,24.0,40
1667284920,24.0,41
1667284980,23.0,43
1667285040,22.0,45
1667285100,21.0,48
1667285160,21.0,49
1667285220,21.0,49
1667285280,21.0,50
1667285340,19.0,53
1667285400,19.0,54
1667285460,19.0,56
1667285520,19.0,57
1667285580,19.0,58
1667285640,20.0,59
1667285700,20.0,58
1667285760,19.0,58
1667285820,19.0,58
1667285880,19.0,58
1667285940,19.0,58
1667286000,19.0,58
1667286060,19.0,58
1667286120,18.0,57
1667286180,18.0,55
1667286240,18.0,55
1667286300,18.0,54
1667286360,18.0,52
1667286420,18.0,47
1667286480,18.0,44
1667286540,19.0,43
1667286600,19.0,40
1667286660,19.0,40
1667286720,20.0,39
1667286780,20.0,38
1667286840,21.0,37
1667286900,22.0,38
1667286960,23.0,40
1667287020,25.0,44
1667287080,25.0,48
1667287140,26.0,48
1667287200,27.0,50
1667287260,28.0,51
1667287320,30.0,52
1667287380,31.0,52
1667287440,32.0,52
1667287500,32.0,52
1667287560,32.0,53
1667287620,30.0,51
1667287680,30.0,50
1667287740,30.0,49
1667287800,30.0,47
1667287860,29.0,45
1667287920,28.0,44
1667287980,27.0,42
1667288040,26.0,43
1667288100,26.0,41
1667288160,26.0,40
1667288220,27.0,39
1667288280,27.0,40
1667288340,27.0,41
1667288400,27.0,44
1667288460,27.0,45
1667288520,28.0,44
1667288580,28.0,45
1667288640,29.0,45
1667288700,30.0,45
1667288760,29.0,44
1667288820,29.0,44
1667288880,28.0,43
1667288940,28.0,41
1667289000,28.0,38
1667289060,29.0,35
1667289120,29.0,33
1667289180,30.0,32
1667289240,31.0,29
1667289300,33.0,28
1667289360,34.0,26
1667289420,35.0,23
1667289480,36.0,21
1667289540,37.0,21
1667289600,36.0,21
1667289660,36.0,21
1667289720,35.0,21
1667289780,34.0,19
1667289840,34.0,18
1667289900,32.0,15
1667289960,30.0,13
1667290020,30.0,12
1667290080,30.0,11
1667290140,30.0,9
1667290200,30.0,7
1667290260,30.0,6
1667290320,32.0,5
1667290380,32.0,4
1667290440,32.0,3
1667290500,32.0,4
1667290560,33.0,3
1667290620,32.0,3
1667290680,32.0,2
1667290740,32.0,2
1667290800,31.0,1
1667290860,30.0,1
1667290920,30.0,360
1667290980,29.0,359
1667291040,28.0,359
1667291100,27.0,359
1667291160,26.0,359
1667291220,26.0,360
1667291280,25.0,360
1667291340,24.0,359
1667291400,24.0,359
1667291460,23.0,359
1667291520,24.0,360
1667291580,24.0,1
1667291640,24.0,1
1667291700,25.0,2
1667291760,24.0,3
1667291820,24.0,3
1667291880,24.0,4
1667291940,23.0,5
1667292000,23.0,5
1667292060,23.0,6
1667292120,22.0,8
1667292180,23.0,9
1667292240,23.0,10
1667292300,24.0,10
1667292360,24.0,11
1667292420,25.0,13
1667292480,25.0,15
1667292540,26.0,15
1667292600,27.0,18
1667292660,28.0,18
1667292720,29.0,19
1667292780,29.0,20
1667292840,28.0,24
1667292900,27.0,26
1667292960,26.0,28
1667293020,26.0,29
1667293080,25.0,31
1667293140,24.0,34
1667293200,24.0,35
1667293260,23.0,38
1667293320,22.0,40
1667293380,22.0,42
1667293440,21.0,42
1667293500,21.0,44
1667293560,21.0,45
1667293620,22.0,47
1667293680,22.0,48
1667293740,21.0,49
1667293800,21.0,50
1667293860,19.0,51
1667293920,19.0,52
1667293980,18.0,54
1667294040,18.0,55
1667294100,18.0,55
1667294160,17.0,57
1667294220,17.0,59
1667294280,16.0,62
1667294340,16.0,65
1667294400,15.0,69
1667294460,15.0,71
1667294520,15.0,72
1667294580,15.0,73
1667294640,15.0,75
1667294700,15.0,76
1667294760,14.0,75
1667294820,14.0,74
1667294880,12.0,73
1667294940,12.0,72
1667295000,12.0,70
1667295060,12.0,68
1667295120,12.0,68
1667295180,12.0,66
1667295240,12.0,64
1667295300,12.0,63
1667295360,12.0,62
1667295420,12.0,61
1667295480,13.0,60
1667295540,14.0,59
1667295600,14.0,58
1667295660,15.0,59
1667295720,15.0,58
1667295780,16.0,57
1667295840,17.0,56
1667295900,17.0,55
1667295960,17.0,55
1667296020,18.0,54
1667296080,18.0,53
1667296140,17.0,52
1667296200,18.0,50
1667296260,19.0,48
1667296320,19.0,45
1667296380,19.0,44
1667296440,19.0,45
1667296500,19.0,45
1667296560,19.0,43
1667296620,19.0,40
1667296680,20.0,39
1667296740,19.0,38
1667296800,19.0,37
1667296860,19.0,37
1667296920,19.0,38
1667296980,18.0,38
1667297040,17.0,37
1667297100,17.0,36
1667297160,17.0,35
1667297220,16.0,36
1667297280,15.0,35
1667297340,15.0,34
1667297400,15.0,33
1667297460,14.0,32
1667297520,14.0,29
1667297580,15.0,27
1667297640,15.0,25
1667297700,15.0,26
1667297760,14.0,27
1667297820,14.0,26
1667297880,14.0,25
1667297940,15.0,25
1667298000,15.0,25
1667298060,16.0,26
1667298120,15.0,29
1667298180,14.0,31
1667298240,13.0,35
1667298300,12.0,35
1667298360,12.0,38
1667298420,12.0,42
1667298480,12.0,45
1667298540,10.0,49
1667298600,10.0,52
1667298660,9.0,53
1667298720,9.0,52
1667298780,9.0,52
1667298840,9.0,51
1667298900,9.0,52
1667298960,10.0,50
1667299020,10.0,50
1667299080,11.0,46
1667299140,11.0,43
1667299200,12.0,41
1667299260,12.0,40
1667299320,13.0,40
1667299380,13.0,39
1667299440,14.0,38
1667299500,14.0,36
1667299560,15.0,35
1667299620,15.0,37
1667299680,15.0,37
1667299740,16.0,37
1667299800,16.0,38
1667299860,16.0,39
1667299920,17.0,40
1667299980,17.0,42
1667300040,17.0,43
1667300100,17.0,44
1667300160,17.0,44
1667300220,17.0,44
1667300280,16.0,45
1667300340,16.0,45
1667300400,15.0,45
1667300460,15.0,44
1667300520,15.0,43
1667300580,15.0,40
1667300640,14.0,39
1667300700,14.0,37
1667300760,15.0,36
1667300820,15.0,34
1667300880,16.0,32
1667300940,16.0,30
1667301000,17.0,29
1667301060,17.0,29
1667301120,18.0,28
1667301180,18.0,28
1667301240,19.0,26
1667301300,19.0,26
1667301360,19.0,26
1667301420,20.0,26
1667301480,20.0,27
1667301540,19.0,29
1667301600,20.0,29
1667301660,20.0,29
1667301720,21.0,29
1667301780,20.0,29
1667301840,20.0,31
1667301900,21.0,32
1667301960,19.0,34
1667302020,19.0,37
1667302080,19.0,39
1667302140,18.0,38
1667302200,18.0,36
1667302260,18.0,36
1667302320,17.0,36
1667302380,17.0,35
1667302440,16.0,36
1667302500,17.0,36
1667302560,17.0,34
1667302620,17.0,33
1667302680,17.0,31
1667302740,18.0,30
1667302800,18.0,32
1667302860,18.0,33
1667302920,18.0,34
1667302980,18.0,36
1667303040,18.0,36
1667303100,18.0,35
1667303160,18.0,34
1667303220,18.0,34
1667303280,18.0,33
1667303340,18.0,34
1667303400,18.0,34
1667303460,18.0,34
1667303520,18.0,33
1667303580,18.0,33
1667303640,18.0,32
1667303700,17.0,31
1667303760,17.0,31
1667303820,17.0,31
1667303880,17.0,32
1667303940,16.0,31
1667304000,16.0,31
1667304060,17.0,31
1667304120,17.0,31
1667304180,16.0,32
1667304240,17.0,31
1667304300,18.0,28
1667304360,18.0,30
1667304420,19.0,30
1667304480,19.0,30
1667304540,19.0,30
1667304600,21.0,28
1667304660,22.0,27
1667304720,23.0,24
1667304780,25.0,22
1667304840,26.0,22
1667304900,26.0,22
1667304960,26.0,21
1667305020,26.0,21
1667305080,27.0,20
1667305140,28.0,20
1667305200,28.0,20
1667305260,28.0,19
1667305320,27.0,19
1667305380,28.0,20
1667305440,28.0,20
1667305500,28.0,20
1667305560,29.0,18
1667305620,30.0,16
1667305680,32.0,15
1667305740,32.0,13
1667305800,34.0,13
1667305860,34.0,13
1667305920,35.0,13
1667305980,35.0,12
1667306040,35.0,12
1667306100,35.0,11
1667306160,34.0,11
1667306220,33.0,11
1667306280,33.0,11
1667306340,33.0,11
1667306400,33.0,12
1667306460,32.0,12
1667306520,31.0,13
1667306580,31.0,13
1667306640,31.0,13
1667306700,32.0,13
1667306760,33.0,13
1667306820,33.0,13
1667306880,33.0,13
1667306940,32.0,14
1667307000,33.0,14
1667307060,33.0,14
1667307120,33.0,13
1667307180,33.0,13
1667307240,33.0,13
1667307300,32.0,14
1667307360,31.0,14
1667307420,30.0,15
1667307480,30.0,15
1667307540,30.0,15
1667307600,30.0,14
1667307660,30.0,14
1667307720,29.0,14
1667307780,28.0,13
1667307840,28.0,13
1667307900,28.0,11
1667307960,28.0,9
1667308020,28.0,8
1667308080,28.0,6
1667308140,28.0,5
1667308200,28.0,5
1667308260,27.0,3
1667308320,27.0,3
1667308380,26.0,3
1667308440,26.0,2
1667308500,24.0,2
1667308560,24.0,2
1667308620,24.0,2
1667308680,24.0,2
1667308740,24.0,2
1667308800,25.0,2
1667308860,25.0,2
1667308920,26.0,2
1667308980,26.0,2
1667309040,26.0,2
1667309100,27.0,1
1667309160,27.0,360
1667309220,27.0,360
1667309280,27.0,359
1667309340,27.0,359
1667309400,27.0,359
1667309460,27.0,358
1667309520,27.0,357
1667309580,27.0,356
1667309640,27.0,355
1667309700,27.0,355
1667309760,27.0,355
1667309820,27.0,355
1667309880,27.0,356
1667309940,27.0,357
1667310000,27.0,357
1667310060,27.0,357
1667310120,27.0,358
1667310180,28.0,358
1667310240,28.0,359
1667310300,28.0,360
1667310360,28.0,1
1667310420,28.0,1
1667310480,28.0,1
1667310540,27.0,1
1667310600,27.0,2
1667310660,27.0,3
1667310720,27.0,3
1667310780,27.0,3
1667310840,27.0,2
1667310900,27.0,2
1667310960,27.0,2
1667311020,27.0,1
1667311080,27.0,1
1667311140,27.0,360
1667311200,28.0,1
1667311260,28.0,1
1667311320,28.0,360
1667311380,32.0,6
1667311440,29.0,1
1667311500,29.0,360
1667311560,29.0,360
1667311620,28.0,1
1667311680,29.0,1
1667311740,29.0,1
1667311800,29.0,1
1667311860,30.0,1
1667311920,29.0,2
1667311980,29.0,2
1667312040,29.0,2
1667312100,30.0,3
1667312160,30.0,3
1667312220,32.0,4
1667312280,33.0,4
1667312340,33.0,4
1667312400,33.0,4
1667312460,33.0,3
1667312520,33.0,3
1667312580,33.0,3
1667312640,33.0,3
1667312700,33.0,2
1667312760,32.0,4
1667312820,32.0,4
1667312880,30.0,4
1667312940,30.0,4
1667313000,30.0,5
1667313060,30.0,6
1667313120,32.0,7
1667313180,31.0,7
1667313240,31.0,8
1667313300,31.0,8
1667313360,31.0,8
1667313420,32.0,8
1667313480,31.0,9
1667313540,30.0,9
1667313600,30.0,10
1667313660,30.0,10
1667313720,30.0,10
1667313780,30.0,11
1667313840,30.0,12
1667313900,29.0,13
1667313960,29.0,15
1667314020,29.0,16
1667314080,29.0,16
1667314140,30.0,15
1667314200,30.0,15
1667314260,30.0,15
1667314320,30.0,16
1667314380,29.0,17
1667314440,28.0,16
1667314500,29.0,14
1667314560,29.0,14
1667314620,28.0,13
1667314680,28.0,12
1667314740,27.0,13
1667314800,27.0,12
1667314860,27.0,11
1667314920,26.0,10
1667314980,26.0,9
1667315040,26.0,9
1667315100,26.0,9
1667315160,26.0,8
1667315220,26.0,8
1667315280,27.0,8
1667315340,28.0,8
1667315400,29.0,8
1667315460,29.0,8
1667315520,30.0,9
1667315580,30.0,10
1667315640,30.0,10
1667315700,30.0,10
1667315760,30.0,11
1667315820,30.0,11
1667315880,30.0,10
1667315940,30.0,10
1667316000,30.0,10
1667316060,30.0,11
1667316120,30.0,11
1667316180,30.0,10
1667316240,31.0,10
1667316300,32.0,10
1667316360,32.0,10
1667316420,32.0,11
1667316480,32.0,12
1667316540,31.0,11
1667316600,32.0,11
1667316660,32.0,12
1667316720,32.0,11
1667316780,30.0,12
1667316840,30.0,12
1667316900,30.0,12
1667316960,29.0,12
1667317020,29.0,11
1667317080,29.0,11
1667317140,29.0,11
1667317200,28.0,11
1667317260,27.0,10
1667317320,28.0,11
1667317380,27.0,10
1667317440,27.0,10
1667317500,27.0,9
1667317560,27.0,9
1667317620,27.0,9
1667317680,27.0,8
1667317740,26.0,8
1667317800,26.0,7
1667317860,27.0,7
1667317920,26.0,7
1667317980,26.0,7
1667318040,26.0,8
1667318100,26.0,8
1667318160,27.0,10
1667318220,27.0,10
1667318280,27.0,10
1667318340,26.0,11
1667318400,26.0,11
1667318460,26.0,10
1667318520,26.0,11
1667318580,26.0,9
1667318640,26.0,10
1667318700,25.0,9
1667318760,25.0,9
1667318820,26.0,10
1667318880,26.0,10
1667318940,27.0,10
1667319000,27.0,10
1667319060,27.0,11
1667319120,27.0,11
1667319180,27.0,12
1667319240,27.0,13
1667319300,26.0,13
1667319360,26.0,13
1667319420,25.0,12
1667319480,24.0,13
1667319540,24.0,13
1667319600,24.0,13
1667319660,23.0,13
1667319720,23.0,13
1667319780,23.0,13
1667319840,23.0,13
1667319900,23.0,14
1667319960,23.0,14
1667320020,22.0,13
1667320080,22.0,14
1667320140,22.0,15
1667320200,22.0,16
1667320260,22.0,16
1667320320,22.0,16
1667320380,21.0,16
1667320440,21.0,16
1667320500,21.0,16
1667320560,21.0,16
1667320620,21.0,16
1667320680,21.0,15
1667320740,21.0,14
1667320800,20.0,14
1667320860,19.0,15
1667320920,19.0,14
1667320980,19.0,14
1667321040,19.0,14
1667321100,19.0,14
1667321160,19.0,13
1667321220,19.0,14
1667321280,19.0,15
1667321340,19.0,15
1667321400,19.0,16
1667321460,19.0,15
1667321520,21.0,14
1667321580,20.0,15
1667321640,19.0,17
1667321700,19.0,19
1667321760,19.0,21
1667321820,18.0,22
1667321880,18.0,23
1667321940,17.0,24
1667322000,17.0,22
1667322060,17.0,23
1667322120,16.0,26
1667322180,16.0,25
1667322240,16.0,23
1667322300,16.0,23
1667322360,16.0,22
1667322420,16.0,24
1667322480,16.0,25
1667322540,17.0,26
1667322600,17.0,27
1667322660,16.0,30
1667322720,17.0,29
1667322780,17.0,28
1667322840,17.0,28
1667322900,17.0,28
1667322960,17.0,30
1667323020,17.0,29
1667323080,17.0,30
1667323140,16.0,31
1667323200,16.0,32
1667323260,16.0,32
1667323320,15.0,34
1667323380,15.0,36
1667323440,15.0,38
1667323500,15.0,38
1667323560,15.0,36
1667323620,16.0,35
1667323680,16.0,34
1667323740,17.0,34
1667323800,17.0,32
1667323860,17.0,31
1667323920,18.0,30
1667323980,19.0,28
1667324040,19.0,26
1667324100,20.0,25
1667324160,21.0,25
1667324220,22.0,24
1667324280,22.0,25
1667324340,22.0,24
1667324400,22.0,23
1667324460,22.0,24
1667324520,22.0,24
1667324580,22.0,24
1667324640,22.0,24
1667324700,21.0,23
1667324760,21.0,22
1667324820,21.0,22
1667324880,22.0,19
1667324940,22.0,16
1667325000,22.0,13
1667325060,22.0,9
1667325120,22.0,6
1667325180,22.0,5
1667325240,23.0,3
1667325300,22.0,1
1667325360,22.0,359
1667325420,22.0,358
1667325480,21.0,356
1667325540,21.0,356
1667325600,21.0,355
1667325660,22.0,355
1667325720,22.0,356
1667325780,22.0,355
1667325840,21.0,356
1667325900,22.0,357
1667325960,21.0,357
1667326020,22.0,357
1667326080,22.0,357
1667326140,22.0,358
1667326200,22.0,358
1667326260,22.0,359
1667326320,22.0,359
1667326380,22.0,1
1667326440,22.0,2
1667326500,22.0,2
1667326560,22.0,2
1667326620,22.0,2
1667326680,22.0,3
1667326740,22.0,3
1667326800,22.0,4
1667326860,23.0,3
1667326920,23.0,3
1667326980,23.0,3
1667327040,24.0,3
