ts,windSpeed,windDir
1667279460,17.0,13
1667279520,17.0,14
1667279580,17.0,15
1667279640,16.0,16
1667279700,16.0,17
1667279760,17.0,19
1667279820,16.0,19
1667279880,15.0,18
1667279940,15.0,18
1667280000,15.0,19
1667280060,14.0,22
1667280120,14.0,24
1667280180,14.0,25
1667280240,15.0,25
1667280300,14.0,26
1667280360,14.0,24
1667280420,14.0,25
1667280480,15.0,24
1667280540,15.0,24
1667280600,16.0,24
1667280660,15.0,22
1667280720,16.0,20
1667280780,16.0,22
1667280840,16.0,23
1667280900,16.0,25
1667280960,16.0,25
1667281020,16.0,27
1667281080,15.0,28
1667281140,15.0,31
1667281200,15.0,31
1667281260,15.0,29
1667281320,15.0,28
1667281380,14.0,26
1667281440,14.0,24
1667281500,15.0,21
1667281560,17.0,19
1667281620,17.0,15
1667281680,18.0,16
1667281740,18.0,15
1667281800,18.0,15
1667281860,19.0,16
1667281920,18.0,15
1667281980,18.0,15
1667282040,18.0,19
1667282100,18.0,26
1667282160,17.0,29
1667282220,17.0,30
1667282280,17.0,30
1667282340,17.0,31
1667282400,16.0,31
1667282460,16.0,34
1667282520,17.0,36
1667282580,17.0,38
1667282640,17.0,38
1667282700,15.0,36
1667282760,15.0,37
1667282820,15.0,39
1667282880,15.0,41
1667282940,15.0,43
1667283000,15.0,43
1667283060,15.0,40
1667283120,14.0,41
1667283180,14.0,39
1667283240,14.0,37
1667283300,14.0,36
1667283360,14.0,34
1667283420,14.0,32
1667283480,13.0,32
1667283540,13.0,30
1667283600,13.0,29
1667283660,13.0,28
1667283720,12.0,25
1667283780,12.0,23
1667283840,12.0,22
1667283900,12.0,20
1667283960,11.0,19
1667284020,11.0,20
1667284080,11.0,18
1667284140,10.0,18
1667284200,11.0,17
1667284260,11.0,18
1667284320,12.0,19
1667284380,12.0,22
1667284440,12.0,23
1667284500,12.0,25
1667284560,13.0,26
1667284620,13.0,25
1667284680,12.0,26
1667284740,14.0,27
1667284800,14.0,27
1667284860,13.0,28
1667284920,13.0,28
1667284980,13.0,27
1667285040,12.0,26
1667285100,12.0,24
1667285160,12.0,22
1667285220,12.0,21
1667285280,14.0,20
1667285340,14.0,18
1667285400,15.0,16
1667285460,15.0,16
1667285520,15.0,15
1667285580,15.0,16
1667285640,15.0,18
1667285700,17.0,19
1667285760,17.0,21
1667285820,17.0,22
1667285880,17.0,23
1667285940,16.0,25
1667286000,17.0,29
1667286060,17.0,30
1667286120,17.0,32
1667286180,17.0,32
1667286240,17.0,33
1667286300,17.0,34
1667286360,16.0,33
1667286420,16.0,34
1667286480,15.0,34
1667286540,15.0,34
1667286600,14.0,34
1667286660,15.0,35
1667286720,14.0,34
1667286780,14.0,35
1667286840,15.0,35
1667286900,15.0,35
1667286960,15.0,36
1667287020,16.0,37
1667287080,16.0,37
1667287140,18.0,38
1667287200,18.0,37
1667287260,17.0,37
1667287320,16.0,38
1667287380,16.0,38
1667287440,16.0,38
1667287500,16.0,36
1667287560,16.0,38
1667287620,16.0,38
1667287680,16.0,39
1667287740,15.0,38
1667287800,16.0,38
1667287860,16.0,36
1667287920,16.0,33
1667287980,17.0,32
1667288040,18.0,31
1667288100,18.0,32
1667288160,17.0,30
1667288220,17.0,30
1667288280,17.0,28
1667288340,16.0,28
1667288400,16.0,28
1667288460,16.0,28
1667288520,17.0,30
1667288580,16.0,30
1667288640,15.0,30
1667288700,14.0,30
1667288760,15.0,29
1667288820,14.0,29
1667288880,14.0,27
1667288940,14.0,26
1667289000,14.0,26
1667289060,15.0,26
1667289120,14.0,24
1667289180,15.0,23
1667289240,15.0,24
1667289300,15.0,24
1667289360,15.0,24
1667289420,15.0,24
1667289480,17.0,25
1667289540,17.0,25
1667289600,17.0,25
1667289660,17.0,26
1667289720,17.0,26
1667289780,17.0,26
1667289840,17.0,25
1667289900,17.0,24
1667289960,17.0,25
1667290020,17.0,24
1667290080,16.0,23
1667290140,15.0,22
1667290200,15.0,21
1667290260,14.0,20
1667290320,12.0,21
1667290380,13.0,22
1667290440,13.0,21
1667290500,12.0,20
1667290560,12.0,21
1667290620,13.0,20
1667290680,13.0,23
1667290740,14.0,24
1667290800,14.0,24
1667290860,14.0,24
1667290920,15.0,24
1667290980,14.0,22
1667291040,14.0,23
1667291100,14.0,24
1667291160,14.0,24
1667291220,14.0,25
1667291280,14.0,24
1667291340,14.0,24
1667291400,14.0,22
1667291460,14.0,21
1667291520,14.0,21
1667291580,14.0,21
1667291640,14.0,20
1667291700,15.0,19
1667291760,14.0,19
1667291820,15.0,17
1667291880,15.0,16
1667291940,15.0,16
1667292000,15.0,17
1667292060,16.0,18
1667292120,16.0,17
1667292180,18.0,17
1667292240,19.0,16
1667292300,19.0,14
1667292360,18.0,14
1667292420,18.0,15
1667292480,19.0,14
1667292540,19.0,14
1667292600,19.0,14
1667292660,19.0,15
1667292720,18.0,16
1667292780,18.0,18
1667292840,17.0,20
1667292900,16.0,21
1667292960,16.0,21
1667293020,16.0,21
1667293080,15.0,21
1667293140,14.0,22
1667293200,14.0,23
1667293260,14.0,24
1667293320,14.0,25
1667293380,14.0,24
1667293440,14.0,23
1667293500,15.0,23
1667293560,15.0,23
1667293620,15.0,24
1667293680,15.0,24
1667293740,16.0,23
1667293800,16.0,23
1667293860,15.0,22
1667293920,16.0,20
1667293980,15.0,19
1667294040,15.0,19
1667294100,15.0,19
1667294160,15.0,19
1667294220,15.0,17
1667294280,15.0,19
1667294340,15.0,20
1667294400,15.0,20
1667294460,16.0,20
1667294520,15.0,21
1667294580,15.0,23
1667294640,15.0,23
1667294700,15.0,21
1667294760,16.0,23
1667294820,15.0,25
1667294880,15.0,24
1667294940,15.0,23
1667295000,14.0,25
1667295060,15.0,26
1667295120,15.0,26
1667295180,15.0,26
1667295240,15.0,27
1667295300,15.0,30
1667295360,15.0,29
1667295420,15.0,30
1667295480,16.0,32
1667295540,16.0,33
1667295600,16.0,32
1667295660,17.0,33
1667295720,16.0,32
1667295780,17.0,31
1667295840,17.0,31
1667295900,18.0,29
1667295960,18.0,29
1667296020,18.0,27
1667296080,17.0,26
1667296140,18.0,26
1667296200,19.0,24
1667296260,18.0,23
1667296320,18.0,24
1667296380,18.0,26
1667296440,19.0,28
1667296500,18.0,29
1667296560,19.0,31
1667296620,19.0,33
