ts,windSpeed,windDir
1667279460,24.0,333
1667279520,24.0,334
1667279580,24.0,334
1667279640,24.0,334
1667279700,24.0,334
1667279760,23.0,334
1667279820,23.0,333
1667279880,24.0,333
1667279940,24.0,333
1667280000,23.0,333
1667280060,23.0,333
1667280120,23.0,331
1667280180,24.0,331
1667280240,24.0,331
1667280300,24.0,331
1667280360,24.0,331
1667280420,23.0,332
1667280480,22.0,333
1667280540,22.0,333
1667280600,19.0,333
1667280660,19.0,333
1667280720,19.0,333
1667280780,18.0,333
1667280840,18.0,333
1667280900,18.0,333
1667280960,18.0,333
1667281020,17.0,333
1667281080,18.0,332
1667281140,18.0,332
1667281200,18.0,331
1667281260,18.0,330
1667281320,18.0,330
1667281380,17.0,330
1667281440,17.0,330
1667281500,16.0,328
1667281560,16.0,327
1667281620,17.0,328
1667281680,17.0,328
1667281740,16.0,329
1667281800,16.0,329
1667281860,15.0,331
1667281920,15.0,331
1667281980,16.0,329
1667282040,16.0,328
1667282100,15.0,329
1667282160,15.0,329
1667282220,14.0,328
1667282280,14.0,328
1667282340,14.0,332
1667282400,13.0,333
1667282460,13.0,331
1667282520,13.0,331
1667282580,12.0,337
1667282640,12.0,339
1667282700,12.0,339
1667282760,12.0,346
1667282820,12.0,349
1667282880,12.0,347
1667282940,12.0,347
1667283000,11.0,325
1667283060,12.0,333
1667283120,12.0,336
1667283180,12.0,340
1667283240,12.0,340
1667283300,11.0,335
1667283360,11.0,335
1667283420,12.0,339
1667283480,12.0,339
1667283540,12.0,343
1667283600,13.0,330
1667283660,12.0,332
1667283720,12.0,331
1667283780,12.0,331
1667283840,12.0,331
1667283900,12.0,328
1667283960,12.0,331
1667284020,12.0,331
1667284080,12.0,335
1667284140,13.0,337
1667284200,13.0,337
1667284260,12.0,337
1667284320,12.0,334
1667284380,14.0,335
1667284440,13.0,336
1667284500,12.0,331
1667284560,12.0,336
1667284620,12.0,337
1667284680,12.0,337
1667284740,12.0,336
1667284800,12.0,335
1667284860,12.0,333
