ts,cch_windDir,g153_windDir,hka_windDir,hko_windDir,hks_windDir,jkb_windDir,lfs_windDir,pen_windDir,sek_windDir,sha_windDir,skg_windDir,tkl_windDir,tpo_windDir,tun_windDir,ty1_windDir,wgl_windDir,cch_windspeed,g153_windspeed,hka_windspeed,hko_windspeed,hks_windspeed,jkb_windspeed,lfs_windspeed,pen_windspeed,sek_windspeed,sha_windspeed,skg_windspeed,tkl_windspeed,tpo_windspeed,tun_windspeed,ty1_windspeed,wgl_windspeed
1693460460,336.0,344.0,328.0,9999.0,9999.0,,355.0,316.0,,30.0,4.0,19.0,,350.0,317.0,355.0,19.0,10.0,19.0,5.0,6.0,,25.0,21.0,14.0,15.0,19.0,10.0,,6.0,14.0,28.0
1693460520,335.0,351.0,330.0,9999.0,9999.0,,355.0,317.0,,29.0,4.0,18.0,,353.0,318.0,354.0,19.0,9.0,19.0,5.0,6.0,,26.0,22.0,15.0,14.0,19.0,12.0,,6.0,14.0,27.0
1693460580,334.0,353.0,330.0,9999.0,9999.0,,354.0,317.0,,29.0,5.0,18.0,,353.0,320.0,354.0,19.0,9.0,19.0,5.0,6.0,,27.0,22.0,15.0,14.0,18.0,12.0,,6.0,14.0,27.0
1693460640,334.0,352.0,329.0,287.0,9999.0,,354.0,316.0,,26.0,7.0,19.0,,351.0,321.0,354.0,19.0,9.0,19.0,5.0,6.0,,27.0,22.0,15.0,12.0,18.0,12.0,,7.0,14.0,27.0
1693460700,334.0,352.0,329.0,286.0,315.0,,354.0,316.0,,21.0,5.0,20.0,,350.0,322.0,354.0,19.0,9.0,19.0,6.0,6.0,,27.0,22.0,16.0,12.0,18.0,12.0,,7.0,14.0,26.0
1693460760,332.0,352.0,328.0,286.0,309.0,,354.0,315.0,,16.0,4.0,21.0,,352.0,320.0,353.0,20.0,9.0,19.0,6.0,7.0,,27.0,22.0,16.0,12.0,17.0,12.0,,7.0,13.0,26.0
1693460820,332.0,352.0,328.0,290.0,307.0,,354.0,316.0,,13.0,3.0,19.0,,353.0,322.0,353.0,20.0,10.0,19.0,6.0,8.0,,27.0,22.0,16.0,12.0,18.0,12.0,,8.0,12.0,25.0
1693460880,332.0,357.0,327.0,290.0,303.0,,354.0,317.0,,11.0,3.0,18.0,,355.0,321.0,352.0,20.0,11.0,19.0,6.0,8.0,,26.0,22.0,15.0,12.0,17.0,12.0,,8.0,12.0,25.0
1693460940,332.0,6.0,327.0,290.0,303.0,,354.0,318.0,,12.0,4.0,17.0,,9999.0,321.0,351.0,20.0,11.0,19.0,6.0,9.0,,26.0,22.0,15.0,14.0,18.0,12.0,,8.0,12.0,24.0
1693461000,332.0,6.0,327.0,290.0,304.0,,355.0,319.0,,14.0,4.0,15.0,,357.0,319.0,351.0,21.0,11.0,18.0,6.0,9.0,,26.0,22.0,16.0,15.0,18.0,12.0,,8.0,12.0,24.0
